card_name,current_price,market_value,max_buy_price,estimated_profit,decision,auction_end_time,snipe_seconds,snipe_time,target_bid,notes,status
Lamar Jackson Rookie Auto,220.0,250.0,175.0,30.0,PASS,2026-03-09 15:46:26,7.0,2026-03-09 15:46:19,191.88,Already too expensive,
Josh Allen Prizm Rookie,150.0,260.0,182.0,110.0,GOOD DEAL,2026-03-09 15:31:26,7.0,2026-03-09 15:31:19,200.55,,
Lamar Jackson Rookie Auto,220.0,250.0,175.0,30.0,PASS,2026-03-09 15:46:26,7.0,2026-03-09 15:46:19,191.88,,
🔥2021 Mosaic GENESIS Patrick Mahomes #1 TRUE SSP - PSA 10🔥,0.0,300.0,210.0,300.0,GOOD DEAL,2026-03-11T02:41:01.000Z,,,235.25,https://www.ebay.com/itm/127725772631?_skw=mahomes+psa+10&hash=item1dbd0c9f57:g:IJYAAeSwfK1prKlR,WATCHING
2019 Panini Contenders Patrick Mahomes II #39 Season Ticket PSA 10 Chiefs MVP,58.0,300.0,210.0,242.0,GOOD DEAL,2026-03-11T03:18:05.000Z,,,235.25,https://www.ebay.com/itm/327031062669?_skw=mahomes+psa+10&hash=item4c2492008d:g:G~sAAeSwpZhpqlNs,WATCHING
2024 Panini Select Patrick Mahomes II Red Disco Prizm /49 PSA 10 – C…,0.0,300.0,210.0,300.0,GOOD DEAL,2026-03-12T03:55:09.000Z,,,235.25,https://www.ebay.com/itm/147186010592?_skw=mahomes+psa+10&hash=item2244f849e0:g:r4UAAeSwegBpn9HM,WATCHING
2025 PANINI MOSAIC FUSION RED & YELLOW CHOICE PATRICK MAHOMES II 64/89 PSA 10,0.0,300.0,210.0,300.0,GOOD DEAL,2026-03-12T02:00:00.000Z,,,235.25,https://www.ebay.com/itm/298087189527?_skw=mahomes+psa+10&hash=item4567618c17:g:AcAAAeSwu6hpp7mw,WATCHING
2020 Panini Phoenix Patrick Mahomes II Fire Burst #45 Chiefs PSA 10,0.0,300.0,210.0,300.0,GOOD DEAL,2026-03-16T02:18:00.000Z,,,235.25,https://www.ebay.com/itm/127730818744?_skw=mahomes+psa+10&hash=item1dbd599eb8:g:ipEAAeSwCxZpr~HE,WATCHING
PATRICK MAHOMES II 2024 DONRUSS OPTIC LIME GREEN CHIEFS /50 PSA 9 Q3325,0.0,300.0,210.0,300.0,GOOD DEAL,2026-03-11T03:10:00.000Z,,,235.25,https://www.ebay.com/itm/277771818292?_skw=mahomes+psa+10&hash=item40ac7d9534:g:XnAAAeSweQppp0X4,WATCHING
2023 Panini Zenith Patrick Mahomes II Zoom! #11 Chiefs PSA 10,0.0,300.0,210.0,300.0,GOOD DEAL,2026-03-13T02:17:43.000Z,,,235.25,https://www.ebay.com/itm/127725408355?_skw=mahomes+psa+10&hash=item1dbd071063:g:dw8AAeSwINRprGFV,WATCHING
94003076 Patrick Mahomes II 2023 Panini Zenith #18 Red 1994 Pacific PSA 10,0.0,300.0,210.0,300.0,GOOD DEAL,2026-03-12T02:31:00.000Z,,,235.25,https://www.ebay.com/itm/157726269691?_skw=mahomes+psa+10&hash=item24b937e0fb:g:ckUAAeSwNYFpqLh-,WATCHING
2025 Panini Prizm Prizms Red Wave #26 Patrick Mahomes II 086/149 PSA 10 GEM MINT,0.0,300.0,210.0,300.0,GOOD DEAL,2026-03-17T01:13:01.000Z,,,235.25,https://www.ebay.com/itm/137099916798?_skw=mahomes+psa+10&hash=item1febcab5fe:g:ggIAAeSwBf9pqqdt,WATCHING
