id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
9122995,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,AUSTIN NICELY #BDPP74,$0.25,,,,,,,,,,,,$0.99,,,,,,1,,,,,
9122994,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blair #BDPP9,$0.25,,,,,,,,,,,,$0.99,,,,,,0,,,,,2013-06-01
9569428,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blair [Black Refractor] #BDPP9,,,,,,,,,,,,,,,,,,,0,,,,,2013-06-01
9569425,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blair [Black Wave Refractor] #BDPP9,,,,,,,,,,,,,,,,,,,0,,,,,2013-06-01
9569426,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blair [Blue Refractor] #BDPP9,,,,,,,,,,,,,,,,,,,0,,,,,2013-06-01
9569423,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blair [Blue Wave Refractor] #BDPP9,,,,,,,,,,,,,,,,,,,0,,,,,2013-06-01
9569427,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blair [Gold Refractor] #BDPP9,,,,,,,,,,,,,,,,,,,0,,,,,2013-06-01
2131016,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blair [Green Refractor] #BDPP9,,,,,,,,,,,,,,,,,,,0,,,,,2013-06-01
2131017,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blair [Orange Refractor] #BDPP9,,,,,,,,,,,,,,,,,,,0,,,,,2013-06-01
9569432,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blair [Printing Plate] #BDPP9,,,,,,,,,,,,,,,,,,,0,,,,,2013-06-01
9569436,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blair [Red Refractor] #BDPP9,,,,,,,,,,,,,,,,,,,0,,,,,2013-06-01
9569429,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blair [Red Wave Refractor] #BDPP9,,,,,,,,,,,,,,,,,,,0,,,,,2013-06-01
9569433,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blair [Refractor] #BDPP9,$0.25,,,,,,,,,,,,$0.99,,,,,,0,,,,,2013-06-01
9569430,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blair [Silver Wave Refractor] #BDPP9,,,,,,,,,,,,,,,,,,,0,,,,,2013-06-01
9569437,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blair [SuperFractor] #BDPP9,,,,,,,,,,,,,,,,,,,0,,,,,2013-06-01
5135246,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blanton #bdpp70,$5.99,,,,,,,,,,,$1.30,$6.59,,,,,,0,,,,,2013-06-01
2131186,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blanton [Black Refractor] #BDPP70,,,,,,,,,,,,,,,,,,,0,,,,,2013-06-01
9570092,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blanton [Black Wave Refractor] #BDPP70,,,,,,,,,,,,,,,,,,,0,,,,,2013-06-01
9570094,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blanton [Blue Refractor] #BDPP70,,,,,,,,,,,,,,,,,,,0,,,,,2013-06-01
9570091,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blanton [Blue Wave Refractor] #BDPP70,,,,,,,,,,,,,,,,,,,0,,,,,2013-06-01
9570093,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blanton [Gold Refractor] #BDPP70,,,,,,,,,,,,,,,,,,,0,,,,,2013-06-01
9570095,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blanton [Orange Refractor] #BDPP70,,,,,,,,,,,,,,,,,,,0,,,,,2013-06-01
9570098,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blanton [Printing Plate] #BDPP70,,,,,,,,,,,,,,,,,,,0,,,,,2013-06-01
9570100,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blanton [Red Refractor] #BDPP70,,,,,,,,,,,,,,,,,,,0,,,,,2013-06-01
9570096,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blanton [Red Wave Refractor] #BDPP70,,,,,,,,,,,,,,,,,,,0,,,,,2013-06-01
9570099,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blanton [Refractor] #BDPP70,$1.70,,,,,,,,,,,,$1.89,,,,,,1,,,,,2013-06-01
9570097,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blanton [Silver Wave Refractor] #BDPP70,,,,,,,,,,,,,,,,,,,0,,,,,2013-06-01
9570101,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Blanton [SuperFractor] #BDPP70,,,,,,,,,,,,,,,,,,,0,,,,,2013-06-01
2131065,Baseball Cards 2013 Bowman Chrome Draft Picks & Prospects,Aaron Judge #BDPP19,$257.55,$41.01,$241.00,$315.00,$349.05,$1186.86,$1055.00,$712.00,$240.57,,,$141.50,$283.00,$18.00,$44.99,$132.50,$265.00,,294,,,,,2013-06-01
