id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
6588314,Baseball Cards 2014 Bowman Chrome,2014 Bowman Chrome Draft Pick Autographs #BCA-MCH,,,,$29.00,$52.58,,,,,,,,,,,,,,2,,,,,
6782217,Baseball Cards 2014 Bowman Chrome,Aaron Harang #218,$1.69,,,,,,,,,,,,$1.89,,,,,,4,,,,,
2144369,Baseball Cards 2014 Bowman Chrome,Adam Jones [Black Static Refractor] #71,$32.28,,,,,,,,,,,$14.40,$35.99,,,,,,1,,,,,2014-06-01
2144370,Baseball Cards 2014 Bowman Chrome,Adam Jones [Orange Refractor] #71,$5.63,,$9.62,$49.99,$55.00,$60.00,$78.00,$36.00,$36.00,,,$1.20,$6.19,,,$2.80,$10.99,,8,,,,,2014-06-01
2144312,Baseball Cards 2014 Bowman Chrome,Adam Wainwright #42,$0.99,,,,,$25.06,$33.00,$15.00,$15.00,,,,$1.09,,,,,,2,,,,,2014-06-01
2144313,Baseball Cards 2014 Bowman Chrome,Adam Wainwright [Orange Refractor] #42,$17.50,,,,,,,,,,,$4.80,$18.99,,,,,,3,,,,,2014-06-01
3114790,Baseball Cards 2014 Bowman Chrome,Adam Wainwright [Purple Refractor] #42,$5.73,,,,,,,,,,,$1.30,$6.29,,,,,,7,,,,,
2144430,Baseball Cards 2014 Bowman Chrome,Adrian Beltre #101,$1.44,,,,,,,,,,,,$1.59,,,,,,2,,,,,2014-06-01
2144431,Baseball Cards 2014 Bowman Chrome,Adrian Beltre [Blue Refractor] #101,$6.69,,,,,,,,,,,$1.50,$7.39,,,,,,1,,,,,2014-06-01
2144434,Baseball Cards 2014 Bowman Chrome,Adrian Beltre [Bubbles Refractor] #101,$3.25,,,$48.50,$48.00,$49.00,$64.00,$29.00,$29.00,,,,$3.59,,,,,,6,,,,,2014-06-01
2144432,Baseball Cards 2014 Bowman Chrome,Adrian Beltre [Purple Refractor] #101,$5.25,,,$10.00,$11.00,,,,,,,$1.20,$5.79,,,,,,3,,,,,2014-06-01
2144385,Baseball Cards 2014 Bowman Chrome,Albert Pujols #83,$1.44,,$0.99,$30.00,$40.33,$62.24,$81.00,$37.00,$37.00,,,,$1.59,,,,$1.09,,41,,,,,2014-06-01
2144386,Baseball Cards 2014 Bowman Chrome,Albert Pujols [Blue Refractor] #83,$10.31,,$22.84,$25.00,$28.00,,,,,,,$2.80,$10.99,,,$7.50,$24.99,,5,,,,,2014-06-01
2144387,Baseball Cards 2014 Bowman Chrome,Albert Pujols [Bubbles Refractor] #83,$13.76,,,$10.26,$11.00,,,,,,,$3.80,$14.99,,,,,,2,,,,,2014-06-01
2144388,Baseball Cards 2014 Bowman Chrome,Albert Pujols [Gold Refractor] #83,$62.00,,,,$199.99,$299.99,$390.00,$180.00,$180.00,,,$27.20,$67.99,,,,,,5,,,,,2014-06-01
2144389,Baseball Cards 2014 Bowman Chrome,Albert Pujols [Green Refractor] #83,$10.27,,,$49.99,$55.00,$149.99,$195.00,$90.00,$90.00,,,$2.80,$10.99,,,,,,3,,,,,2014-06-01
2144390,Baseball Cards 2014 Bowman Chrome,Albert Pujols [Purple Refractor] #83,$7.75,,,,,$95.00,$124.00,$57.00,$57.00,,,$1.70,$8.49,,,,,,4,,,,,2014-06-01
