id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
1398572,Baseball Cards 2017 Bowman Chrome Mini,A.J. Puckett [Prospects 70th Logo Refractor] #BCP4,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1398029,Baseball Cards 2017 Bowman Chrome Mini,A.J. Puckett [Prospects Black Shimmer Refractor] #BCP4,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1398303,Baseball Cards 2017 Bowman Chrome Mini,A.J. Puckett [Prospects Blue Shimmer Refractor] #BCP4,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1398843,Baseball Cards 2017 Bowman Chrome Mini,A.J. Puckett [Prospects Gold Refractor] #BCP4,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1399115,Baseball Cards 2017 Bowman Chrome Mini,A.J. Puckett [Prospects Green Refractor] #BCP4,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1399387,Baseball Cards 2017 Bowman Chrome Mini,A.J. Puckett [Prospects Orange Refractor] #BCP4,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1399660,Baseball Cards 2017 Bowman Chrome Mini,A.J. Puckett [Prospects Red Refractor] #BCP4,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1399932,Baseball Cards 2017 Bowman Chrome Mini,A.J. Puckett [Prospects Refractor] #BCP4,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1397758,Baseball Cards 2017 Bowman Chrome Mini,A.J. Puckett [Prospects] #BCP4,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1398540,Baseball Cards 2017 Bowman Chrome Mini,Aaron Judge [Rookies 70th Logo Refractor] #32,$120.00,,$150.00,$225.00,$248.00,$797.15,$1036.00,$478.00,$478.00,,,$66.00,$132.00,,,$82.50,$165.00,,5,,,,,2017-06-01
1397996,Baseball Cards 2017 Bowman Chrome Mini,Aaron Judge [Rookies Black Shimmer Refractor] #32,$72.45,,,$152.50,$168.00,,,,,,,$32.00,$79.99,,,,,,2,,,,,2017-06-01
1398270,Baseball Cards 2017 Bowman Chrome Mini,Aaron Judge [Rookies Blue Shimmer Refractor] #32,$172.56,,,$239.99,$264.00,$288.00,$374.00,$173.00,$173.00,,,$95.00,$190.00,,,,,,7,,,,,2017-06-01
1398811,Baseball Cards 2017 Bowman Chrome Mini,Aaron Judge [Rookies Gold Refractor] #32,$305.47,$399.99,,$589.99,$649.00,,,,,,,$168.00,$336.00,$220.00,$440.00,,,,4,,,,,2017-06-01
1399082,Baseball Cards 2017 Bowman Chrome Mini,Aaron Judge [Rookies Green Refractor] #32,$225.94,$45.44,$231.97,$250.02,$275.00,,,,,,,$124.50,$249.00,$20.00,$49.99,$127.50,$255.00,,6,,,,,2017-06-01
1399354,Baseball Cards 2017 Bowman Chrome Mini,Aaron Judge [Rookies Orange Refractor] #32,,,,$331.00,$364.00,,,,,,,,,,,,,,1,,,,,2017-06-01
1399627,Baseball Cards 2017 Bowman Chrome Mini,Aaron Judge [Rookies Red Refractor] #32,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1399899,Baseball Cards 2017 Bowman Chrome Mini,Aaron Judge [Rookies Refractor] #32,$25.03,,,$33.00,$99.99,$203.50,$265.00,$122.00,$122.00,,,$8.40,$27.99,,,,,,3,,,,,2017-06-01
1397725,Baseball Cards 2017 Bowman Chrome Mini,Aaron Judge [Rookies] #32,$30.63,$4.92,$60.00,$66.00,$73.61,$200.00,$260.00,$120.00,$131.00,,,$10.20,$33.99,$1.10,$5.39,$26.40,$65.99,,151,,,,,2017-06-01
1398646,Baseball Cards 2017 Bowman Chrome Mini,Abrahan Gutierrez [Prospects 70th Logo Refractor] #BCP78,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1398103,Baseball Cards 2017 Bowman Chrome Mini,Abrahan Gutierrez [Prospects Black Shimmer Refractor] #BCP78,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1398377,Baseball Cards 2017 Bowman Chrome Mini,Abrahan Gutierrez [Prospects Blue Shimmer Refractor] #BCP78,$3.89,,,,,,,,,,,$0.90,$4.29,,,,,,0,,,,,2017-06-01
1398917,Baseball Cards 2017 Bowman Chrome Mini,Abrahan Gutierrez [Prospects Gold Refractor] #BCP78,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1399189,Baseball Cards 2017 Bowman Chrome Mini,Abrahan Gutierrez [Prospects Green Refractor] #BCP78,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1399461,Baseball Cards 2017 Bowman Chrome Mini,Abrahan Gutierrez [Prospects Orange Refractor] #BCP78,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1399733,Baseball Cards 2017 Bowman Chrome Mini,Abrahan Gutierrez [Prospects Red Refractor] #BCP78,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1400006,Baseball Cards 2017 Bowman Chrome Mini,Abrahan Gutierrez [Prospects Refractor] #BCP78,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1397832,Baseball Cards 2017 Bowman Chrome Mini,Abrahan Gutierrez [Prospects] #BCP78,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1398750,Baseball Cards 2017 Bowman Chrome Mini,Adam Ravenelle [Chrome Prospects 70th Logo Refractor] #BCP189,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1398210,Baseball Cards 2017 Bowman Chrome Mini,Adam Ravenelle [Chrome Prospects Black Shimmer Refractor] #BCP189,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1398481,Baseball Cards 2017 Bowman Chrome Mini,Adam Ravenelle [Chrome Prospects Blue Shimmer Refractor] #BCP189,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1399022,Baseball Cards 2017 Bowman Chrome Mini,Adam Ravenelle [Chrome Prospects Gold Refractor] #BCP189,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1399294,Baseball Cards 2017 Bowman Chrome Mini,Adam Ravenelle [Chrome Prospects Green Refractor] #BCP189,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1399566,Baseball Cards 2017 Bowman Chrome Mini,Adam Ravenelle [Chrome Prospects Orange Refractor] #BCP189,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1399839,Baseball Cards 2017 Bowman Chrome Mini,Adam Ravenelle [Chrome Prospects Red Refractor] #BCP189,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1400111,Baseball Cards 2017 Bowman Chrome Mini,Adam Ravenelle [Chrome Prospects Refractor] #BCP189,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1397938,Baseball Cards 2017 Bowman Chrome Mini,Adam Ravenelle [Chrome Prospects] #BCP189,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1398672,Baseball Cards 2017 Bowman Chrome Mini,Adonis Medina [Prospects 70th Logo Refractor] #BCP104,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1398130,Baseball Cards 2017 Bowman Chrome Mini,Adonis Medina [Prospects Black Shimmer Refractor] #BCP104,,,,,$7.50,,,,,,,,,,,,,,1,,,,,2017-06-01
1398402,Baseball Cards 2017 Bowman Chrome Mini,Adonis Medina [Prospects Blue Shimmer Refractor] #BCP104,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1398943,Baseball Cards 2017 Bowman Chrome Mini,Adonis Medina [Prospects Gold Refractor] #BCP104,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1399215,Baseball Cards 2017 Bowman Chrome Mini,Adonis Medina [Prospects Green Refractor] #BCP104,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1399487,Baseball Cards 2017 Bowman Chrome Mini,Adonis Medina [Prospects Orange Refractor] #BCP104,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1399759,Baseball Cards 2017 Bowman Chrome Mini,Adonis Medina [Prospects Red Refractor] #BCP104,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1400032,Baseball Cards 2017 Bowman Chrome Mini,Adonis Medina [Prospects Refractor] #BCP104,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1397858,Baseball Cards 2017 Bowman Chrome Mini,Adonis Medina [Prospects] #BCP104,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1398698,Baseball Cards 2017 Bowman Chrome Mini,Adrian Morejon [Prospects 70th Logo Refractor] #BCP130,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1398156,Baseball Cards 2017 Bowman Chrome Mini,Adrian Morejon [Prospects Black Shimmer Refractor] #BCP130,,,$1.26,,,$3.30,$4.00,$2.00,$2.00,,,,,,,,$1.39,,2,,,,,2017-06-01
1398427,Baseball Cards 2017 Bowman Chrome Mini,Adrian Morejon [Prospects Blue Shimmer Refractor] #BCP130,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1398969,Baseball Cards 2017 Bowman Chrome Mini,Adrian Morejon [Prospects Gold Refractor] #BCP130,$0.25,,,,,,,,,,,,$0.99,,,,,,0,,,,,2017-06-01
1399241,Baseball Cards 2017 Bowman Chrome Mini,Adrian Morejon [Prospects Green Refractor] #BCP130,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1399513,Baseball Cards 2017 Bowman Chrome Mini,Adrian Morejon [Prospects Orange Refractor] #BCP130,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1399785,Baseball Cards 2017 Bowman Chrome Mini,Adrian Morejon [Prospects Red Refractor] #BCP130,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1400057,Baseball Cards 2017 Bowman Chrome Mini,Adrian Morejon [Prospects Refractor] #BCP130,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1397884,Baseball Cards 2017 Bowman Chrome Mini,Adrian Morejon [Prospects] #BCP130,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1398720,Baseball Cards 2017 Bowman Chrome Mini,Albert Abreu [Chrome Prospects 70th Logo Refractor] #BCP153,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1398178,Baseball Cards 2017 Bowman Chrome Mini,Albert Abreu [Chrome Prospects Black Shimmer Refractor] #BCP153,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1398449,Baseball Cards 2017 Bowman Chrome Mini,Albert Abreu [Chrome Prospects Blue Shimmer Refractor] #BCP153,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1398988,Baseball Cards 2017 Bowman Chrome Mini,Albert Abreu [Chrome Prospects Gold Refractor] #BCP153,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1399263,Baseball Cards 2017 Bowman Chrome Mini,Albert Abreu [Chrome Prospects Green Refractor] #BCP153,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1399534,Baseball Cards 2017 Bowman Chrome Mini,Albert Abreu [Chrome Prospects Orange Refractor] #BCP153,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1399807,Baseball Cards 2017 Bowman Chrome Mini,Albert Abreu [Chrome Prospects Red Refractor] #BCP153,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1400079,Baseball Cards 2017 Bowman Chrome Mini,Albert Abreu [Chrome Prospects Refractor] #BCP153,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1397906,Baseball Cards 2017 Bowman Chrome Mini,Albert Abreu [Chrome Prospects] #BCP153,,,,,,,,,,,,,,,,,,,0,,,,,2017-06-01
1398553,Baseball Cards 2017 Bowman Chrome Mini,Alex Bregman [Rookies 70th Logo Refractor] #75,,,$15.50,,,$120.00,$156.00,$72.00,$72.00,,,,,,,$4.30,$16.99,,2,,,,,2017-06-01
1398010,Baseball Cards 2017 Bowman Chrome Mini,Alex Bregman [Rookies Black Shimmer Refractor] #75,$2.59,,$24.99,$27.00,$30.00,,,,,,,,$2.89,,,$8.10,$26.99,,3,,,,,2017-06-01
1398284,Baseball Cards 2017 Bowman Chrome Mini,Alex Bregman [Rookies Blue Shimmer Refractor] #75,$10.16,,,$27.75,$31.00,,,,,,,$2.80,$10.99,,,,,,3,,,,,2017-06-01
1398825,Baseball Cards 2017 Bowman Chrome Mini,Alex Bregman [Rookies Gold Refractor] #75,$125.00,$9.50,,$20.50,$23.00,,,,,,,$69.00,$138.00,$2.00,$9.99,,,,3,,,,,2017-06-01
1399096,Baseball Cards 2017 Bowman Chrome Mini,Alex Bregman [Rookies Green Refractor] #75,$3.03,,$5.50,,,,,,,,,,$3.29,,,$1.20,$6.09,,2,,,,,2017-06-01
1399368,Baseball Cards 2017 Bowman Chrome Mini,Alex Bregman [Rookies Orange Refractor] #75,$28.39,,,,,,,,,,,$9.30,$30.99,,,,,,1,,,,,2017-06-01
1399641,Baseball Cards 2017 Bowman Chrome Mini,Alex Bregman [Rookies Red Refractor] #75,$289.99,,,,,,,,,,,$159.50,$319.00,,,,,,0,,,,,2017-06-01
