id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
1487592,Baseball Cards 2018 Bowman Mega Box Chrome,A.J. Puk #BCP142,,,,,,,,,,,,,,,,,,,0,,,,,2018-06-01
1487910,Baseball Cards 2018 Bowman Mega Box Chrome,A.J. Puk [Gold Refractor] #BCP142,,,,,,,,,,,,,,,,,,,0,,,,,2018-06-01
1487810,Baseball Cards 2018 Bowman Mega Box Chrome,A.J. Puk [Green Refractor] #BCP142,,,,,,,,,,,,,,,,,,,0,,,,,2018-06-01
1488010,Baseball Cards 2018 Bowman Mega Box Chrome,A.J. Puk [Orange Refractor] #BCP142,,,,,,,,,,,,,,,,,,,0,,,,,2018-06-01
1487710,Baseball Cards 2018 Bowman Mega Box Chrome,A.J. Puk [Purple Refractor] #BCP142,,,,,,,,,,,,,,,,,,,0,,,,,2018-06-01
1487511,Baseball Cards 2018 Bowman Mega Box Chrome,Aaron Knapp #BCP5,,,,,,,,,,,,,,,,,,,0,,,,,2018-06-01
1487828,Baseball Cards 2018 Bowman Mega Box Chrome,Aaron Knapp [Gold Refractor] #BCP5,,,,,,,,,,,,,,,,,,,0,,,,,2018-06-01
1487727,Baseball Cards 2018 Bowman Mega Box Chrome,Aaron Knapp [Green Refractor] #BCP5,$0.25,,,,,,,,,,,,$0.99,,,,,,1,,,,,2018-06-01
1487927,Baseball Cards 2018 Bowman Mega Box Chrome,Aaron Knapp [Orange Refractor] #BCP5,,,,,,,,,,,,,,,,,,,0,,,,,2018-06-01
1487627,Baseball Cards 2018 Bowman Mega Box Chrome,Aaron Knapp [Purple Refractor] #BCP5,$0.25,,,,,,,,,,,,$0.99,,,,,,0,,,,,2018-06-01
1487565,Baseball Cards 2018 Bowman Mega Box Chrome,Adam Haseley #BCP94,,,,,,,,,,,,,,,,,,,0,,,,,2018-06-01
1487881,Baseball Cards 2018 Bowman Mega Box Chrome,Adam Haseley [Gold Refractor] #BCP94,$2.25,,,,,,,,,,,,$2.49,,,,,,1,,,,,2018-06-01
1487781,Baseball Cards 2018 Bowman Mega Box Chrome,Adam Haseley [Green Refractor] #BCP94,,,,,,,,,,,,,,,,,,,0,,,,,2018-06-01
