id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
1725309,Baseball Cards 2020 Panini Prizm,A.J. Puk #194,$0.99,,,$0.99,$1.00,$15.77,$21.00,$9.00,$9.00,,,,$1.09,,,,,,4,,,,,2020-06-17
10726731,Baseball Cards 2020 Panini Prizm,A.J. Puk [Black Finite Prizm] #194,,,,,,,,,,,,,,,,,,,0,,,,,2020-06-17
1730531,Baseball Cards 2020 Panini Prizm,A.J. Puk [Blue Donut Circles Prizm] #194,$4.83,,,,,,,,,,,$1.10,$5.29,,,,,,0,,,,,2020-06-17
1726551,Baseball Cards 2020 Panini Prizm,A.J. Puk [Blue Mojo Prizm] #194,$2.57,,,,,,,,,,,,$2.79,,,,,,0,,,,,2020-06-17
1729536,Baseball Cards 2020 Panini Prizm,A.J. Puk [Blue Prizm] #194,$0.25,,,,,,,,,,,,$0.99,,,,,,0,,,,,2020-06-17
1728048,Baseball Cards 2020 Panini Prizm,A.J. Puk [Blue Wave Prizm] #194,$4.64,,,,,,,,,,,$1.00,$5.09,,,,,,2,,,,,2020-06-17
1731030,Baseball Cards 2020 Panini Prizm,A.J. Puk [Bronze Donut Circles Prizm] #194,$12.00,,,,,,,,,,,$3.30,$12.99,,,,,,1,,,,,2020-06-17
1728792,Baseball Cards 2020 Panini Prizm,A.J. Puk [Burgundy Cracked Ice Prizm] #194,$2.24,,,,,$21.62,$28.00,$13.00,$13.00,,,,$2.49,,,,,,2,,,,,2020-06-17
1732023,Baseball Cards 2020 Panini Prizm,A.J. Puk [Carolina Blue Prizm] #194,$0.25,,,$1.00,$1.00,,,,,,,,$0.99,,,,,,1,,,,,2020-06-17
1732267,Baseball Cards 2020 Panini Prizm,A.J. Puk [Cosmic Haze Prizm] #194,$1.04,,,,,,,,,,,,$1.09,,,,,,1,,,,,2020-06-17
1729290,Baseball Cards 2020 Panini Prizm,A.J. Puk [Forest Green Prizm] #194,,,,,,,,,,,,,,,,,,,0,,,,,2020-06-17
