id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
3344242,Baseball Cards 2020 Topps Chrome Ben Baller,Adalberto Mondesi #31,$2.79,,,,,$5.50,$7.00,$3.00,$3.00,,,,$3.09,,,,,,2,,,,,
5334173,Baseball Cards 2020 Topps Chrome Ben Baller,Bo Bichette #150,$1.63,,$25.00,$28.00,$31.00,$34.00,$44.00,$20.00,$18.80,,,,$1.79,,,$8.40,$27.99,,37,,,,,
5768062,Baseball Cards 2020 Topps Chrome Ben Baller,Bo Bichette [Green Refractor] #150,$64.06,,$149.50,$164.00,$180.00,$197.00,$256.00,$118.00,$118.00,,,$28.00,$69.99,,,$82.00,$164.00,,11,,,,,
3344252,Baseball Cards 2020 Topps Chrome Ben Baller,Carlos Santana #165,$1.20,,,,,$19.99,$26.00,$12.00,$12.00,,,,$1.29,,,,,,2,,,,,
8198072,Baseball Cards 2020 Topps Chrome Ben Baller,Carter Kieboom #171,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,
5403188,Baseball Cards 2020 Topps Chrome Ben Baller,DJ LeMahieu #55,$2.22,,,$4.99,$5.00,$9.99,$13.00,$6.00,$6.00,,,,$2.39,,,,,,7,,,,,
3344243,Baseball Cards 2020 Topps Chrome Ben Baller,Dylan Cease #43,$2.05,,,$16.50,$18.00,$19.67,$26.00,$12.00,$9.99,,,,$2.29,,,,,,13,,,,,
4172479,Baseball Cards 2020 Topps Chrome Ben Baller,Dylan Cease [Blue Refractor] #43,$7.57,,,,,$36.34,$47.00,$22.00,$22.00,,,$1.70,$8.29,,,,,,3,,,,,
4034778,Baseball Cards 2020 Topps Chrome Ben Baller,Dylan Cease [Orange Refractor] #43,$8.15,,,$35.00,$39.00,$64.00,$83.00,$38.00,$38.00,,,$1.80,$8.99,,,,,,5,,,,,
3344257,Baseball Cards 2020 Topps Chrome Ben Baller,Eloy Jimenez [Gold] #134,$9.99,,,$13.50,$15.00,$23.50,$31.00,$14.00,$14.00,,,$2.80,$10.99,,,,,,3,,,,,
2276426,Baseball Cards 2020 Topps Chrome Ben Baller,Fernando Tatis Jr #84,$2.33,,$24.99,$27.00,$30.00,$32.00,$42.00,$19.00,$5.79,,,,$2.59,,,$8.10,$26.99,,23,,,,,
3312707,Baseball Cards 2020 Topps Chrome Ben Baller,Fernando Tatis Jr [Blue Refractor] #84,$38.22,,,,,$241.85,$314.00,$145.00,$145.00,,,$16.80,$41.99,,,,,,2,,,,,
3280041,Baseball Cards 2020 Topps Chrome Ben Baller,Fernando Tatis Jr [Green Refractor] #84,$63.00,,,$29.00,$105.00,$121.83,$158.00,$73.00,$73.00,,,$27.60,$68.99,,,,,,5,,,,,
3399480,Baseball Cards 2020 Topps Chrome Ben Baller,Fernando Tatis Jr. [Gold Refractor] #84,$45.00,,,,,$16.19,$21.00,$10.00,$10.00,,,$20.00,$49.99,,,,,,4,,,,,
3344251,Baseball Cards 2020 Topps Chrome Ben Baller,Francisco Lindor #156,$1.99,,,$7.79,$9.00,$23.99,$31.00,$14.00,$14.00,,,,$2.19,,,,,,7,,,,,
8211361,Baseball Cards 2020 Topps Chrome Ben Baller,Francisco Lindor [Orange] #156,$17.01,,,$24.99,$27.00,,,,,,,$4.80,$18.99,,,,,,2,,,,,
5768837,Baseball Cards 2020 Topps Chrome Ben Baller,Freedie Freeman #131,,,,,,,,,,,,,,,,,,,0,,,,,
2267212,Baseball Cards 2020 Topps Chrome Ben Baller,Gavin Lux #148,$1.52,,,$7.97,$9.00,$10.00,$13.00,$6.00,$6.00,,,,$1.69,,,,,,17,,,,,
3295674,Baseball Cards 2020 Topps Chrome Ben Baller,Gavin Lux [Gold Refractor] #148,$20.62,,,$47.16,$52.00,$57.00,$74.00,$34.00,$34.00,,,$6.90,$22.99,,,,,,3,,,,,
3322055,Baseball Cards 2020 Topps Chrome Ben Baller,Gavin Lux [Green Refractor] #148,$10.50,,,$34.33,$38.00,$89.00,$116.00,$53.00,$53.00,,,$3.00,$11.99,,,,,,4,,,,,
5403190,Baseball Cards 2020 Topps Chrome Ben Baller,Gio Urshella #34,,,,,,,,,,,,,,,,,,,0,,,,,
3344244,Baseball Cards 2020 Topps Chrome Ben Baller,Hunter Dozier #63,$5.14,,,,,$8.00,$10.00,$5.00,$5.00,,,$1.10,$5.69,,,,,,2,,,,,
5403194,Baseball Cards 2020 Topps Chrome Ben Baller,Jacob Degrom #81,$1.50,,,,,,,,,,,,$1.69,,,,,,4,,,,,
6047143,Baseball Cards 2020 Topps Chrome Ben Baller,Joey Gallo #191,$4.00,,,,,$9.50,$12.00,$6.00,$6.00,,,$0.90,$4.39,,,,,,4,,,,,
3344241,Baseball Cards 2020 Topps Chrome Ben Baller,Jorge Soler #20,$2.00,,,,,$11.79,$15.00,$7.00,$7.00,,,,$2.19,,,,,,2,,,,,
5403191,Baseball Cards 2020 Topps Chrome Ben Baller,Jose Abreu #66,$2.11,,,$4.35,$5.00,$9.99,$13.00,$6.00,$6.00,,,,$2.29,,,,,,7,,,,,
3344249,Baseball Cards 2020 Topps Chrome Ben Baller,Jose Berrios #125,$1.69,,,,,$8.50,$11.00,$5.00,$5.00,,,,$1.89,,,,,,4,,,,,
3344255,Baseball Cards 2020 Topps Chrome Ben Baller,Jose Ramirez #190,$2.25,,,$44.00,$48.00,,,,$20.00,,,,$2.49,,,,,,8,,,,,
5403184,Baseball Cards 2020 Topps Chrome Ben Baller,Juan Soto #12,$4.97,,,$19.00,$21.00,$35.12,$46.00,$21.00,$35.00,,,$1.10,$5.49,,,,,,18,,,,,
11851613,Baseball Cards 2020 Topps Chrome Ben Baller,Kris Bryant [Red Refractor] #85TC-9,$14.99,,,,,$101.77,$132.00,$61.00,$61.00,,,$4.00,$15.99,,,,,,2,,,,,
3344250,Baseball Cards 2020 Topps Chrome Ben Baller,Logan Allen #155,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,
5403189,Baseball Cards 2020 Topps Chrome Ben Baller,Lucas Giolito #46,$2.09,,,$3.76,$4.00,$8.27,$11.00,$5.00,$5.00,,,,$2.29,,,,,,4,,,,,
6460759,Baseball Cards 2020 Topps Chrome Ben Baller,Luis Arraez #172,$2.69,,,,,,,,,,,,$2.99,,,,,,4,,,,,
3344256,Baseball Cards 2020 Topps Chrome Ben Baller,Luis Robert #60,$5.99,,$102.50,$179.60,$198.00,$216.00,$281.00,$130.00,$130.00,,,$1.30,$6.59,,,$56.50,$113.00,,26,,,,,
9967340,Baseball Cards 2020 Topps Chrome Ben Baller,Luis Robert [Die-Cut Blue] #BDC-15,$12.00,,,,,,,,,,,$3.30,$12.99,,,,,,2,,,,,
3344258,Baseball Cards 2020 Topps Chrome Ben Baller,Luis Robert [Die-Cut] #BDC-15,$3.95,,$6.50,$62.02,$68.00,$250.00,$325.00,$150.00,$150.00,,,$0.90,$4.39,,,$1.40,$7.19,,10,,,,,
5403185,Baseball Cards 2020 Topps Chrome Ben Baller,Manny Machado #76,$5.00,,,$0.99,$1.00,,,,,,,$1.10,$5.49,,,,,,4,,,,,
3344246,Baseball Cards 2020 Topps Chrome Ben Baller,Matthew Boyd #74,$3.00,,,,,$11.60,$15.00,$7.00,$7.00,,,,$3.29,,,,,,2,,,,,
3344248,Baseball Cards 2020 Topps Chrome Ben Baller,Max Kepler #124,$4.58,,$0.99,,,,,,,,,$1.00,$4.99,,,,$1.09,,3,,,,,
3344240,Baseball Cards 2020 Topps Chrome Ben Baller,Michael Fulmer #18,$1.99,,$127.00,,,$7.53,$10.00,$5.00,$5.00,,,,$2.19,,,$70.00,$140.00,,3,,,,,
3344245,Baseball Cards 2020 Topps Chrome Ben Baller,Nelson Cruz #69,$3.73,,,,,$26.74,$35.00,$16.00,$16.00,,,$0.80,$4.09,,,,,,3,,,,,
3344254,Baseball Cards 2020 Topps Chrome Ben Baller,Oscar Mercado #182,$4.99,,,,,,,,,,,$1.10,$5.49,,,,,,2,,,,,
5403193,Baseball Cards 2020 Topps Chrome Ben Baller,Pete Alonso #80,$3.07,$2.84,,$8.50,$9.00,$10.00,$13.00,$6.00,$6.00,,,,$3.39,,$3.09,,,,6,,,,,
6047144,Baseball Cards 2020 Topps Chrome Ben Baller,Ronald Guzman #129,$1.37,,,,,,,,,,,,$1.49,,,,,,1,,,,,
5403195,Baseball Cards 2020 Topps Chrome Ben Baller,Sam Hilliard #67,$3.61,,,,,$9.99,$13.00,$6.00,$6.00,,,$0.80,$3.99,,,,,,5,,,,,
