id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
3522643,Baseball Cards 2021 Bowman Chrome Sapphire,Aaron Judge #25,$16.80,,$15.99,$24.99,$25.00,$65.00,$85.00,$39.00,$57.63,,,$4.50,$17.99,,,$4.50,$17.99,,47,,,,,2021-06-01
3522843,Baseball Cards 2021 Bowman Chrome Sapphire,Aaron Judge [Aqua] #25,$65.99,,,,,$118.10,$154.00,$71.00,$71.00,,,$29.20,$72.99,,,,,,4,,,,,2021-06-01
3522743,Baseball Cards 2021 Bowman Chrome Sapphire,Aaron Judge [Green] #25,$36.21,,,$52.00,$57.00,$62.00,$81.00,$37.00,$37.00,,,$16.00,$39.99,,,,,,6,,,,,2021-06-01
3522943,Baseball Cards 2021 Bowman Chrome Sapphire,Aaron Judge [Orange] #25,$59.95,,,$152.50,$168.00,$274.46,$357.00,$165.00,$165.00,,,$26.40,$65.99,,,,,,7,,,,,2021-06-01
3523143,Baseball Cards 2021 Bowman Chrome Sapphire,Aaron Judge [Purple] #25,$200.00,,,$69.05,$76.00,,,,,,,$110.00,$220.00,,,,,,1,,,,,2021-06-01
3523243,Baseball Cards 2021 Bowman Chrome Sapphire,Aaron Judge [Red] #25,$165.50,,,,,,,,,,,$91.00,$182.00,,,,,,1,,,,,2021-06-01
3523043,Baseball Cards 2021 Bowman Chrome Sapphire,Aaron Judge [Yellow] #25,$70.90,,,,,$406.66,$529.00,$244.00,$244.00,,,$31.20,$77.99,,,,,,3,,,,,2021-06-01
3522652,Baseball Cards 2021 Bowman Chrome Sapphire,Akil Baddoo #34,$1.73,,$6.35,$11.91,$23.16,$32.92,$43.00,$20.00,$20.00,,,,$1.89,,,$1.40,$6.99,,8,,,,,2021-06-01
3522852,Baseball Cards 2021 Bowman Chrome Sapphire,Akil Baddoo [Aqua] #34,$3.67,,,,,,,,,,,$0.80,$3.99,,,,,,1,,,,,2021-06-01
3522752,Baseball Cards 2021 Bowman Chrome Sapphire,Akil Baddoo [Green] #34,$3.50,,,$19.99,$22.00,,,,,,,$0.80,$3.89,,,,,,2,,,,,2021-06-01
3522952,Baseball Cards 2021 Bowman Chrome Sapphire,Akil Baddoo [Orange] #34,$4.99,,,$16.96,$19.00,,,,,,,$1.10,$5.49,,,,,,3,,,,,2021-06-01
