id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
2797866,Baseball Cards 2021 Panini Mosaic,A. J. Puk #136,$0.25,,,,,,,,,,,,$0.99,,,,,,0,,,,,2021-10-20
11277376,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Black Mosaic] #136,,,,,,,,,,,,,,,,,,,0,,,,,2021-10-20
2801405,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Blue Camo Mosaic] #136,$0.25,,,,,,,,,,,,$0.99,,,,,,0,,,,,2021-10-20
2801604,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Blue Fluorescent Mosaic] #136,,,,,,,,,,,,,,,,,,,0,,,,,2021-10-20
2801207,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Blue Mosaic] #136,$8.00,,,,,,,,,,,$1.80,$8.79,,,,,,1,,,,,2021-10-20
2801799,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Choice Black Gold Mosaic] #136,,,,,,,,,,,,,,,,,,,0,,,,,2021-10-20
2801996,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Choice Fusion Red & Yellow] #136,$3.17,,,,,,,,,,,,$3.49,,,,,,1,,,,,2021-10-20
11277371,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Choice Nebula Mosaic] #136,,,,,,,,,,,,,,,,,,,0,,,,,2021-10-20
2802195,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Choice Peacock Mosaic] #136,,,,,,,,,,,,,,,,,,,0,,,,,2021-10-20
2802396,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Genesis Mosaic] #136,,,,,,,,,,,,,,,,,,,0,,,,,2021-10-20
2806795,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Gold Mosaic] #136,,,,,,,,,,,,,,,,,,,0,,,,,2021-10-20
2802994,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Green Fluorescent Mosaic] #136,$7.99,,,,,,,,,,,$1.80,$8.79,,,,,,1,,,,,2021-10-20
2802794,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Green Mosaic] #136,$2.84,,,,,,,,,,,,$3.09,,,,,,0,,,,,2021-10-20
2803194,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Green Swirl Mosaic] #136,$8.00,,,,,,,,,,,$1.80,$8.79,,,,,,1,,,,,2021-10-20
2798439,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Mosaic] #136,$0.25,,,,,,,,,,,,$0.99,,,,,,0,,,,,2021-10-20
2803394,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Orange Fluorescent Mosaic] #136,$3.50,,,,,,,,,,,$0.80,$3.89,,,,,,0,,,,,2021-10-20
2803594,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Pink Camo Mosaic] #136,$2.99,,,,,,,,,,,,$3.29,,,,,,1,,,,,2021-10-20
2803794,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Pink Fluorescent Mosaic] #136,,,,,,,,,,,,,,,,,,,0,,,,,2021-10-20
2803994,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Pink Swirl Mosaic] #136,$10.50,,,,,,,,,,,$3.00,$11.99,,,,,,1,,,,,2021-10-20
2804193,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Purple Mosaic] #136,$12.04,,,,,,,,,,,$3.30,$12.99,,,,,,0,,,,,2021-10-20
11277372,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Quick Pitch Black Mosaic] #136,,,,,,,,,,,,,,,,,,,0,,,,,2021-10-20
2804393,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Quick Pitch Blue Mosaic] #136,,,,,,,,,,,,,,,,,,,0,,,,,2021-10-20
2804594,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Quick Pitch Gold Mosaic] #136,,,,,,,,,,,,,,,,,,,0,,,,,2021-10-20
2804793,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Quick Pitch Pink Mosaic] #136,,,,,,,,,,,,,,,,,,,0,,,,,2021-10-20
2804993,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Quick Pitch Purple Mosaic] #136,$0.25,,,,,,,,,,,,$0.99,,,,,,0,,,,,2021-10-20
2805191,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Quick Pitch Silver Mosaic] #136,$5.00,,,,,,,,,,,$1.10,$5.49,,,,,,0,,,,,2021-10-20
2805391,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Reactive Blue Mosaic] #136,$2.04,,,,,,,,,,,,$2.19,,,,,,1,,,,,2021-10-20
2805591,Baseball Cards 2021 Panini Mosaic,A. J. Puk [Reactive Orange Mosaic] #136,$2.99,,,,,,,,,,,,$3.29,,,,,,1,,,,,2021-10-20
