id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
2939169,Baseball Cards 2021 Topps Chrome Black,Aaron Judge #82,$10.97,,$13.57,$22.19,$29.00,$29.98,$39.00,$18.00,$36.00,,,$3.00,$11.99,,,$3.80,$14.99,,14,,,,,2021-06-01
2939665,Baseball Cards 2021 Topps Chrome Black,Aaron Judge [Blue Refractor] #82,$19.99,,,$35.00,$39.00,$135.50,$176.00,$81.00,$81.00,,,$6.60,$21.99,,,,,,5,,,,,2021-06-01
2940906,Baseball Cards 2021 Topps Chrome Black,Aaron Judge [Gold Refractor] #82,$62.80,,,$140.00,$154.00,,,,,,,$27.60,$68.99,,,,,,4,,,,,2021-06-01
2939566,Baseball Cards 2021 Topps Chrome Black,Aaron Judge [Green Atomic Refractor] #82,$55.00,,$34.00,$34.00,$37.00,$82.04,$107.00,$49.00,$49.00,,,$24.40,$60.99,,,$14.80,$36.99,,7,,,,,2021-06-01
2939467,Baseball Cards 2021 Topps Chrome Black,Aaron Judge [Green Refractor] #82,$37.00,,$135.83,$149.00,$164.00,$179.00,$233.00,$107.00,$99.99,,,$16.40,$40.99,,,$74.50,$149.00,,8,,,,,2021-06-01
2939964,Baseball Cards 2021 Topps Chrome Black,Aaron Judge [Magenta Refractor] #82,$120.00,,,$195.66,$215.00,,,,,,,$66.00,$132.00,,,,,,3,,,,,2021-06-01
2939864,Baseball Cards 2021 Topps Chrome Black,Aaron Judge [Orange Refractor] #82,$80.00,,,,,,,,,,,$35.20,$87.99,,,,,,1,,,,,2021-06-01
2939367,Baseball Cards 2021 Topps Chrome Black,Aaron Judge [Purple Refractor] #82,$21.93,,$28.00,$31.76,$60.03,$66.85,$87.00,$40.00,$40.00,,,$7.20,$23.99,,,$9.30,$30.99,,9,,,,,2021-06-01
2940064,Baseball Cards 2021 Topps Chrome Black,Aaron Judge [Red Refractor] #82,$115.50,,,$520.58,$573.00,,,,,,,$63.50,$127.00,,,,,,2,,,,,2021-06-01
2939269,Baseball Cards 2021 Topps Chrome Black,Aaron Judge [Refractor] #82,$23.82,,$18.99,$21.00,$38.00,$38.43,$50.00,$23.00,$23.00,,,$7.80,$25.99,,,$6.30,$20.99,,9,,,,,2021-06-01
2939126,Baseball Cards 2021 Topps Chrome Black,Alec Bohm #39,$2.06,,$6.54,$11.30,$23.62,$26.96,$35.00,$16.00,$16.00,,,,$2.29,,,$1.40,$7.19,,10,,,,,2021-06-01
2939622,Baseball Cards 2021 Topps Chrome Black,Alec Bohm [Blue Refractor] #39,$6.92,,,$30.37,$33.00,$75.00,$98.00,$45.00,$45.00,,,$1.50,$7.59,,,,,,4,,,,,2021-06-01
2939722,Baseball Cards 2021 Topps Chrome Black,Alec Bohm [Gold Refractor] #39,$10.75,,,$20.59,$23.00,,,,$29.99,,,$3.00,$11.99,,,,,,3,,,,,2021-06-01
2939524,Baseball Cards 2021 Topps Chrome Black,Alec Bohm [Green Atomic Refractor] #39,$5.30,,,,,$65.17,$85.00,$39.00,$39.00,,,$1.20,$5.79,,,,,,2,,,,,2021-06-01
2939424,Baseball Cards 2021 Topps Chrome Black,Alec Bohm [Green Refractor] #39,$2.25,,,,,,,,,,,,$2.49,,,,,,3,,,,,2021-06-01
2939921,Baseball Cards 2021 Topps Chrome Black,Alec Bohm [Magenta Refractor] #39,$59.85,,,,,,,,,,,$26.40,$65.99,,,,,,1,,,,,2021-06-01
2939821,Baseball Cards 2021 Topps Chrome Black,Alec Bohm [Orange Refractor] #39,$17.94,,$36.00,$43.57,$48.00,,,,,,,$5.00,$19.99,,,$16.00,$39.99,,3,,,,,2021-06-01
2939325,Baseball Cards 2021 Topps Chrome Black,Alec Bohm [Purple Refractor] #39,$5.39,,,,,$41.40,$54.00,$25.00,$25.00,,,$1.20,$5.89,,,,,,5,,,,,2021-06-01
2940021,Baseball Cards 2021 Topps Chrome Black,Alec Bohm [Red Refractor] #39,$95.34,,,,,,,,,,,$52.50,$105.00,,,,,,1,,,,,2021-06-01
2939226,Baseball Cards 2021 Topps Chrome Black,Alec Bohm [Refractor] #39,$5.29,,,$10.50,$12.00,$19.76,$26.00,$12.00,$12.00,,,$1.20,$5.79,,,,,,6,,,,,2021-06-01
2939093,Baseball Cards 2021 Topps Chrome Black,Alex Bregman #6,$1.25,,,,,,,,,,,,$1.39,,,,,,5,,,,,2021-06-01
2939589,Baseball Cards 2021 Topps Chrome Black,Alex Bregman [Blue Refractor] #6,$2.68,,,,,,,,,,,,$2.99,,,,,,3,,,,,2021-06-01
2939689,Baseball Cards 2021 Topps Chrome Black,Alex Bregman [Gold Refractor] #6,$6.50,,,$8.49,$9.00,,,,,,,$1.40,$7.19,,,,,,3,,,,,2021-06-01
2939491,Baseball Cards 2021 Topps Chrome Black,Alex Bregman [Green Atomic Refractor] #6,$1.87,,,$6.51,$7.00,,,,,,,,$2.09,,,,,,3,,,,,2021-06-01
2939391,Baseball Cards 2021 Topps Chrome Black,Alex Bregman [Green Refractor] #6,$4.49,,,,,,,,,,,$1.00,$4.89,,,,,,2,,,,,2021-06-01
2939888,Baseball Cards 2021 Topps Chrome Black,Alex Bregman [Magenta Refractor] #6,$17.99,,,,,,,,,,,$5.00,$19.99,,,,,,1,,,,,2021-06-01
2939787,Baseball Cards 2021 Topps Chrome Black,Alex Bregman [Orange Refractor] #6,$16.73,,,,,,,,,,,$4.50,$17.99,,,,,,1,,,,,2021-06-01
2939293,Baseball Cards 2021 Topps Chrome Black,Alex Bregman [Purple Refractor] #6,$2.00,,,,,,,,,,,,$2.19,,,,,,3,,,,,2021-06-01
2939988,Baseball Cards 2021 Topps Chrome Black,Alex Bregman [Red Refractor] #6,$51.68,,,,,,,,,,,$22.80,$56.99,,,,,,1,,,,,2021-06-01
2939193,Baseball Cards 2021 Topps Chrome Black,Alex Bregman [Refractor] #6,$3.80,,,,,,,,,,,$0.80,$4.19,,,,,,3,,,,,2021-06-01
2939182,Baseball Cards 2021 Topps Chrome Black,Alex Kirilloff #95,$2.14,,$6.67,$12.37,$23.91,$33.59,$44.00,$20.00,$20.00,,,,$2.39,,,$1.50,$7.29,,7,,,,,2021-06-01
2939678,Baseball Cards 2021 Topps Chrome Black,Alex Kirilloff [Blue Refractor] #95,$4.25,,,,,,,,,,,$0.90,$4.69,,,,,,1,,,,,2021-06-01
2939777,Baseball Cards 2021 Topps Chrome Black,Alex Kirilloff [Gold Refractor] #95,$7.38,,,$12.50,$14.00,,,,,,,$1.60,$8.09,,,,,,4,,,,,2021-06-01
2939578,Baseball Cards 2021 Topps Chrome Black,Alex Kirilloff [Green Atomic Refractor] #95,$11.00,,,,,$5.00,$7.00,$3.00,$3.00,,,$3.00,$11.99,,,,,,2,,,,,2021-06-01
2939480,Baseball Cards 2021 Topps Chrome Black,Alex Kirilloff [Green Refractor] #95,$4.14,,,,,,,,,,,$0.90,$4.59,,,,,,4,,,,,2021-06-01
2939977,Baseball Cards 2021 Topps Chrome Black,Alex Kirilloff [Magenta Refractor] #95,$19.99,,,$3.26,$4.00,,,,,,,$6.60,$21.99,,,,,,2,,,,,2021-06-01
2939877,Baseball Cards 2021 Topps Chrome Black,Alex Kirilloff [Orange Refractor] #95,$34.50,,,,$1.25,,,,,,,$15.20,$37.99,,,,,,2,,,,,2021-06-01
2939380,Baseball Cards 2021 Topps Chrome Black,Alex Kirilloff [Purple Refractor] #95,$4.80,,,,,,,,,,,$1.10,$5.29,,,,,,2,,,,,2021-06-01
2940077,Baseball Cards 2021 Topps Chrome Black,Alex Kirilloff [Red Refractor] #95,$28.00,,,,,$44.99,$58.00,$27.00,$27.00,,,$9.30,$30.99,,,,,,2,,,,,2021-06-01
2939282,Baseball Cards 2021 Topps Chrome Black,Alex Kirilloff [Refractor] #95,$6.99,,,,,,,,,,,$1.50,$7.69,,,,,,4,,,,,2021-06-01
2939115,Baseball Cards 2021 Topps Chrome Black,Andres Gimenez #28,$1.66,,$6.29,$11.83,$23.02,$32.78,$43.00,$20.00,$20.00,,,,$1.79,,,$1.40,$6.89,,7,,,,,2021-06-01
2939611,Baseball Cards 2021 Topps Chrome Black,Andres Gimenez [Blue Refractor] #28,$1.51,,,,,,,,,,,,$1.69,,,,,,2,,,,,2021-06-01
2939711,Baseball Cards 2021 Topps Chrome Black,Andres Gimenez [Gold Refractor] #28,$11.66,,,$35.00,$39.00,,,,,,,$3.30,$12.99,,,,,,3,,,,,2021-06-01
2939513,Baseball Cards 2021 Topps Chrome Black,Andres Gimenez [Green Atomic Refractor] #28,$0.99,,$9.75,$22.00,$24.00,,,,,,,,$1.09,,,$2.80,$10.99,,4,,,,,2021-06-01
2939413,Baseball Cards 2021 Topps Chrome Black,Andres Gimenez [Green Refractor] #28,$3.95,,,$23.50,$26.00,$28.00,$36.00,$17.00,$17.00,,,$0.90,$4.39,,,,,,4,,,,,2021-06-01
2939910,Baseball Cards 2021 Topps Chrome Black,Andres Gimenez [Magenta Refractor] #28,$34.88,,,,,,,,,,,$15.20,$37.99,,,,,,1,,,,,2021-06-01
2939810,Baseball Cards 2021 Topps Chrome Black,Andres Gimenez [Orange Refractor] #28,$11.50,,,,,,,,,,,$3.30,$12.99,,,,,,1,,,,,2021-06-01
2939315,Baseball Cards 2021 Topps Chrome Black,Andres Gimenez [Purple Refractor] #28,$2.39,,,,,,,,,,,,$2.59,,,,,,5,,,,,2021-06-01
2940010,Baseball Cards 2021 Topps Chrome Black,Andres Gimenez [Red Refractor] #28,$41.00,,,,,,,,,,,$18.00,$44.99,,,,,,1,,,,,2021-06-01
2939215,Baseball Cards 2021 Topps Chrome Black,Andres Gimenez [Refractor] #28,$1.25,,,,,,,,,,,,$1.39,,,,,,4,,,,,2021-06-01
2939088,Baseball Cards 2021 Topps Chrome Black,Andrew Vaughn #1,$2.00,,$6.54,$12.19,$23.61,$33.32,$43.00,$20.00,$20.00,,,,$2.19,,,$1.40,$7.19,,7,,,,,2021-06-01
2939584,Baseball Cards 2021 Topps Chrome Black,Andrew Vaughn [Blue Refractor] #1,$6.80,,,,,,,,,,,$1.50,$7.49,,,,,,2,,,,,2021-06-01
2939685,Baseball Cards 2021 Topps Chrome Black,Andrew Vaughn [Gold Refractor] #1,$8.13,,,,,$150.00,$195.00,$90.00,$90.00,,,$1.80,$8.89,,,,,,2,,,,,2021-06-01
2939486,Baseball Cards 2021 Topps Chrome Black,Andrew Vaughn [Green Atomic Refractor] #1,$4.25,,,$7.50,$8.00,,,,,,,$0.90,$4.69,,,,,,3,,,,,2021-06-01
2939386,Baseball Cards 2021 Topps Chrome Black,Andrew Vaughn [Green Refractor] #1,$5.24,,,$35.00,$39.00,,,,,,,$1.20,$5.79,,,,,,3,,,,,2021-06-01
2939883,Baseball Cards 2021 Topps Chrome Black,Andrew Vaughn [Magenta Refractor] #1,$152.50,,,,,,,,,,,$84.00,$168.00,,,,,,1,,,,,2021-06-01
2939783,Baseball Cards 2021 Topps Chrome Black,Andrew Vaughn [Orange Refractor] #1,$2.25,,,$97.41,$107.00,,,,,,,,$2.49,,,,,,2,,,,,2021-06-01
