id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
2471304,Baseball Cards 2021 Topps Gypsy Queen,A. J. Puk #183,$0.25,,,,,,,,,,,,$0.99,,,,,,0,,,,,2021-07-16
2472374,Baseball Cards 2021 Topps Gypsy Queen,A. J. Puk [Bazooka Back] #GQ-183,,,,,,,,,,,,,,,,,,,0,,,,,2021-07-16
2474494,Baseball Cards 2021 Topps Gypsy Queen,A. J. Puk [Black & White] #183,$3.49,,,,,,,,,,,$0.80,$3.79,,,,,,1,,,,,2021-07-16
11309226,Baseball Cards 2021 Topps Gypsy Queen,A. J. Puk [Black] #183,,,,,,,,,,,,,,,,,,,0,,,,,2021-07-16
2472988,Baseball Cards 2021 Topps Gypsy Queen,A. J. Puk [Blue] #183,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2021-07-16
2472690,Baseball Cards 2021 Topps Gypsy Queen,A. J. Puk [Green] #183,,,,,,,,,,,,,,,,,,,0,,,,,2021-07-16
2473306,Baseball Cards 2021 Topps Gypsy Queen,A. J. Puk [Indigo] #183,$0.93,,,,,,,,,,,,$0.99,,,,,,1,,,,,2021-07-16
2474195,Baseball Cards 2021 Topps Gypsy Queen,A. J. Puk [Mauve] #183,$9.99,,,,,,,,,,,$2.80,$10.99,,,,,,0,,,,,2021-07-16
2471735,Baseball Cards 2021 Topps Gypsy Queen,A. J. Puk [Missing Nameplate] #183,$0.25,,,,,,,,,,,,$0.99,,,,,,0,,,,,2021-07-16
2474791,Baseball Cards 2021 Topps Gypsy Queen,A. J. Puk [Red] #183,,,,,,,,,,,,,,,,,,,0,,,,,2021-07-16
2473899,Baseball Cards 2021 Topps Gypsy Queen,A. J. Puk [Sepia] #183,$4.99,,,,,,,,,,,$1.10,$5.49,,,,,,1,,,,,2021-07-16
2472054,Baseball Cards 2021 Topps Gypsy Queen,A. J. Puk [Team Script Font Swap] #183,$3.40,,,,,,,,,,,,$3.69,,,,,,0,,,,,2021-07-16
