id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
6268764,Baseball Cards 2023 Bowman Draft Chrome,AJ Ewing #BDC-152,$5.08,,$8.80,$15.87,$30.39,$42.13,$55.00,$25.00,$25.00,,,$1.10,$5.59,,,$1.90,$9.69,,524,,,,,2023-06-01
6270572,Baseball Cards 2023 Bowman Draft Chrome,AJ Ewing [Aqua Lunar Crater] #BDC-152,$20.00,,,,,,,,,,,$6.60,$21.99,,,,,,3,,,,,2023-06-01
6270771,Baseball Cards 2023 Bowman Draft Chrome,AJ Ewing [Aqua Wave] #BDC-152,$40.00,,,,,,,,,,,$17.60,$43.99,,,,,,6,,,,,2023-06-01
6270374,Baseball Cards 2023 Bowman Draft Chrome,AJ Ewing [Blue] #BDC-152,$69.49,,$57.20,$90.65,$162.88,$300.00,$390.00,$180.00,$180.00,,,$30.40,$75.99,,,$25.20,$62.99,,11,,,,,2023-06-01
6270172,Baseball Cards 2023 Bowman Draft Chrome,AJ Ewing [Fuchsia Lunar] #BDC-152,$41.00,,,$24.00,$26.00,,,,,,,$18.00,$44.99,,,,,,4,,,,,2023-06-01
6271772,Baseball Cards 2023 Bowman Draft Chrome,AJ Ewing [Gold] #BDC-152,$188.50,,,$30.00,$33.00,,,,,,,$103.50,$207.00,,,,,,5,,,,,2023-06-01
6271171,Baseball Cards 2023 Bowman Draft Chrome,AJ Ewing [Green Grass] #BDC-152,$8.01,,,,,,,,,,,$1.80,$8.79,,,,,,3,,,,,2023-06-01
6270970,Baseball Cards 2023 Bowman Draft Chrome,AJ Ewing [Green] #BDC-152,$7.43,,,$20.50,$23.00,$99.99,$130.00,$60.00,$60.00,,,$1.60,$8.19,,,,,,6,,,,,2023-06-01
6269167,Baseball Cards 2023 Bowman Draft Chrome,AJ Ewing [Japan] #BDC-152,$7.00,,,,,,,,,,,$1.50,$7.69,,,,,,1,,,,,2023-06-01
6269568,Baseball Cards 2023 Bowman Draft Chrome,AJ Ewing [Lunar Glow] #BDC-152,$1.78,,$9.68,$17.24,$32.84,$45.03,$59.00,$27.00,$2.99,,,,$1.99,,,$2.80,$10.99,,9,,,,,2023-06-01
6271971,Baseball Cards 2023 Bowman Draft Chrome,AJ Ewing [Orange] #BDC-152,$46.50,,,,,,,,,,,$20.40,$50.99,,,,,,1,,,,,2023-06-01
6273374,Baseball Cards 2023 Bowman Draft Chrome,AJ Ewing [Pearl] #BDC-152,$106.43,,,,,,,,,,,$58.50,$117.00,,,,,,1,,,,,2023-06-01
