id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
6168664,Baseball Cards 2023 Topps Chrome Black Autographs,Adrian Beltre #CBA-ABE,$35.00,,$33.48,$45.00,$84.00,$85.34,$111.00,$51.00,$51.00,,,$15.60,$38.99,,,$14.80,$36.99,,17,,,,,2023-06-01
6169066,Baseball Cards 2023 Topps Chrome Black Autographs,Adrian Beltre [Gold Mini Diamond] #CBA-ABE,$42.00,,,$51.00,$56.00,,,,,,,$18.40,$45.99,,,,,,5,,,,,2023-06-01
6168966,Baseball Cards 2023 Topps Chrome Black Autographs,Adrian Beltre [Gold] #CBA-ABE,$45.00,,$41.66,$55.00,$108.00,$110.50,$144.00,$66.00,$66.00,,,$20.00,$49.99,,,$18.40,$45.99,,12,,,,,2023-06-01
6168866,Baseball Cards 2023 Topps Chrome Black Autographs,Adrian Beltre [Green] #CBA-ABE,$37.13,,$35.34,$39.00,$102.67,$154.37,$201.00,$93.00,$93.00,,,$16.40,$40.99,,,$15.60,$38.99,,14,,,,,2023-06-01
6169167,Baseball Cards 2023 Topps Chrome Black Autographs,Adrian Beltre [Orange] #CBA-ABE,$67.50,,,,,,,,,,,$29.60,$73.99,,,,,,5,,,,,2023-06-01
6169268,Baseball Cards 2023 Topps Chrome Black Autographs,Adrian Beltre [Red] #CBA-ABE,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6168766,Baseball Cards 2023 Topps Chrome Black Autographs,Adrian Beltre [Refractor] #CBA-ABE,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6169368,Baseball Cards 2023 Topps Chrome Black Autographs,Adrian Beltre [Superfractor] #CBA-ABE,$425.00,,,,,,,,,,,$234.00,$468.00,,,,,,1,,,,,2023-06-01
6168665,Baseball Cards 2023 Topps Chrome Black Autographs,Alec Burleson #CBA-ABU,$16.55,,$21.29,$25.00,$27.00,$27.95,$36.00,$17.00,$17.00,,,$4.50,$17.99,,,$6.90,$22.99,,20,,,,,2023-06-01
6169067,Baseball Cards 2023 Topps Chrome Black Autographs,Alec Burleson [Gold Mini Diamond] #CBA-ABU,$40.00,,,,,,,,,,,$17.60,$43.99,,,,,,3,,,,,2023-06-01
