id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
6029057,Baseball Cards 2023 Topps Chrome Update Action Stars,Aaron Judge #ASC-15,$2.20,$8.00,$10.43,$22.26,$23.54,$43.03,$56.00,$26.00,$19.19,,,,$2.39,$1.80,$8.79,$2.80,$10.99,,324,,,,,2023-06-01
6029117,Baseball Cards 2023 Topps Chrome Update Action Stars,Aaron Judge [Gold] #ASC-15,$17.50,,$37.99,$88.75,$98.00,$110.00,$143.00,$66.00,$66.00,,,$4.80,$18.99,,,$16.80,$41.99,,10,,,,,2023-06-01
6029087,Baseball Cards 2023 Topps Chrome Update Action Stars,Aaron Judge [Green] #ASC-15,$17.99,,,,,,,,$47.99,,,$5.00,$19.99,,,,,,4,,,,,2023-06-01
6029147,Baseball Cards 2023 Topps Chrome Update Action Stars,Aaron Judge [Orange] #ASC-15,$29.10,,,,,$152.00,$198.00,$91.00,$91.00,,,$9.60,$31.99,,,,,,4,,,,,2023-06-01
6029176,Baseball Cards 2023 Topps Chrome Update Action Stars,Aaron Judge [Red] #ASC-15,$100.79,,,$59.99,$91.00,,,,,,,$55.50,$111.00,,,,,,3,,,,,2023-06-01
6029206,Baseball Cards 2023 Topps Chrome Update Action Stars,Aaron Judge [Superfractor] #ASC-15,$610.00,,,,,,,,,,,$402.60,$671.00,,,,,,1,,,,,2023-06-01
6029043,Baseball Cards 2023 Topps Chrome Update Action Stars,Adley Rutschman #ASC-1,$1.94,,$4.25,$4.25,$5.50,$18.03,$23.00,$11.00,$8.00,,,,$2.09,,,$0.90,$4.69,,58,,,,,2023-06-01
6029103,Baseball Cards 2023 Topps Chrome Update Action Stars,Adley Rutschman [Gold] #ASC-1,$27.84,,,,,,,,,,,$9.30,$30.99,,,,,,2,,,,,2023-06-01
6029073,Baseball Cards 2023 Topps Chrome Update Action Stars,Adley Rutschman [Green] #ASC-1,$10.00,,$13.15,$22.54,$42.17,$55.64,$72.00,$33.00,$33.00,,,$2.80,$10.99,,,$3.50,$13.99,,7,,,,,2023-06-01
6029133,Baseball Cards 2023 Topps Chrome Update Action Stars,Adley Rutschman [Orange] #ASC-1,$45.00,,$16.74,$18.00,$20.00,,,,,,,$20.00,$49.99,,,$4.50,$17.99,,19,,,,,2023-06-01
6029162,Baseball Cards 2023 Topps Chrome Update Action Stars,Adley Rutschman [Red] #ASC-1,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6029192,Baseball Cards 2023 Topps Chrome Update Action Stars,Adley Rutschman [Superfractor] #ASC-1,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6029069,Baseball Cards 2023 Topps Chrome Update Action Stars,Alex Bregman #ASC-27,$1.52,,$6.24,$11.91,$23.37,$30.00,$39.00,$18.00,$18.00,,,,$1.69,,,$1.40,$6.89,,12,,,,,2023-06-01
6029129,Baseball Cards 2023 Topps Chrome Update Action Stars,Alex Bregman [Gold] #ASC-27,$8.52,,,,,,,,,,,$1.90,$9.39,,,,,,4,,,,,2023-06-01
6029099,Baseball Cards 2023 Topps Chrome Update Action Stars,Alex Bregman [Green] #ASC-27,$2.66,,,,,,,,,,,,$2.89,,,,,,1,,,,,2023-06-01
6029158,Baseball Cards 2023 Topps Chrome Update Action Stars,Alex Bregman [Orange] #ASC-27,$10.49,,,,,,,,,,,$3.00,$11.99,,,,,,1,,,,,2023-06-01
6029188,Baseball Cards 2023 Topps Chrome Update Action Stars,Alex Bregman [Red] #ASC-27,$14.95,,,,,,,,,,,$4.00,$15.99,,,,,,1,,,,,2023-06-01
6029218,Baseball Cards 2023 Topps Chrome Update Action Stars,Alex Bregman [Superfractor] #ASC-27,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6029070,Baseball Cards 2023 Topps Chrome Update Action Stars,Anthony Volpe #ASC-28,$1.27,,$5.50,$6.00,$7.00,$17.59,$23.00,$11.00,$10.00,,,,$1.39,,,$1.20,$6.09,,43,,,,,2023-06-01
6029130,Baseball Cards 2023 Topps Chrome Update Action Stars,Anthony Volpe [Gold] #ASC-28,$14.50,,,,,$78.78,$102.00,$47.00,$47.00,,,$4.00,$15.99,,,,,,4,,,,,2023-06-01
6029100,Baseball Cards 2023 Topps Chrome Update Action Stars,Anthony Volpe [Green] #ASC-28,$13.54,,,,,$33.83,$44.00,$20.00,$20.00,,,$3.80,$14.99,,,,,,4,,,,,2023-06-01
6029159,Baseball Cards 2023 Topps Chrome Update Action Stars,Anthony Volpe [Orange] #ASC-28,$50.00,,,,,,,,,,,$22.00,$54.99,,,,,,1,,,,,2023-06-01
6029189,Baseball Cards 2023 Topps Chrome Update Action Stars,Anthony Volpe [Red] #ASC-28,$100.99,,$150.00,,,,,,,,,$55.50,$111.00,,,$82.50,$165.00,,2,,,,,2023-06-01
6029219,Baseball Cards 2023 Topps Chrome Update Action Stars,Anthony Volpe [Superfractor] #ASC-28,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6029068,Baseball Cards 2023 Topps Chrome Update Action Stars,Bo Bichette #ASC-26,$1.11,,$5.88,$11.35,$16.00,$16.00,$21.00,$10.00,$10.00,,,,$1.19,,,$1.30,$6.49,,15,,,,,2023-06-01
6029128,Baseball Cards 2023 Topps Chrome Update Action Stars,Bo Bichette [Gold] #ASC-26,$2.24,,,,,,,,,,,,$2.49,,,,,,2,,,,,2023-06-01
6029098,Baseball Cards 2023 Topps Chrome Update Action Stars,Bo Bichette [Green] #ASC-26,$2.91,,,,,,,,,,,,$3.19,,,,,,2,,,,,2023-06-01
6029157,Baseball Cards 2023 Topps Chrome Update Action Stars,Bo Bichette [Orange] #ASC-26,$7.36,,,,,,,,,,,$1.60,$8.09,,,,,,2,,,,,2023-06-01
6029187,Baseball Cards 2023 Topps Chrome Update Action Stars,Bo Bichette [Red] #ASC-26,$36.00,,,,,,,,,,,$16.00,$39.99,,,,,,1,,,,,2023-06-01
6029217,Baseball Cards 2023 Topps Chrome Update Action Stars,Bo Bichette [Superfractor] #ASC-26,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6029059,Baseball Cards 2023 Topps Chrome Update Action Stars,Bobby Witt Jr. #ASC-17,$1.27,,$15.51,$19.12,$22.79,$24.00,$31.00,$14.00,$14.00,,,,$1.39,,,$4.30,$16.99,,97,,,,,2023-06-01
6029119,Baseball Cards 2023 Topps Chrome Update Action Stars,Bobby Witt Jr. [Gold] #ASC-17,$27.58,,$35.00,$39.00,$43.00,,,$38.00,,,,$9.00,$29.99,,,$15.60,$38.99,,5,,,,,2023-06-01
6029089,Baseball Cards 2023 Topps Chrome Update Action Stars,Bobby Witt Jr. [Green] #ASC-17,$18.50,,$13.63,$33.22,$61.05,$77.53,$101.00,$47.00,$47.00,,,$5.00,$19.99,,,$3.80,$14.99,,8,,,,,2023-06-01
6029149,Baseball Cards 2023 Topps Chrome Update Action Stars,Bobby Witt Jr. [Orange] #ASC-17,$46.00,,,,,,,,,,,$20.40,$50.99,,,,,,3,,,,,2023-06-01
6029178,Baseball Cards 2023 Topps Chrome Update Action Stars,Bobby Witt Jr. [Red] #ASC-17,$149.99,,,,,,,,,,,$82.50,$165.00,,,,,,0,,,,,2023-06-01
6029208,Baseball Cards 2023 Topps Chrome Update Action Stars,Bobby Witt Jr. [Superfractor] #ASC-17,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6029053,Baseball Cards 2023 Topps Chrome Update Action Stars,Brett Baty #ASC-11,$1.46,,$6.19,$13.79,$17.00,$17.00,$22.00,$10.00,$9.99,,,,$1.59,,,$1.40,$6.79,,23,,,,,2023-06-01
6029113,Baseball Cards 2023 Topps Chrome Update Action Stars,Brett Baty [Gold] #ASC-11,$7.51,,,,,,,,,,,$1.70,$8.29,,,,,,1,,,,,2023-06-01
6029083,Baseball Cards 2023 Topps Chrome Update Action Stars,Brett Baty [Green] #ASC-11,$2.30,,,,,,,,,,,,$2.49,,,,,,1,,,,,2023-06-01
6029143,Baseball Cards 2023 Topps Chrome Update Action Stars,Brett Baty [Orange] #ASC-11,$18.62,,,,,,,,,,,$5.00,$19.99,,,,,,2,,,,,2023-06-01
6029172,Baseball Cards 2023 Topps Chrome Update Action Stars,Brett Baty [Red] #ASC-11,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6029202,Baseball Cards 2023 Topps Chrome Update Action Stars,Brett Baty [Superfractor] #ASC-11,,,,$132.50,$146.00,,,,,,,,,,,,,,1,,,,,2023-06-01
6029058,Baseball Cards 2023 Topps Chrome Update Action Stars,Bryce Harper #ASC-16,$1.56,,$6.27,$8.00,$10.00,$25.25,$33.00,$15.00,$15.00,,,,$1.69,,,$1.40,$6.89,,30,,,,,2023-06-01
6029118,Baseball Cards 2023 Topps Chrome Update Action Stars,Bryce Harper [Gold] #ASC-16,$14.51,,,,,,,,,,,$4.00,$15.99,,,,,,3,,,,,2023-06-01
6029088,Baseball Cards 2023 Topps Chrome Update Action Stars,Bryce Harper [Green] #ASC-16,$7.29,,,$15.50,$17.00,,,,,,,$1.60,$7.99,,,,,,5,,,,,2023-06-01
6029148,Baseball Cards 2023 Topps Chrome Update Action Stars,Bryce Harper [Orange] #ASC-16,$25.00,,,,,,,,,,,$8.40,$27.99,,,,,,3,,,,,2023-06-01
6029177,Baseball Cards 2023 Topps Chrome Update Action Stars,Bryce Harper [Red] #ASC-16,,,,,,,,,$53.01,,,,,,,,,,0,,,,,2023-06-01
6029207,Baseball Cards 2023 Topps Chrome Update Action Stars,Bryce Harper [Superfractor] #ASC-16,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6029045,Baseball Cards 2023 Topps Chrome Update Action Stars,Corbin Carroll #ASC-3,$1.49,,$5.50,$9.77,$11.00,$22.72,$30.00,$11.50,$7.57,,,,$1.59,,,$1.20,$6.09,,104,,,,,2023-06-01
6029105,Baseball Cards 2023 Topps Chrome Update Action Stars,Corbin Carroll [Gold] #ASC-3,$39.99,,,$29.00,$32.00,$89.99,$117.00,$54.00,$54.00,,,$17.60,$43.99,,,,,,3,,,,,2023-06-01
6029075,Baseball Cards 2023 Topps Chrome Update Action Stars,Corbin Carroll [Green] #ASC-3,$6.44,,,,,,,,,,,$1.40,$7.09,,,,,,5,,,,,2023-06-01
6029135,Baseball Cards 2023 Topps Chrome Update Action Stars,Corbin Carroll [Orange] #ASC-3,$49.89,,,$53.63,$59.00,,,,,,,$22.00,$54.99,,,,,,2,,,,,2023-06-01
6029164,Baseball Cards 2023 Topps Chrome Update Action Stars,Corbin Carroll [Red] #ASC-3,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6029194,Baseball Cards 2023 Topps Chrome Update Action Stars,Corbin Carroll [Superfractor] #ASC-3,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6029060,Baseball Cards 2023 Topps Chrome Update Action Stars,Fernando Tatis Jr. #ASC-18,$1.04,,$5.85,$18.99,$21.00,$23.00,$30.00,$14.00,$5.50,,,,$1.09,,,$1.30,$6.39,,22,,,,,2023-06-01
6029120,Baseball Cards 2023 Topps Chrome Update Action Stars,Fernando Tatis Jr. [Gold] #ASC-18,$5.00,,,,,,,,,,,$1.10,$5.49,,,,,,1,,,,,2023-06-01
6029090,Baseball Cards 2023 Topps Chrome Update Action Stars,Fernando Tatis Jr. [Green] #ASC-18,$7.00,,,,,,,,,,,$1.50,$7.69,,,,,,3,,,,,2023-06-01
6029150,Baseball Cards 2023 Topps Chrome Update Action Stars,Fernando Tatis Jr. [Orange] #ASC-18,$13.48,,,,,,,,,,,$3.80,$14.99,,,,,,2,,,,,2023-06-01
6029179,Baseball Cards 2023 Topps Chrome Update Action Stars,Fernando Tatis Jr. [Red] #ASC-18,$20.50,,,,,,,,,,,$6.90,$22.99,,,,,,1,,,,,2023-06-01
6029209,Baseball Cards 2023 Topps Chrome Update Action Stars,Fernando Tatis Jr. [Superfractor] #ASC-18,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6029052,Baseball Cards 2023 Topps Chrome Update Action Stars,Freddie Freeman #ASC-10,$1.60,,$6.30,$7.00,$10.00,$10.51,$14.00,$6.00,$6.00,,,,$1.79,,,$1.40,$6.89,,41,,,,,2023-06-01
6029112,Baseball Cards 2023 Topps Chrome Update Action Stars,Freddie Freeman [Gold] #ASC-10,$7.99,,,,,,,,,,,$1.80,$8.79,,,,,,1,,,,,2023-06-01
6029082,Baseball Cards 2023 Topps Chrome Update Action Stars,Freddie Freeman [Green] #ASC-10,$5.00,,,,,,,,,,,$1.10,$5.49,,,,,,4,,,,,2023-06-01
6029142,Baseball Cards 2023 Topps Chrome Update Action Stars,Freddie Freeman [Orange] #ASC-10,$10.00,,,$58.00,$64.00,,,,$21.50,,,$2.80,$10.99,,,,,,3,,,,,2023-06-01
6029171,Baseball Cards 2023 Topps Chrome Update Action Stars,Freddie Freeman [Red] #ASC-10,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6029201,Baseball Cards 2023 Topps Chrome Update Action Stars,Freddie Freeman [Superfractor] #ASC-10,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6029044,Baseball Cards 2023 Topps Chrome Update Action Stars,Gunnar Henderson #ASC-2,$1.94,$4.00,$4.95,$10.75,$11.50,$25.25,$33.00,$25.00,$20.99,,,,$2.09,$0.90,$4.39,$1.10,$5.49,,154,,,,,2023-06-01
6029104,Baseball Cards 2023 Topps Chrome Update Action Stars,Gunnar Henderson [Gold] #ASC-2,$49.99,,$11.50,$30.00,$33.00,,,,,,,$22.00,$54.99,,,$3.30,$12.99,,6,,,,,2023-06-01
6029074,Baseball Cards 2023 Topps Chrome Update Action Stars,Gunnar Henderson [Green] #ASC-2,$20.88,,,$32.35,$36.00,$59.99,$78.00,$36.00,$36.00,,,$6.90,$22.99,,,,,,7,,,,,2023-06-01
6029134,Baseball Cards 2023 Topps Chrome Update Action Stars,Gunnar Henderson [Orange] #ASC-2,$0.25,,,,,,,,,,,,$0.99,,,,,,0,,,,,2023-06-01
6029163,Baseball Cards 2023 Topps Chrome Update Action Stars,Gunnar Henderson [Red] #ASC-2,,,,,,,,,$499.99,,,,,,,,,,0,,,,,2023-06-01
6029193,Baseball Cards 2023 Topps Chrome Update Action Stars,Gunnar Henderson [Superfractor] #ASC-2,$799.99,,,,,,,,,,,$528.00,$880.00,,,,,,1,,,,,2023-06-01
6029072,Baseball Cards 2023 Topps Chrome Update Action Stars,Jazz Chisholm Jr. #ASC-30,$1.27,,$6.03,$11.59,$22.81,$33.25,$43.00,$20.00,$10.50,,,,$1.39,,,$1.30,$6.59,,12,,,,,2023-06-01
6029132,Baseball Cards 2023 Topps Chrome Update Action Stars,Jazz Chisholm Jr. [Gold] #ASC-30,$5.12,,,,,,,,,,,$1.10,$5.59,,,,,,3,,,,,2023-06-01
6029102,Baseball Cards 2023 Topps Chrome Update Action Stars,Jazz Chisholm Jr. [Green] #ASC-30,$1.50,,,,,,,,,,,,$1.69,,,,,,2,,,,,2023-06-01
6029161,Baseball Cards 2023 Topps Chrome Update Action Stars,Jazz Chisholm Jr. [Orange] #ASC-30,$17.26,,,,,,,,,,,$4.80,$18.99,,,,,,1,,,,,2023-06-01
6029191,Baseball Cards 2023 Topps Chrome Update Action Stars,Jazz Chisholm Jr. [Red] #ASC-30,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6029221,Baseball Cards 2023 Topps Chrome Update Action Stars,Jazz Chisholm Jr. [Superfractor] #ASC-30,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6029054,Baseball Cards 2023 Topps Chrome Update Action Stars,Jordan Walker #ASC-12,$1.60,,$6.26,$11.92,$13.00,$28.33,$37.00,$17.00,$5.50,,,,$1.79,,,$1.40,$6.89,,135,,,,,2023-06-01
6029114,Baseball Cards 2023 Topps Chrome Update Action Stars,Jordan Walker [Gold] #ASC-12,$23.12,,,,,,,,,,,$7.50,$24.99,,,,,,3,,,,,2023-06-01
6029084,Baseball Cards 2023 Topps Chrome Update Action Stars,Jordan Walker [Green] #ASC-12,$6.88,,,$12.69,$14.00,$49.99,$65.00,$30.00,$30.00,,,$1.50,$7.59,,,,,,7,,,,,2023-06-01
6029144,Baseball Cards 2023 Topps Chrome Update Action Stars,Jordan Walker [Orange] #ASC-12,$34.95,,,$56.00,$62.00,,,,,,,$15.20,$37.99,,,,,,2,,,,,2023-06-01
6029173,Baseball Cards 2023 Topps Chrome Update Action Stars,Jordan Walker [Red] #ASC-12,$160.00,,,,,,,,,,,$88.00,$176.00,,,,,,1,,,,,2023-06-01
6029203,Baseball Cards 2023 Topps Chrome Update Action Stars,Jordan Walker [Superfractor] #ASC-12,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6029061,Baseball Cards 2023 Topps Chrome Update Action Stars,Juan Soto #ASC-19,$1.30,,$6.20,$11.84,$23.26,$32.00,$42.00,$19.00,$19.00,,,,$1.39,,,$1.40,$6.79,,24,,,,,2023-06-01
6029121,Baseball Cards 2023 Topps Chrome Update Action Stars,Juan Soto [Gold] #ASC-19,$14.02,,,,,,,,,,,$3.80,$14.99,,,,,,3,,,,,2023-06-01
6029091,Baseball Cards 2023 Topps Chrome Update Action Stars,Juan Soto [Green] #ASC-19,$7.00,,,,,,,,,,,$1.50,$7.69,,,,,,2,,,,,2023-06-01
6029151,Baseball Cards 2023 Topps Chrome Update Action Stars,Juan Soto [Orange] #ASC-19,$5.50,,,,,,,,,,,$1.20,$6.09,,,,,,2,,,,,2023-06-01
6029180,Baseball Cards 2023 Topps Chrome Update Action Stars,Juan Soto [Red] #ASC-19,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6029210,Baseball Cards 2023 Topps Chrome Update Action Stars,Juan Soto [Superfractor] #ASC-19,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6029062,Baseball Cards 2023 Topps Chrome Update Action Stars,Julio Rodriguez #ASC-20,$1.28,,$6.05,$11.62,$20.00,$20.25,$26.00,$12.00,$12.00,,,,$1.39,,,$1.30,$6.69,,23,,,,,2023-06-01
6029122,Baseball Cards 2023 Topps Chrome Update Action Stars,Julio Rodriguez [Gold] #ASC-20,$26.55,,,,,$56.00,$73.00,$34.00,$34.00,,,$8.70,$28.99,,,,,,4,,,,,2023-06-01
6029092,Baseball Cards 2023 Topps Chrome Update Action Stars,Julio Rodriguez [Green] #ASC-20,$6.50,,,$8.26,$9.00,,,,,,,$1.40,$7.19,,,,,,3,,,,,2023-06-01
6033159,Baseball Cards 2023 Topps Chrome Update Action Stars,Julio Rodriguez [Orange] #ASC-20,$17.99,,,,,,,,,,,$5.00,$19.99,,,,,,2,,,,,2023-06-01
