id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
6687247,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz #BCP-16,$1.21,,$6.25,$7.00,$11.00,$11.50,$15.00,$7.00,$7.00,,,,$1.29,,,$1.40,$6.89,,27,,,,,2024-05-08
6841510,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Aqua Lunar] #BCP-16,$7.50,,,,,,,,,,,$1.70,$8.29,,,,,,5,,,,,2024-05-08
8451311,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Aqua Mojo] #BCP-16,$7.00,,,,,,,,,,,$1.50,$7.69,,,,,,0,,,,,2024-11-01
6841511,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Aqua Shimmer] #BCP-16,$6.99,,,,,,,,,,,$1.50,$7.69,,,,,,4,,,,,2024-05-08
8451319,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Black Mojo] #BCP-16,,,,,,,,,,,,,,,,,,,0,,,,,2024-11-01
6841519,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Black] #BCP-16,$3.90,,,$10.50,$12.00,$38.74,$50.00,$23.00,$23.00,,,$0.90,$4.29,,,,,,4,,,,,2024-05-08
6841509,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Blue RayWave] #BCP-16,$6.50,,$10.47,$12.17,$36.04,$50.72,$66.00,$30.00,$30.00,,,$1.40,$7.19,,,$3.00,$11.99,,22,,,,,2024-05-08
6841508,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Blue] #BCP-16,$4.75,,$10.82,$19.38,$37.07,$52.09,$68.00,$31.00,$31.00,,,$1.00,$5.19,,,$3.00,$11.99,,16,,,,,2024-05-08
6845586,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Fuchsia Lunar] #BCP-16,$2.37,,,,,,,,,,,,$2.59,,,,,,2,,,,,2024-05-08
8451310,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Fuchsia Mojo] #BCP-16,$3.63,,,,,,,,,,,$0.80,$3.99,,,,,,3,,,,,2024-11-01
6841506,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Fuchsia] #BCP-16,$5.47,,,,,,,,,,,$1.20,$5.99,,,,,,5,,,,,2024-05-08
8451316,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Gold Mojo] #BCP-16,,,,,,,,,,,,,,,,,,,0,,,,,2024-11-01
6841517,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Gold] #BCP-16,$23.09,,,,,,,,,,,$7.50,$24.99,,,,,,3,,,,,2024-05-08
6841513,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Green Grass] #BCP-16,$7.50,,,,,,,,,,,$1.70,$8.29,,,,,,3,,,,,2024-05-08
8451314,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Green Mojo] #BCP-16,$6.00,,,,,,,,,,,$1.30,$6.59,,,,,,2,,,,,2024-11-01
6841512,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Green] #BCP-16,$4.29,,$8.62,$9.00,$30.62,$43.76,$57.00,$26.00,$26.00,,,$0.90,$4.69,,,$1.90,$9.49,,9,,,,,2024-05-08
6841503,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Lava] #BCP-16,$1.74,,$6.36,$12.20,$24.00,$35.17,$46.00,$21.00,$21.00,,,,$1.89,,,$1.40,$6.99,,8,,,,,2024-05-08
6841499,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Lunar Glow] #BCP-16,$1.42,,$6.05,$11.70,$16.00,$16.53,$21.00,$10.00,$10.00,,,,$1.59,,,$1.30,$6.69,,80,,,,,2024-05-08
6841500,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Mini-Diamond] #BCP-16,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
10612860,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Mojo Aqua] #BCP-16,$5.01,,,,,,,,,,,$1.10,$5.49,,,,,,4,,,,,2024-05-08
10612862,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Mojo Black] #BCP-16,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
10612864,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Mojo Blue] #BCP-16,$5.99,,,,,,,,,,,$1.30,$6.59,,,,,,1,,,,,2024-05-08
10612866,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Mojo Fuchsia] #BCP-16,$5.74,,,,,$10.00,$13.00,$6.00,$6.00,,,$1.30,$6.29,,,,,,6,,,,,2024-05-08
10612868,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Mojo Gold] #BCP-16,,,,,,$59.99,$78.00,$36.00,$36.00,,,,,,,,,,1,,,,,2024-05-08
10612870,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Mojo Green] #BCP-16,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
10612872,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Mojo Navy] #BCP-16,$1.00,,,,,,,,,,,,$1.09,,,,,,1,,,,,2024-05-08
10612873,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Mojo Orange] #BCP-16,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
10612875,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Mojo Pink] #BCP-16,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
10612876,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Mojo Purple] #BCP-16,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
10612879,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Mojo Red] #BCP-16,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
10612881,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Mojo Yellow] #BCP-16,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
6903318,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Mojo] #BCP-16,$1.31,,$6.11,$11.79,$23.26,$34.21,$44.00,$21.00,$21.00,,,,$1.39,,,$1.30,$6.69,,59,,,,,2024-05-08
8451317,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Orange Mojo] #BCP-16,$25.00,,,,,,,,,,,$8.40,$27.99,,,,,,1,,,,,2024-11-01
6841518,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Orange] #BCP-16,$29.87,,,,,,,,,,,$9.90,$32.99,,,,,,3,,,,,2024-05-08
6841501,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Pearl] #BCP-16,$30.00,,,,,,,,,,,$9.90,$32.99,,,,,,2,,,,,2024-05-08
8451313,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Pink Mojo] #BCP-16,$5.00,,,,,,,,,,,$1.10,$5.49,,,,,,5,,,,,2024-11-01
6841523,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Printing Plate] #BCP-16,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
8451312,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Purple Mojo] #BCP-16,$4.99,,,,,,,,,,,$1.10,$5.49,,,,,,5,,,,,2024-11-01
6841507,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Purple RayWave] #BCP-16,$2.49,,,,,,,,,,,,$2.69,,,,,,1,,,,,2024-05-08
6841505,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Purple] #BCP-16,$3.62,,$8.05,$9.03,$28.95,$41.59,$54.00,$25.00,$25.00,,,$0.80,$3.99,,,$1.80,$8.89,,11,,,,,2024-05-08
6841522,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Red Lava] #BCP-16,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
8451318,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Red Mojo] #BCP-16,,,,,,$77.00,$100.00,$46.00,$46.00,,,,,,,,,,1,,,,,2024-11-01
6841521,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Red] #BCP-16,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
6841502,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Refractor] #BCP-16,$1.82,,$7.20,$8.00,$26.46,$38.36,$50.00,$23.00,$23.00,,,,$1.99,,,$1.60,$7.89,,21,,,,,2024-05-08
6845590,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Rose Gold Mini-Diamond] #BCP-16,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
6841520,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Rose Gold] #BCP-16,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
6845587,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Shimmer Blue] #BCP-16,$6.99,,,,,$33.99,$44.00,$20.00,$20.00,,,$1.50,$7.69,,,,,,5,,,,,2024-05-08
6845588,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Shimmer Gold] #BCP-16,$8.50,,,,,$55.20,$72.00,$33.00,$33.00,,,$1.90,$9.39,,,,,,3,,,,,2024-05-08
6841514,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Shimmer Green] #BCP-16,$9.70,,,,,,,,,,,$2.80,$10.99,,,,,,4,,,,,2024-05-08
6845589,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Shimmer Orange] #BCP-16,$19.98,,,,,,,,,,,$6.60,$21.99,,,,,,1,,,,,2024-05-08
6841504,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Speckle] #BCP-16,$3.99,,$8.36,$15.41,$29.85,$42.74,$56.00,$26.00,$26.00,,,$0.90,$4.39,,,$1.80,$9.19,,10,,,,,2024-05-08
6841524,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Superfractor] #BCP-16,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
6841516,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Yellow Lunar] #BCP-16,$5.20,,,,,,,,,,,$1.10,$5.69,,,,,,2,,,,,2024-05-08
8451315,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Yellow Mojo] #BCP-16,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2024-11-01
6841515,Baseball Cards 2024 Bowman Chrome Prospects,Abimelec Ortiz [Yellow] #BCP-16,$7.39,,$11.22,$20.03,$38.25,$53.59,$70.00,$32.00,$32.00,,,$1.60,$8.09,,,$3.00,$11.99,,6,,,,,2024-05-08
6687286,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez #BCP-56,$1.25,,$6.05,$11.70,$14.00,$14.00,$18.00,$8.00,$8.00,,,,$1.39,,,$1.30,$6.69,,18,,,,,2024-05-08
6842711,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Aqua Lunar] #BCP-56,$4.99,,,,,,,,,,,$1.10,$5.49,,,,,,1,,,,,2024-05-08
6842712,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Aqua Shimmer] #BCP-56,$1.00,,,,,,,,,,,,$1.09,,,,,,1,,,,,2024-05-08
6842722,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Black] #BCP-56,$6.50,,,,,$40.00,$52.00,$24.00,$24.00,,,$1.40,$7.19,,,,,,2,,,,,2024-05-08
6842709,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Blue RayWave] #BCP-56,$2.13,,,,,,,,,,,,$2.29,,,,,,3,,,,,2024-05-08
6842708,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Blue] #BCP-56,$6.22,,,,,,,,,,,$1.40,$6.79,,,,,,5,,,,,2024-05-08
6842707,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Fuchsia Lunar] #BCP-56,$2.29,,,,,,,,,,,,$2.49,,,,,,3,,,,,2024-05-08
6842706,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Fuchsia] #BCP-56,$3.99,,,,,,,,,,,$0.90,$4.39,,,,,,4,,,,,2024-05-08
6968972,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Fuschia] #BCP-56,$3.93,,,,,,,,,,,$0.90,$4.29,,,,,,1,,,,,
6842718,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Gold] #BCP-56,$3.95,,,,,,,,,,,$0.90,$4.39,,,,,,4,,,,,2024-05-08
6842713,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Green Grass] #BCP-56,$3.09,,,$9.50,$10.00,,,,,,,,$3.39,,,,,,4,,,,,2024-05-08
6842714,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Green] #BCP-56,$1.19,,,,,,,,,,,,$1.29,,,,,,4,,,,,2024-05-08
6842703,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Lava] #BCP-56,$3.59,,$8.03,$14.88,$28.90,$41.54,$54.00,$25.00,$25.00,,,$0.80,$3.99,,,$1.80,$8.79,,7,,,,,2024-05-08
6842700,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Lunar Glow] #BCP-56,$1.27,,$6.08,$7.50,$9.00,$9.03,$12.00,$5.00,$5.00,,,,$1.39,,,$1.30,$6.69,,19,,,,,2024-05-08
6842701,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Mini-Diamond] #BCP-56,$2.55,,,,,,,,,,,,$2.79,,,,,,2,,,,,2024-05-08
10614515,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Mojo Aqua] #BCP-56,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
10614516,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Mojo Black] #BCP-56,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
10614517,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Mojo Blue] #BCP-56,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
10614518,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Mojo Fuchsia] #BCP-56,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
10614519,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Mojo Gold] #BCP-56,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
10614520,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Mojo Green] #BCP-56,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
10614521,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Mojo Navy] #BCP-56,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
10614522,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Mojo Orange] #BCP-56,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
10614526,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Mojo Pink] #BCP-56,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
10614523,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Mojo Purple] #BCP-56,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
10614524,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Mojo Red] #BCP-56,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
10614525,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Mojo Yellow] #BCP-56,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
6903361,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Mojo] #BCP-56,$2.49,,,,,,,,,,,,$2.69,,,,,,0,,,,,2024-05-08
6842721,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Orange] #BCP-56,$29.04,,,$26.07,$29.00,$31.00,$40.00,$19.00,$19.00,,,$9.60,$31.99,,,,,,4,,,,,2024-05-08
6842702,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Pearl] #BCP-56,$20.00,,,$12.04,$13.00,,,,,,,$6.60,$21.99,,,,,,3,,,,,2024-05-08
6842727,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Printing Plate] #BCP-56,$19.76,,,,,,,,,,,$6.60,$21.99,,,,,,2,,,,,2024-05-08
6842705,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Purple RayWave] #BCP-56,$5.49,,,,,$6.01,$8.00,$4.00,$4.00,,,$1.20,$5.99,,,,,,3,,,,,2024-05-08
6842704,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Purple] #BCP-56,$2.13,,$6.80,$8.99,$25.28,$36.85,$48.00,$22.00,$22.00,,,,$2.29,,,$1.50,$7.49,,7,,,,,2024-05-08
6842726,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Red Lava] #BCP-56,$102.50,,,,,,,,,,,$56.50,$113.00,,,,,,1,,,,,2024-05-08
6842725,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Red] #BCP-56,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
6845621,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Refractor] #BCP-56,$1.49,,$6.26,$12.03,$23.70,$34.78,$45.00,$21.00,$21.00,,,,$1.59,,,$1.40,$6.89,,11,,,,,2024-05-08
6842724,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Rose Gold Mini-Diamond] #BCP-56,,,,,,,,,,,,,,,,,,,0,,,,,2024-05-08
6842723,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Rose Gold] #BCP-56,$10.50,,,,,,,,,,,$3.00,$11.99,,,,,,1,,,,,2024-05-08
6842710,Baseball Cards 2024 Bowman Chrome Prospects,Abraham Nunez [Shimmer Blue] #BCP-56,$2.91,,,,,,,,,,,,$3.19,,,,,,4,,,,,2024-05-08
