id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
10669525,Baseball Cards 2024 Topps 50/50: Shohei Ohtani,Hobby Box,$1025.00,,,,,,,,,,,$676.80,$1128.00,,,,,,85,,,,,
9984100,Baseball Cards 2024 Topps 50/50: Shohei Ohtani,Mike James [Ap Sketch],,,,,,$2375.21,$3088.00,$1425.00,$1425.00,,,,,,,,,,1,,,,,
9869297,Baseball Cards 2024 Topps 50/50: Shohei Ohtani,Shohei Ohtani #HR1,$6.50,$15.00,$19.00,$59.28,$65.00,$200.00,$260.00,$120.00,$120.00,,,$1.40,$7.19,$4.30,$16.99,$6.30,$20.99,,15,,,,,2024-12-23
9869349,Baseball Cards 2024 Topps 50/50: Shohei Ohtani,Shohei Ohtani #HR10,$5.99,,,,,,,,,,,$1.30,$6.59,,,,,,7,,,,,2024-12-23
9869437,Baseball Cards 2024 Topps 50/50: Shohei Ohtani,Shohei Ohtani #HR11,$6.95,,,,,,,$45.50,,,,$1.50,$7.69,,,,,,1,,,,,2024-12-23
9869611,Baseball Cards 2024 Topps 50/50: Shohei Ohtani,Shohei Ohtani #HR12,$4.00,,,,,$60.00,$78.00,$36.00,$36.00,,,$0.90,$4.39,,,,,,2,,,,,2024-12-23
9869626,Baseball Cards 2024 Topps 50/50: Shohei Ohtani,Shohei Ohtani #HR14,$2.15,,$6.85,$13.06,$25.64,$37.73,$49.00,$14.00,$23.00,,,,$2.39,,,$1.50,$7.49,,8,,,,,2024-12-23
9869743,Baseball Cards 2024 Topps 50/50: Shohei Ohtani,Shohei Ohtani #HR15,$3.50,,,,,,,,,,,$0.80,$3.89,,,,,,1,,,,,2024-12-23
9869848,Baseball Cards 2024 Topps 50/50: Shohei Ohtani,Shohei Ohtani #HR16,$3.99,,$8.43,$15.66,$30.46,$44.30,$58.00,$27.00,$27.00,,,$0.90,$4.39,,,$1.90,$9.29,,13,,,,,2024-12-23
9869450,Baseball Cards 2024 Topps 50/50: Shohei Ohtani,Shohei Ohtani #HR17,$6.99,,,,,,,,,,,$1.50,$7.69,,,,,,1,,,,,2024-12-23
9869563,Baseball Cards 2024 Topps 50/50: Shohei Ohtani,Shohei Ohtani #HR18,$2.99,,$4.46,$10.50,$28.62,$43.64,$57.00,$59.00,$26.00,,,,$3.29,,,$1.00,$4.89,,22,,,,,2024-12-23
9869699,Baseball Cards 2024 Topps 50/50: Shohei Ohtani,Shohei Ohtani #HR19,,,,,,,,,,,,,,,,,,,0,,,,,2024-12-23
9869319,Baseball Cards 2024 Topps 50/50: Shohei Ohtani,Shohei Ohtani #HR2,$13.50,,,,,,,,,,,$3.80,$14.99,,,,,,3,,,,,2024-12-23
9869871,Baseball Cards 2024 Topps 50/50: Shohei Ohtani,Shohei Ohtani #HR20,,,,,,,,$32.00,,,,,,,,,,,0,,,,,2024-12-23
9869929,Baseball Cards 2024 Topps 50/50: Shohei Ohtani,Shohei Ohtani #HR21,,,,,,,,,,,,,,,,,,,0,,,,,2024-12-23
9870570,Baseball Cards 2024 Topps 50/50: Shohei Ohtani,Shohei Ohtani #HR22,,,,,,,,,,,,,,,,,,,0,,,,,2024-12-23
9870583,Baseball Cards 2024 Topps 50/50: Shohei Ohtani,Shohei Ohtani #HR23,,,,,,,,$19.99,$15.50,,,,,,,,,,0,,,,,2024-12-23
9869519,Baseball Cards 2024 Topps 50/50: Shohei Ohtani,Shohei Ohtani #HR24,,,,,,,,$24.00,,,,,,,,,,,0,,,,,2024-12-23
9869637,Baseball Cards 2024 Topps 50/50: Shohei Ohtani,Shohei Ohtani #HR25,,,,,,,,,,,,,,,,,,,0,,,,,2024-12-23
9870518,Baseball Cards 2024 Topps 50/50: Shohei Ohtani,Shohei Ohtani #HR26,,,,,,,,,,,,,,,,,,,0,,,,,2024-12-23
9869850,Baseball Cards 2024 Topps 50/50: Shohei Ohtani,Shohei Ohtani #HR27,$2.62,,,,,,,,,,,,$2.89,,,,,,2,,,,,2024-12-23
9870550,Baseball Cards 2024 Topps 50/50: Shohei Ohtani,Shohei Ohtani #HR28,$2.99,,,,,,,,,,,,$3.29,,,,,,1,,,,,2024-12-23
9869779,Baseball Cards 2024 Topps 50/50: Shohei Ohtani,Shohei Ohtani #HR29,,,,,,,,,,,,,,,,,,,0,,,,,2024-12-23
9869351,Baseball Cards 2024 Topps 50/50: Shohei Ohtani,Shohei Ohtani #HR3,,,,,,,,,,,,,,,,,,,0,,,,,2024-12-23
