id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
7729065,Baseball Cards 2024 Topps Allen & Ginter,AJ Smith-Shawver #27,$1.23,,$6.06,$11.74,$23.21,$34.34,$45.00,$21.00,$21.00,,,,$1.39,,,$1.30,$6.69,,16,,,,,2024-10-30
7729067,Baseball Cards 2024 Topps Allen & Ginter,AJ Smith-Shawver [Back Mini] #27,$1.00,,,,,,,,,,,,$1.09,,,,,,2,,,,,2024-10-30
7729068,Baseball Cards 2024 Topps Allen & Ginter,AJ Smith-Shawver [Black Border Mini] #27,$1.49,,,,,,,,,,,,$1.59,,,,,,5,,,,,2024-10-30
7729073,Baseball Cards 2024 Topps Allen & Ginter,AJ Smith-Shawver [Brooklyn Back Mini] #27,$25.00,,,,,,,,,,,$8.40,$27.99,,,,,,1,,,,,2024-10-30
7729070,Baseball Cards 2024 Topps Allen & Ginter,AJ Smith-Shawver [Foil Filagree] #27,$1.90,,,,,,,,,,,,$2.09,,,,,,5,,,,,2024-10-30
7729075,Baseball Cards 2024 Topps Allen & Ginter,AJ Smith-Shawver [Framed Mini Printing Plate] #27,,,,,,,,,,,,,,,,,,,0,,,,,2024-10-30
7729077,Baseball Cards 2024 Topps Allen & Ginter,AJ Smith-Shawver [Glossy Mini] #27,,,,,,,,,,,,,,,,,,,0,,,,,2024-10-30
7729076,Baseball Cards 2024 Topps Allen & Ginter,AJ Smith-Shawver [Glossy] #27,$119.99,,,,,,,,,,,$66.00,$132.00,,,,,,1,,,,,2024-10-30
7729069,Baseball Cards 2024 Topps Allen & Ginter,AJ Smith-Shawver [Gold Border Mini] #27,$2.00,,,,,,,,,,,,$2.19,,,,,,3,,,,,2024-10-30
7729071,Baseball Cards 2024 Topps Allen & Ginter,AJ Smith-Shawver [Gold Foil Filagree] #27,$6.52,,,,,$21.00,$27.00,$13.00,$13.00,,,$1.40,$7.19,,,,,,5,,,,,2024-10-30
7851616,Baseball Cards 2024 Topps Allen & Ginter,AJ Smith-Shawver [Hot Box Silver] #27,$1.31,,$6.11,$11.81,$23.31,$34.37,$45.00,$21.00,$21.00,,,,$1.39,,,$1.30,$6.69,,9,,,,,2024-08-01
7729066,Baseball Cards 2024 Topps Allen & Ginter,AJ Smith-Shawver [Mini] #27,$1.19,,,,,,,,,,,,$1.29,,,,,,2,,,,,2024-10-30
7729072,Baseball Cards 2024 Topps Allen & Ginter,AJ Smith-Shawver [No Number Mini] #27,,,,,,,,,,,,,,,,,,,0,,,,,2024-10-30
7729074,Baseball Cards 2024 Topps Allen & Ginter,AJ Smith-Shawver [Wood Mini] #27,$188.05,,,,,,,,,,,$103.50,$207.00,,,,,,1,,,,,2024-10-30
7729805,Baseball Cards 2024 Topps Allen & Ginter,Aaron Judge #86,$1.59,,$19.89,$22.00,$24.00,$40.50,$53.00,$24.00,$24.00,,,,$1.79,,,$6.60,$21.99,,144,,,,,2024-10-30
7729807,Baseball Cards 2024 Topps Allen & Ginter,Aaron Judge [Back Mini] #86,$2.16,,$6.85,$13.04,$25.60,$46.00,$60.00,$28.00,$39.20,,,,$2.39,,,$1.50,$7.49,,27,,,,,2024-10-30
7729808,Baseball Cards 2024 Topps Allen & Ginter,Aaron Judge [Black Border Mini] #86,$4.00,$14.00,$17.50,$32.00,$35.00,$79.90,$104.00,$48.00,$48.00,,,$0.90,$4.39,$3.80,$14.99,$4.80,$18.99,,38,,,,,2024-10-30
7729813,Baseball Cards 2024 Topps Allen & Ginter,Aaron Judge [Brooklyn Back Mini] #86,$62.00,,,,,,,,,,,$27.20,$67.99,,,,,,1,,,,,2024-10-30
7729810,Baseball Cards 2024 Topps Allen & Ginter,Aaron Judge [Foil Filagree] #86,$4.02,,$8.47,$15.71,$30.51,$60.00,$78.00,$36.00,$36.00,,,$0.90,$4.39,,,$1.90,$9.29,,22,,,,,2024-10-30
7729815,Baseball Cards 2024 Topps Allen & Ginter,Aaron Judge [Framed Mini Printing Plate] #86,$299.00,,,,,,,,,,,$164.50,$329.00,,,,,,1,,,,,2024-10-30
7729817,Baseball Cards 2024 Topps Allen & Ginter,Aaron Judge [Glossy Mini] #86,,,,,,,,,,,,,,,,,,,0,,,,,2024-10-30
7729816,Baseball Cards 2024 Topps Allen & Ginter,Aaron Judge [Glossy] #86,,,,,,,,,,,,,,,,,,,0,,,,,2024-10-30
7729809,Baseball Cards 2024 Topps Allen & Ginter,Aaron Judge [Gold Border Mini] #86,$3.25,,$7.78,$14.57,$17.50,$41.39,$54.00,$25.00,$25.00,,,,$3.59,,,$1.70,$8.59,,24,,,,,2024-10-30
7729811,Baseball Cards 2024 Topps Allen & Ginter,Aaron Judge [Gold Foil Filagree] #86,$63.75,,,$115.59,$127.00,,,,,,,$28.00,$69.99,,,,,,4,,,,,2024-10-30
7851674,Baseball Cards 2024 Topps Allen & Ginter,Aaron Judge [Hot Box Silver] #86,$3.37,,$9.99,$11.00,$28.19,$39.00,$51.00,$23.00,$23.00,,,,$3.69,,,$2.80,$10.99,,35,,,,,2024-08-01
