id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
6882858,Baseball Cards 2024 Topps Chrome All Etch,Aaron Judge #CAE-6,$2.26,$5.00,$6.75,$15.00,$17.19,$49.99,$170.00,$22.65,$27.25,,,,$2.49,$1.10,$5.49,$1.50,$7.39,,540,,,,,2024-06-17
7081032,Baseball Cards 2024 Topps Chrome All Etch,Aaron Judge [Black] #CAE-6,$167.00,,,,,,,$44.00,,,,$92.00,$184.00,,,,,,1,,,,,2024-06-17
7080982,Baseball Cards 2024 Topps Chrome All Etch,Aaron Judge [Gold] #CAE-6,$42.54,,$41.00,$69.85,$125.90,$265.00,$345.00,$159.00,$159.00,,,$18.80,$46.99,,,$18.00,$44.99,,15,,,,,2024-06-17
7080957,Baseball Cards 2024 Topps Chrome All Etch,Aaron Judge [Green] #CAE-6,$33.00,,$32.84,$54.97,$101.96,$198.25,$258.00,$119.00,$48.00,,,$14.40,$35.99,,,$14.40,$35.99,,17,,,,,2024-06-17
7081007,Baseball Cards 2024 Topps Chrome All Etch,Aaron Judge [Orange] #CAE-6,$274.99,,,,,$230.00,$299.00,$138.00,$138.00,,,$151.00,$302.00,,,,,,2,,,,,2024-06-17
7081057,Baseball Cards 2024 Topps Chrome All Etch,Aaron Judge [Red] #CAE-6,,,,,,$685.01,$891.00,$411.00,$411.00,,,,,,,,,,1,,,,,2024-06-17
7081082,Baseball Cards 2024 Topps Chrome All Etch,Aaron Judge [Superfractor] #CAE-6,,,,,,$8999.99,$11700.00,$5400.00,$5400.00,,,,,,,,,,1,,,,,2024-06-17
6882862,Baseball Cards 2024 Topps Chrome All Etch,Adley Rutschman #CAE-10,$1.51,,$1.49,$8.70,$18.00,$18.76,$24.00,$11.00,$9.47,,,,$1.69,,,,$1.59,,57,,,,,2024-06-17
7081036,Baseball Cards 2024 Topps Chrome All Etch,Adley Rutschman [Black] #CAE-10,$114.82,,,,,,,,,,,$63.00,$126.00,,,,,,1,,,,,2024-06-17
7080986,Baseball Cards 2024 Topps Chrome All Etch,Adley Rutschman [Gold] #CAE-10,$12.62,,$15.69,$27.26,$51.46,$70.90,$92.00,$43.00,$43.00,,,$3.50,$13.99,,,$4.30,$16.99,,6,,,,,2024-06-17
7080961,Baseball Cards 2024 Topps Chrome All Etch,Adley Rutschman [Green] #CAE-10,$13.11,,$16.04,$19.99,$52.44,$72.09,$94.00,$43.00,$43.00,,,$3.50,$13.99,,,$4.50,$17.99,,8,,,,,2024-06-17
7081010,Baseball Cards 2024 Topps Chrome All Etch,Adley Rutschman [Orange] #CAE-10,$65.14,,,,,,,,,,,$28.80,$71.99,,,,,,1,,,,,2024-06-17
7081061,Baseball Cards 2024 Topps Chrome All Etch,Adley Rutschman [Red] #CAE-10,$46.02,,,,,,,,,,,$20.40,$50.99,,,,,,2,,,,,2024-06-17
7081086,Baseball Cards 2024 Topps Chrome All Etch,Adley Rutschman [Superfractor] #CAE-10,,,,,,,,,,,,,,,,,,,0,,,,,2024-06-17
6882860,Baseball Cards 2024 Topps Chrome All Etch,Austin Riley #CAE-8,$1.52,,$6.28,$7.00,$17.00,$16.99,$22.00,$10.00,$10.00,,,,$1.69,,,$1.40,$6.89,,28,,,,,2024-06-17
7081035,Baseball Cards 2024 Topps Chrome All Etch,Austin Riley [Black] #CAE-8,$52.26,,,,,,,,,,,$22.80,$56.99,,,,,,2,,,,,2024-06-17
7080984,Baseball Cards 2024 Topps Chrome All Etch,Austin Riley [Gold] #CAE-8,$4.00,,,,,,,,,,,$0.90,$4.39,,,,,,3,,,,,2024-06-17
7080959,Baseball Cards 2024 Topps Chrome All Etch,Austin Riley [Green] #CAE-8,$6.40,,$10.40,$18.72,$35.89,$50.64,$66.00,$30.00,$30.00,,,$1.40,$6.99,,,$2.80,$10.99,,13,,,,,2024-06-17
7081009,Baseball Cards 2024 Topps Chrome All Etch,Austin Riley [Orange] #CAE-8,$14.50,,,,,$70.00,$91.00,$42.00,$42.00,,,$4.00,$15.99,,,,,,4,,,,,2024-06-17
7081059,Baseball Cards 2024 Topps Chrome All Etch,Austin Riley [Red] #CAE-8,,,,,,,,,,,,,,,,,,,0,,,,,2024-06-17
7081084,Baseball Cards 2024 Topps Chrome All Etch,Austin Riley [Superfractor] #CAE-8,,,,,,,,,,,,,,,,,,,0,,,,,2024-06-17
6882876,Baseball Cards 2024 Topps Chrome All Etch,Bobby Witt Jr. #CAE-25,$1.50,,$11.43,$13.50,$15.00,$38.95,$51.00,$25.00,$14.16,,,,$1.69,,,$3.30,$12.99,,188,,,,,2024-06-17
7081051,Baseball Cards 2024 Topps Chrome All Etch,Bobby Witt Jr. [Black] #CAE-25,$204.50,,,,,$234.00,$304.00,$140.00,$140.00,,,$112.50,$225.00,,,,,,2,,,,,2024-06-17
7081000,Baseball Cards 2024 Topps Chrome All Etch,Bobby Witt Jr. [Gold] #CAE-25,$40.94,,$39.43,$65.60,$108.00,$110.00,$143.00,$66.00,$66.00,,,$18.00,$44.99,,,$17.20,$42.99,,7,,,,,2024-06-17
7080976,Baseball Cards 2024 Topps Chrome All Etch,Bobby Witt Jr. [Green] #CAE-25,$20.00,,$21.99,$24.54,$70.02,$71.00,$92.00,$43.00,$43.00,,,$6.60,$21.99,,,$7.20,$23.99,,13,,,,,2024-06-17
7081026,Baseball Cards 2024 Topps Chrome All Etch,Bobby Witt Jr. [Orange] #CAE-25,$0.99,,,$72.50,$80.00,,,,,,,,$1.09,,,,,,2,,,,,2024-06-17
7081076,Baseball Cards 2024 Topps Chrome All Etch,Bobby Witt Jr. [Red] #CAE-25,$274.00,,,,,,,,,,,$150.50,$301.00,,,,,,2,,,,,2024-06-17
7081101,Baseball Cards 2024 Topps Chrome All Etch,Bobby Witt Jr. [Superfractor] #CAE-25,,,,,,,,,,,,,,,,,,,0,,,,,2024-06-17
6882875,Baseball Cards 2024 Topps Chrome All Etch,Byron Buxton #CAE-24,$1.49,,$6.26,$12.03,$20.00,$20.90,$27.00,$13.00,$10.00,,,,$1.59,,,$1.40,$6.89,,35,,,,,2024-06-17
7081050,Baseball Cards 2024 Topps Chrome All Etch,Byron Buxton [Black] #CAE-24,$31.83,,,,,,,,,,,$10.50,$34.99,,,,,,1,,,,,2024-06-17
7081002,Baseball Cards 2024 Topps Chrome All Etch,Byron Buxton [Gold] #CAE-24,$5.26,,$9.44,$17.16,$33.05,$46.96,$61.00,$28.00,$28.00,,,$1.20,$5.79,,,$2.00,$9.99,,7,,,,,2024-06-17
7080975,Baseball Cards 2024 Topps Chrome All Etch,Byron Buxton [Green] #CAE-24,$3.21,,,,,,,,,,,,$3.49,,,,,,4,,,,,2024-06-17
7081025,Baseball Cards 2024 Topps Chrome All Etch,Byron Buxton [Orange] #CAE-24,$4.25,,,,,,,,,,,$0.90,$4.69,,,,,,2,,,,,2024-06-17
7081075,Baseball Cards 2024 Topps Chrome All Etch,Byron Buxton [Red] #CAE-24,,,,,,$125.48,$163.00,$75.00,$75.00,,,,,,,,,,1,,,,,2024-06-17
7081100,Baseball Cards 2024 Topps Chrome All Etch,Byron Buxton [Superfractor] #CAE-24,$303.75,,,,,,,,,,,$167.00,$334.00,,,,,,1,,,,,2024-06-17
6882871,Baseball Cards 2024 Topps Chrome All Etch,Christian Yelich #CAE-20,$1.52,,$6.21,$11.96,$19.00,$19.19,$25.00,$12.00,$12.00,,,,$1.69,,,$1.40,$6.79,,37,,,,,2024-06-17
7081046,Baseball Cards 2024 Topps Chrome All Etch,Christian Yelich [Black] #CAE-20,$19.99,,,,,$82.48,$107.00,$49.00,$49.00,,,$6.60,$21.99,,,,,,4,,,,,2024-06-17
7080996,Baseball Cards 2024 Topps Chrome All Etch,Christian Yelich [Gold] #CAE-20,$6.49,,,$9.52,$10.00,,,,,,,$1.40,$7.09,,,,,,5,,,,,2024-06-17
7080971,Baseball Cards 2024 Topps Chrome All Etch,Christian Yelich [Green] #CAE-20,$3.44,,,,,,,,,,,$0.80,$3.79,,,,,,4,,,,,2024-06-17
7081021,Baseball Cards 2024 Topps Chrome All Etch,Christian Yelich [Orange] #CAE-20,$0.99,,,,,$49.99,$65.00,$30.00,$30.00,,,,$1.09,,,,,,1,,,,,2024-06-17
7081071,Baseball Cards 2024 Topps Chrome All Etch,Christian Yelich [Red] #CAE-20,,,,,,,,,,,,,,,,,,,0,,,,,2024-06-17
7081096,Baseball Cards 2024 Topps Chrome All Etch,Christian Yelich [Superfractor] #CAE-20,,,,,,,,,,,,,,,,,,,0,,,,,2024-06-17
