id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
6882947,Baseball Cards 2024 Topps Chrome Future Stars,Adley Rutschman #FS-1,$1.76,,$6.50,$7.00,$15.00,$15.56,$20.00,$1.25,$10.58,,,,$1.89,,,$1.40,$7.19,,29,,,,,2024-06-17
7081410,Baseball Cards 2024 Topps Chrome Future Stars,Adley Rutschman [Black Refractor] #FS-1,,,,$59.00,$149.99,,,,,,,,,,,,,,2,,,,,2024-06-17
7081370,Baseball Cards 2024 Topps Chrome Future Stars,Adley Rutschman [Gold Refractor] #FS-1,$12.99,,$7.50,$16.62,$22.26,$71.77,$93.00,$43.00,$43.00,,,$3.50,$13.99,,,$1.70,$8.29,,10,,,,,2024-06-17
7081350,Baseball Cards 2024 Topps Chrome Future Stars,Adley Rutschman [Green Refractor] #FS-1,$4.99,,,,,,,,,,,$1.10,$5.49,,,,,,4,,,,,2024-06-17
7081390,Baseball Cards 2024 Topps Chrome Future Stars,Adley Rutschman [Orange Refractor] #FS-1,$1.52,,$6.28,$12.07,$23.78,$27.00,$35.00,$16.00,$16.00,,,,$1.69,,,$1.40,$6.89,,12,,,,,2024-06-17
7081430,Baseball Cards 2024 Topps Chrome Future Stars,Adley Rutschman [Red Refractor] #FS-1,,,,,,,,,,,,,,,,,,,0,,,,,2024-06-17
7081450,Baseball Cards 2024 Topps Chrome Future Stars,Adley Rutschman [Superfractor] #FS-1,,,,,,,,,,,,,,,,,,,0,,,,,2024-06-17
6882951,Baseball Cards 2024 Topps Chrome Future Stars,Anthony Volpe #FS-5,$1.27,,$3.30,$7.50,$8.00,$13.51,$18.00,$8.00,$6.00,,,,$1.39,,,,$3.59,,34,,,,,2024-06-17
7081413,Baseball Cards 2024 Topps Chrome Future Stars,Anthony Volpe [Black Refractor] #FS-5,$82.00,,,,,$46.00,$60.00,$28.00,$28.00,,,$36.00,$89.99,,,,,,2,,,,,2024-06-17
7081374,Baseball Cards 2024 Topps Chrome Future Stars,Anthony Volpe [Gold Refractor] #FS-5,$7.12,,,$6.06,$7.00,,,,,,,$1.60,$7.79,,,,,,6,,,,,2024-06-17
7081354,Baseball Cards 2024 Topps Chrome Future Stars,Anthony Volpe [Green Refractor] #FS-5,$5.80,,$9.87,$17.86,$34.33,$48.62,$63.00,$29.00,$15.50,,,$1.30,$6.39,,,$2.80,$10.99,,12,,,,,2024-06-17
7081394,Baseball Cards 2024 Topps Chrome Future Stars,Anthony Volpe [Orange Refractor] #FS-5,$1.32,,$6.11,$11.78,$30.00,$58.00,$75.00,$35.00,$35.00,,,,$1.49,,,$1.30,$6.69,,16,,,,,2024-06-17
7081449,Baseball Cards 2024 Topps Chrome Future Stars,Anthony Volpe [Red Refractor] #FS-5,,,,,,,,,,,,,,,,,,,0,,,,,2024-06-17
7081454,Baseball Cards 2024 Topps Chrome Future Stars,Anthony Volpe [Superfractor] #FS-5,$474.99,,,,,,,,,,,$313.20,$522.00,,,,,,1,,,,,2024-06-17
