id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
6882618,Baseball Cards 2024 Topps Chrome Rookie Autograph,AJ Smith-Shawver #RA-AJS,$11.50,,$11.21,$21.37,$35.00,$40.00,$52.00,$43.03,$64.00,,,$3.30,$12.99,,,$3.00,$11.99,,117,,,,,2024-06-17
7078410,Baseball Cards 2024 Topps Chrome Rookie Autograph,AJ Smith-Shawver [Aqua Wave Refractor] #RA-AJS,$15.99,,$18.49,$31.78,$59.70,$81.60,$106.00,$49.00,$90.00,,,$4.50,$17.99,,,$5.00,$19.99,,10,,,,,2024-06-17
7079633,Baseball Cards 2024 Topps Chrome Rookie Autograph,AJ Smith-Shawver [Black Refractor] #RA-AJS,$15.00,,,,,,,,,,,$4.30,$16.99,,,,,,1,,,,,2024-06-17
7077795,Baseball Cards 2024 Topps Chrome Rookie Autograph,AJ Smith-Shawver [Black and White Mini Diamond Refractor] #RA-AJS,$40.50,,,,,$182.50,$237.00,$110.00,$110.00,,,$18.00,$44.99,,,,,,3,,,,,2024-06-17
7078713,Baseball Cards 2024 Topps Chrome Rookie Autograph,AJ Smith-Shawver [Blue RayWave Refractor] #RA-AJS,$25.77,,$26.73,$31.69,$64.00,$65.00,$85.00,$39.00,$39.00,,,$8.40,$27.99,,,$8.70,$28.99,,17,,,,,2024-06-17
7078563,Baseball Cards 2024 Topps Chrome Rookie Autograph,AJ Smith-Shawver [Blue Refractor] #RA-AJS,$32.00,,$36.26,$60.44,$66.00,$149.13,$194.00,$89.00,$89.00,,,$10.50,$34.99,,,$16.00,$39.99,,8,,,,,2024-06-17
7079025,Baseball Cards 2024 Topps Chrome Rookie Autograph,AJ Smith-Shawver [Gold Refractor] #RA-AJS,$59.99,,,,,,,,,,,$26.40,$65.99,,,,,,5,,,,,2024-06-17
7079175,Baseball Cards 2024 Topps Chrome Rookie Autograph,AJ Smith-Shawver [Gold Wave Refractor] #RA-AJS,$50.50,,$47.58,$78.72,$145.20,$192.50,$250.00,$116.00,$116.00,,,$22.40,$55.99,,,$20.80,$51.99,,6,,,,,2024-06-17
7078869,Baseball Cards 2024 Topps Chrome Rookie Autograph,AJ Smith-Shawver [Green Refractor] #RA-AJS,$29.34,,$29.74,$49.96,$92.82,$205.00,$267.00,$123.00,$123.00,,,$9.60,$31.99,,,$9.90,$32.99,,10,,,,,2024-06-17
7079327,Baseball Cards 2024 Topps Chrome Rookie Autograph,AJ Smith-Shawver [Orange Refractor] #RA-AJS,$112.67,,,,,,,,,,,$62.00,$124.00,,,,,,4,,,,,2024-06-17
7079478,Baseball Cards 2024 Topps Chrome Rookie Autograph,AJ Smith-Shawver [Orange Wave Refractor] #RA-AJS,$112.22,,,,,,,,,,,$61.50,$123.00,,,,,,5,,,,,2024-06-17
7080089,Baseball Cards 2024 Topps Chrome Rookie Autograph,AJ Smith-Shawver [Printing Plate] #RA-AJS,$10.00,,,,,,,,,,,$2.80,$10.99,,,,,,1,,,,,2024-06-17
7078240,Baseball Cards 2024 Topps Chrome Rookie Autograph,AJ Smith-Shawver [Purple Refractor] #RA-AJS,$17.39,,$19.67,$33.71,$58.00,$59.01,$77.00,$35.00,$35.00,,,$4.80,$18.99,,,$6.60,$21.99,,12,,,,,2024-06-17
7078090,Baseball Cards 2024 Topps Chrome Rookie Autograph,AJ Smith-Shawver [Purple Speckle Refractor] #RA-AJS,$19.75,,$60.00,$66.00,$74.50,$79.00,$103.00,$47.00,$47.00,,,$6.60,$21.99,,,$26.40,$65.99,,25,,,,,2024-06-17
