id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
7626559,Baseball Cards 2024 Topps Cosmic Chrome Autograph,Andrew Abbott #CCA-AA,$20.55,,$22.53,$40.50,$72.69,$100.60,$131.00,$60.00,$60.00,,,$6.90,$22.99,,,$7.50,$24.99,,29,,,,,2024-10-11
7626562,Baseball Cards 2024 Topps Cosmic Chrome Autograph,Andrew Abbott [Black Eclipse Refractor] #CCA-AA,$49.99,,$34.99,,,,,,,,,$22.00,$54.99,,,$15.20,$37.99,,3,,,,,2024-10-11
7626557,Baseball Cards 2024 Topps Cosmic Chrome Autograph,Andrew Abbott [Gold Interstellar Refractor] #CCA-AA,$18.00,,$20.36,$35.16,$66.23,$92.06,$120.00,$55.00,$55.00,,,$5.00,$19.99,,,$6.60,$21.99,,18,,,,,2024-10-11
7626556,Baseball Cards 2024 Topps Cosmic Chrome Autograph,Andrew Abbott [Green Space Dust Refractor] #CCA-AA,$35.00,,$34.85,$38.00,$109.75,$150.29,$195.00,$90.00,$90.00,,,$15.60,$38.99,,,$15.20,$37.99,,10,,,,,2024-10-11
7626558,Baseball Cards 2024 Topps Cosmic Chrome Autograph,Andrew Abbott [Orange Galactic Refractor] #CCA-AA,$70.00,,,,,,,,,,,$30.80,$76.99,,,,,,5,,,,,2024-10-11
7626560,Baseball Cards 2024 Topps Cosmic Chrome Autograph,Andrew Abbott [Red Flare Refractor] #CCA-AA,$300.00,,,$57.41,$63.00,,,,,,,$165.00,$330.00,,,,,,2,,,,,2024-10-11
7626563,Baseball Cards 2024 Topps Cosmic Chrome Autograph,Andrew Abbott [Superfractor] #CCA-AA,,,,,,,,,,,,,,,,,,,0,,,,,2024-10-11
7626564,Baseball Cards 2024 Topps Cosmic Chrome Autograph,Anthony Volpe #CCA-AV,$50.00,$33.00,$47.65,$79.83,$127.00,$130.00,$169.00,$78.00,$78.00,,,$22.00,$54.99,$14.40,$35.99,$20.80,$51.99,,21,,,,,2024-10-11
7626569,Baseball Cards 2024 Topps Cosmic Chrome Autograph,Anthony Volpe [Black Eclipse Refractor] #CCA-AV,$99.98,,,$119.38,$131.00,$799.99,$1040.00,$480.00,$480.00,,,$55.00,$110.00,,,,,,4,,,,,2024-10-11
7626567,Baseball Cards 2024 Topps Cosmic Chrome Autograph,Anthony Volpe [Gold Interstellar Refractor] #CCA-AV,$101.87,,$91.93,$97.75,$221.00,$226.00,$294.00,$136.00,$136.00,,,$56.00,$112.00,,,$50.50,$101.00,,12,,,,,2024-10-11
