id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
7139546,Baseball Cards 2024 Topps Finest,Aaron Judge #200,$3.13,,$7.55,$19.99,$27.58,$49.99,$65.00,$30.00,$30.00,,,,$3.39,,,$1.70,$8.29,,47,,,,,2024-08-07
7141044,Baseball Cards 2024 Topps Finest,Aaron Judge #300,$5.75,,$26.81,$29.00,$30.81,$44.12,$57.00,$26.00,$26.00,,,$1.30,$6.29,,,$8.70,$28.99,,36,,,,,2024-08-07
7138039,Baseball Cards 2024 Topps Finest,Aaron Judge #99,$2.21,,$6.91,$11.50,$25.68,$30.63,$40.00,$18.00,$20.00,,,,$2.39,,,$1.50,$7.59,,96,,,,,2024-08-07
7139557,Baseball Cards 2024 Topps Finest,Aaron Judge [Black Refractor] #200,$134.99,,$119.58,$196.45,$309.00,$315.00,$410.00,$189.00,$189.00,,,$74.00,$148.00,,,$66.00,$132.00,,7,,,,,2024-08-07
7143000,Baseball Cards 2024 Topps Finest,Aaron Judge [Black Refractor] #300,$100.57,,,,,,,,,,,$55.50,$111.00,,,,,,2,,,,,2024-08-07
7138051,Baseball Cards 2024 Topps Finest,Aaron Judge [Black Refractor] #99,$132.72,,,,,$341.44,$444.00,$205.00,$205.00,,,$73.00,$146.00,,,,,,8,,,,,2024-08-07
7139553,Baseball Cards 2024 Topps Finest,Aaron Judge [Blue Checkerboard Refractor] #200,$45.00,,$12.58,$53.00,$133.56,$179.94,$234.00,$108.00,$108.00,,,$20.00,$49.99,,,$3.50,$13.99,,10,,,,,2024-08-07
7141051,Baseball Cards 2024 Topps Finest,Aaron Judge [Blue Checkerboard Refractor] #300,$56.00,,,,$36.01,,,,,,,$24.80,$61.99,,,,,,7,,,,,2024-08-07
7138046,Baseball Cards 2024 Topps Finest,Aaron Judge [Blue Checkerboard Refractor] #99,$36.00,$20.50,$35.55,$70.23,$77.00,$78.10,$102.00,$47.00,$47.00,,,$16.00,$39.99,$6.90,$22.99,$15.60,$38.99,,20,,,,,2024-08-07
7139551,Baseball Cards 2024 Topps Finest,Aaron Judge [Blue Refractor] #200,$18.50,,$20.69,$34.00,$62.52,$90.24,$117.00,$54.00,$54.00,,,$5.00,$19.99,,,$6.90,$22.99,,25,,,,,2024-08-07
7141049,Baseball Cards 2024 Topps Finest,Aaron Judge [Blue Refractor] #300,$24.83,,$27.26,$29.95,$86.28,$154.88,$201.00,$93.00,$93.00,,,$8.10,$26.99,,,$9.00,$29.99,,20,,,,,2024-08-07
7138043,Baseball Cards 2024 Topps Finest,Aaron Judge [Blue Refractor] #99,$28.03,,$28.78,$39.99,$90.80,$125.00,$163.00,$75.00,$75.00,,,$9.30,$30.99,,,$9.60,$31.99,,24,,,,,2024-08-07
