id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
10450185,Baseball Cards 2025 Bowman Chrome Adios Autograph,Bobby Witt Jr. #AAV-BW,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-11
10450187,Baseball Cards 2025 Bowman Chrome Adios Autograph,Bobby Witt Jr. [Gold Mini-Diamond Refractor] #AAV-BW,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-11
10450188,Baseball Cards 2025 Bowman Chrome Adios Autograph,Bobby Witt Jr. [Orange Refractor] #AAV-BW,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-11
10450189,Baseball Cards 2025 Bowman Chrome Adios Autograph,Bobby Witt Jr. [Red Refractor] #AAV-BW,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-11
10450190,Baseball Cards 2025 Bowman Chrome Adios Autograph,Bobby Witt Jr. [Superfractor] #AAV-BW,$1385.00,,,,,,,,,,,$914.40,$1524.00,,,,,,1,,,,,2025-08-11
10450181,Baseball Cards 2025 Bowman Chrome Adios Autograph,Bryce Eldridge #AAV-BE,$55.00,,$52.65,$85.50,$171.65,$250.11,$325.00,$150.00,$150.00,,,$24.40,$60.99,,,$23.20,$57.99,,29,,,,,2025-08-11
10450184,Baseball Cards 2025 Bowman Chrome Adios Autograph,Bryce Eldridge [Gold Mini-Diamond Refractor] #AAV-BE,$65.72,,$62.81,$108.18,$203.88,$296.67,$386.00,$178.00,$178.00,,,$28.80,$71.99,,,$27.60,$68.99,,8,,,,,2025-08-11
10450182,Baseball Cards 2025 Bowman Chrome Adios Autograph,Bryce Eldridge [Orange Refractor] #AAV-BE,$89.42,,$65.54,$160.00,$245.48,$342.10,$445.00,$205.00,$205.00,,,$39.20,$97.99,,,$28.80,$71.99,,31,,,,,2025-08-11
10450183,Baseball Cards 2025 Bowman Chrome Adios Autograph,Bryce Eldridge [Red Refractor] #AAV-BE,$110.50,,,,,,,,,,,$61.00,$122.00,,,,,,1,,,,,2025-08-11
10450186,Baseball Cards 2025 Bowman Chrome Adios Autograph,Bryce Eldridge [Superfractor] #AAV-BE,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-11
10450206,Baseball Cards 2025 Bowman Chrome Adios Autograph,Cam Smith #AAV-CS,$32.13,,$33.32,$58.10,$110.08,$129.50,$168.00,$78.00,$78.00,,,$10.50,$34.99,,,$14.80,$36.99,,19,,,,,2025-08-11
10450207,Baseball Cards 2025 Bowman Chrome Adios Autograph,Cam Smith [Gold Mini-Diamond Refractor] #AAV-CS,$70.53,,,,,,,,,,,$31.20,$77.99,,,,,,3,,,,,2025-08-11
10450208,Baseball Cards 2025 Bowman Chrome Adios Autograph,Cam Smith [Orange Refractor] #AAV-CS,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-11
10450209,Baseball Cards 2025 Bowman Chrome Adios Autograph,Cam Smith [Red Refractor] #AAV-CS,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-11
10450210,Baseball Cards 2025 Bowman Chrome Adios Autograph,Cam Smith [Superfractor] #AAV-CS,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-11
10450212,Baseball Cards 2025 Bowman Chrome Adios Autograph,Carson Williams #AAV-CW,$20.72,,$23.27,$26.81,$48.00,$49.00,$64.00,$29.00,$29.00,,,$6.90,$22.99,,,$7.80,$25.99,,24,,,,,2025-08-11
10450211,Baseball Cards 2025 Bowman Chrome Adios Autograph,Carson Williams [Gold Mini-Diamond Refractor] #AAV-CW,$68.88,,,,,,,,,,,$30.40,$75.99,,,,,,5,,,,,2025-08-11
10450213,Baseball Cards 2025 Bowman Chrome Adios Autograph,Carson Williams [Orange Refractor] #AAV-CW,$25.00,,,,,,,,,,,$8.40,$27.99,,,,,,1,,,,,2025-08-11
10450214,Baseball Cards 2025 Bowman Chrome Adios Autograph,Carson Williams [Red Refractor] #AAV-CW,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-11
10450215,Baseball Cards 2025 Bowman Chrome Adios Autograph,Carson Williams [Superfractor] #AAV-CW,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-11
10450191,Baseball Cards 2025 Bowman Chrome Adios Autograph,Charlie Condon #AAV-CC,$55.52,,$53.93,$93.11,$123.00,$125.00,$163.00,$75.00,$75.00,,,$24.40,$60.99,,,$23.60,$58.99,,25,,,,,2025-08-11
10450192,Baseball Cards 2025 Bowman Chrome Adios Autograph,Charlie Condon [Gold Mini-Diamond Refractor] #AAV-CC,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-11
10450193,Baseball Cards 2025 Bowman Chrome Adios Autograph,Charlie Condon [Orange Refractor] #AAV-CC,$44.40,,$67.14,$115.50,$217.56,$316.33,$411.00,$190.00,$249.00,,,$19.60,$48.99,,,$29.60,$73.99,,18,,,,,2025-08-11
10450194,Baseball Cards 2025 Bowman Chrome Adios Autograph,Charlie Condon [Red Refractor] #AAV-CC,$425.00,,$111.05,$197.13,$379.21,$555.57,$722.00,$333.00,$333.00,,,$234.00,$468.00,,,$61.00,$122.00,,7,,,,,2025-08-11
10450195,Baseball Cards 2025 Bowman Chrome Adios Autograph,Charlie Condon [Superfractor] #AAV-CC,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-11
10450199,Baseball Cards 2025 Bowman Chrome Adios Autograph,Christian Moore #AAV-CMO,$20.50,,$23.08,$46.04,$77.53,$113.51,$148.00,$68.00,$68.00,,,$6.90,$22.99,,,$7.50,$24.99,,24,,,,,2025-08-11
10450202,Baseball Cards 2025 Bowman Chrome Adios Autograph,Christian Moore [Gold Mini-Diamond Refractor] #AAV-CMO,$28.84,,,,,,,,,,,$9.60,$31.99,,,,,,4,,,,,2025-08-11
10450203,Baseball Cards 2025 Bowman Chrome Adios Autograph,Christian Moore [Orange Refractor] #AAV-CMO,$30.27,,$31.64,$51.08,$104.72,$152.78,$199.00,$92.00,$92.00,,,$9.90,$32.99,,,$10.50,$34.99,,9,,,,,2025-08-11
10450204,Baseball Cards 2025 Bowman Chrome Adios Autograph,Christian Moore [Red Refractor] #AAV-CMO,$227.50,,,,,,,,,,,$125.00,$250.00,,,,,,1,,,,,2025-08-11
10450205,Baseball Cards 2025 Bowman Chrome Adios Autograph,Christian Moore [Superfractor] #AAV-CMO,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-11
10450196,Baseball Cards 2025 Bowman Chrome Adios Autograph,Coby Mayo #AAV-CM,$20.38,,$22.97,$40.53,$77.19,$113.01,$147.00,$68.00,$68.00,,,$6.60,$21.99,,,$7.50,$24.99,,6,,,,,2025-08-11
10450197,Baseball Cards 2025 Bowman Chrome Adios Autograph,Coby Mayo [Gold Mini-Diamond Refractor] #AAV-CM,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-11
10450198,Baseball Cards 2025 Bowman Chrome Adios Autograph,Coby Mayo [Orange Refractor] #AAV-CM,,,,$42.00,$46.00,,,,,,,,,,,,,,1,,,,,2025-08-11
10450201,Baseball Cards 2025 Bowman Chrome Adios Autograph,Coby Mayo [Red Refractor] #AAV-CM,$239.00,,,,,$256.00,$333.00,$154.00,$154.00,,,$131.50,$263.00,,,,,,2,,,,,2025-08-11
10450200,Baseball Cards 2025 Bowman Chrome Adios Autograph,Coby Mayo [Superfractor] #AAV-CM,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-11
10450216,Baseball Cards 2025 Bowman Chrome Adios Autograph,Fernando Tatis Jr. #AAV-FT,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-11
