id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
11287588,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge #122,$1.29,,$6.17,$15.51,$20.34,$40.14,$52.00,$24.12,$24.00,,,,$1.39,,,$1.40,$6.79,,218,,,,,2025-12-03
11290639,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Allen Ginter Mini] #122,$2.75,,$7.60,$14.49,$28.48,$84.00,$109.00,$50.00,$50.00,,,,$2.99,,,$1.70,$8.39,,25,,,,,2025-12-03
11287593,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Black Foil] #122,$45.50,,$45.71,$80.21,$152.48,$228.18,$297.00,$137.00,$137.00,,,$20.00,$49.99,,,$20.00,$49.99,,7,,,,,2025-12-03
11290652,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Brooklyn Back Mini] #122,$2.29,,$7.09,$13.61,$26.81,$40.19,$52.00,$24.00,$24.00,,,,$2.49,,,$1.60,$7.79,,57,,,,,2025-12-03
11292519,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Chrome Variation] #122,$2.95,,$7.64,$10.56,$34.36,$74.99,$97.00,$45.00,$45.00,,,,$3.29,,,$1.70,$8.39,,149,,,,,2025-12-03
11292973,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Daguerreotype Variation] #122,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-03
11290658,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Glossy Mini] #122,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-03
11287596,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Glossy] #122,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-03
11784220,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Gold Foil Filagree] #122,$104.00,,$98.04,$170.49,$322.83,$483.04,$628.00,$290.00,$290.00,,,$57.00,$114.00,,,$54.00,$108.00,,7,,,,,2025-12-03
11287591,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Gold Foil] #122,$88.00,,$83.74,$145.85,$276.36,$413.66,$538.00,$248.00,$248.00,,,$38.80,$96.99,,,$36.80,$91.99,,14,,,,,2025-12-03
11293475,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Gold Mini Chrome] #122,$130.00,,$121.35,$210.78,$398.93,$597.34,$777.00,$358.00,$358.00,,,$71.50,$143.00,,,$66.50,$133.00,,22,,,,,2025-12-03
11292538,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Gold Refractor Chrome Variation] #122,$111.28,,,,,,,,,,,$61.00,$122.00,,,,,,4,,,,,2025-12-03
11434309,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Green Refractor Chrome Variation] #122,$31.38,,$33.45,$58.75,$111.71,$165.44,$215.00,$99.00,$99.00,,,$10.50,$34.99,,,$14.80,$36.99,,21,,,,,2025-10-10
11293903,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Metal Mini] #122,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-03
11290643,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Mini Black] #122,$3.12,,$7.79,$16.25,$29.08,$43.58,$57.00,$26.00,$26.00,,,,$3.39,,,$1.70,$8.59,,104,,,,,2025-12-03
11293472,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Mini Chrome] #122,$3.25,,$8.13,$15.40,$30.18,$45.22,$59.00,$27.00,$27.00,,,,$3.59,,,$1.80,$8.89,,79,,,,,2025-12-03
11293526,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Mini Cloth] #122,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-03
11375782,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Mini Gold] #122,$5.28,,$10.04,$23.00,$39.10,$77.50,$101.00,$47.00,$47.00,,,$1.20,$5.79,,,$2.80,$10.99,,88,,,,,2025-12-03
11720537,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Mini Stained Glass] #377,$237.50,,$208.76,$362.29,$685.46,$1030.11,$1339.00,$618.00,$618.00,,,$130.50,$261.00,,,$115.00,$230.00,,23,,,,,2025-12-15
11290628,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Mini] #122,$2.00,,$6.79,$13.06,$25.82,$38.71,$50.00,$23.00,$23.00,,,,$2.19,,,$1.50,$7.49,,125,,,,,2025-12-03
11720610,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Mini] #377,$21.84,,$24.58,$43.85,$52.00,$53.00,$69.00,$32.00,$32.00,,,$7.20,$23.99,,,$8.10,$26.99,,60,,,,,2025-12-15
11290635,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Mitchell Ness Back Mini] #122,$21.73,,$24.52,$43.68,$83.58,$125.23,$163.00,$75.00,$75.00,,,$7.20,$23.99,,,$8.10,$26.99,,22,,,,,2025-12-03
11290648,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [No Number Mini] #122,$55.00,,$54.24,$95.00,$180.45,$270.39,$352.00,$162.00,$162.00,,,$24.40,$60.99,,,$24.00,$59.99,,17,,,,,2025-12-03
11784222,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Orange Foil Filagree] #122,$9.98,,,,,,,,,,,$2.80,$10.99,,,,,,1,,,,,2025-12-03
11287592,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Orange Foil] #122,$98.90,,$90.78,$158.03,$299.35,$448.22,$583.00,$269.00,$269.00,,,$54.50,$109.00,,,$40.00,$99.99,,6,,,,,2025-12-03
11293478,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Orange Mini Chrome] #122,$160.00,,,,,,,,,,,$88.00,$176.00,,,,,,1,,,,,2025-12-03
11292545,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Orange Refractor Chrome Variation] #122,$119.42,,$111.48,$193.62,$366.41,$547.90,$712.00,$329.00,$329.00,,,$65.50,$131.00,,,$61.50,$123.00,,8,,,,,2025-12-03
11784223,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Purple Foil Filagree] #122,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-03
11289166,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Purple Foil] #122,$3.94,,$9.14,$46.00,$49.00,$50.22,$65.00,$30.00,$30.00,,,$0.90,$4.29,,,$2.00,$9.99,,25,,,,,2025-12-03
11356388,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Purple Refractor Chrome Variation] #122,$55.00,,,,,,,,,,,$24.40,$60.99,,,,,,1,,,,,2025-12-03
11784224,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Red Foil Filagree] #122,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-03
11287595,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Red Foil] #122,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-03
11293481,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Red Mini Chrome] #122,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-03
11292553,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Red Refractor Chrome Variation] #122,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-03
11292524,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Refractor Chrome Variation] #122,$5.00,,$40.00,$44.00,$48.00,$88.00,$114.00,$53.00,$53.00,,,$1.10,$5.49,,,$17.60,$43.99,,179,,,,,2025-12-03
11784221,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Silver Foil Filagree] #122,$5.04,,$9.46,$17.70,$34.53,$51.75,$67.00,$31.00,$31.00,,,$1.10,$5.49,,,$2.00,$9.99,,74,,,,,2025-12-03
11287590,Baseball Cards 2025 Topps Allen and Ginter,Aaron Judge [Silver] #122,$3.62,,$8.24,$15.58,$30.54,$45.76,$59.00,$27.00,$27.00,,,$0.80,$3.99,,,$1.80,$9.09,,98,,,,,2025-12-03
