id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
9125621,Baseball Cards 2025 Topps Chrome Black Autograph,Adael Amador #CBA-AA,$2.38,,$7.08,$13.48,$16.00,$16.00,$21.00,$10.00,$10.00,,,,$2.59,,,$1.60,$7.79,,39,,,,,2025-04-30
9125625,Baseball Cards 2025 Topps Chrome Black Autograph,Adael Amador [Blue Refractor] #CBA-AA,$6.50,,$4.99,$19.51,$37.69,$55.02,$72.00,$33.00,$33.00,,,$1.40,$7.19,,,$1.10,$5.49,,17,,,,,2025-04-30
9125626,Baseball Cards 2025 Topps Chrome Black Autograph,Adael Amador [Gold Mini Diamond Refractor] #CBA-AA,$8.00,,,,,,,,,,,$1.80,$8.79,,,,,,2,,,,,2025-04-30
9125624,Baseball Cards 2025 Topps Chrome Black Autograph,Adael Amador [Gold Refractor] #CBA-AA,$26.87,,$28.64,$49.69,$93.89,$134.59,$175.00,$81.00,$81.00,,,$9.00,$29.99,,,$9.60,$31.99,,15,,,,,2025-04-30
9125623,Baseball Cards 2025 Topps Chrome Black Autograph,Adael Amador [Green Refractor] #CBA-AA,$5.99,,$10.22,$18.76,$36.31,$53.08,$69.00,$32.00,$32.00,,,$1.30,$6.59,,,$2.80,$10.99,,7,,,,,2025-04-30
9125628,Baseball Cards 2025 Topps Chrome Black Autograph,Adael Amador [Orange Refractor] #CBA-AA,$23.25,,,,,,,,,,,$7.80,$25.99,,,,,,1,,,,,2025-04-30
9125635,Baseball Cards 2025 Topps Chrome Black Autograph,Adael Amador [Red Refractor] #CBA-AA,,,,,,,,,,,,,,,,,,,0,,,,,2025-04-30
9125622,Baseball Cards 2025 Topps Chrome Black Autograph,Adael Amador [Refractor] #CBA-AA,$6.11,,$10.38,$19.03,$36.81,$53.80,$70.00,$32.00,$32.00,,,$1.30,$6.69,,,$2.80,$10.99,,13,,,,,2025-04-30
9125630,Baseball Cards 2025 Topps Chrome Black Autograph,Adael Amador [Rose Gold Wave Refractor] #CBA-AA,,,,,,,,,,,,,,,,,,,0,,,,,2025-04-30
9125637,Baseball Cards 2025 Topps Chrome Black Autograph,Adael Amador [Superfractor] #CBA-AA,,,,,,,,,,,,,,,,,,,0,,,,,2025-04-30
9125632,Baseball Cards 2025 Topps Chrome Black Autograph,Adael Amador [White Refractor] #CBA-AA,,,,,,,,,,,,,,,,,,,0,,,,,2025-04-30
9125670,Baseball Cards 2025 Topps Chrome Black Autograph,Adam Mazur #CBA-AM,$3.25,,,,,,,,,,,,$3.59,,,,,,2,,,,,2025-04-30
9125676,Baseball Cards 2025 Topps Chrome Black Autograph,Adam Mazur [Blue Refractor] #CBA-AM,$6.03,,$10.25,$18.81,$36.40,$53.17,$69.00,$32.00,$32.00,,,$1.30,$6.59,,,$2.80,$10.99,,6,,,,,2025-04-30
9125686,Baseball Cards 2025 Topps Chrome Black Autograph,Adam Mazur [Gold Mini Diamond Refractor] #CBA-AM,$13.00,,$16.33,$29.00,$55.36,$79.98,$104.00,$48.00,$48.00,,,$3.50,$13.99,,,$4.50,$17.99,,6,,,,,2025-04-30
9125684,Baseball Cards 2025 Topps Chrome Black Autograph,Adam Mazur [Gold Refractor] #CBA-AM,$9.00,,,,,,,,,,,$2.00,$9.89,,,,,,4,,,,,2025-04-30
9125681,Baseball Cards 2025 Topps Chrome Black Autograph,Adam Mazur [Green Refractor] #CBA-AM,$5.35,,,,,,,,,,,$1.20,$5.89,,,,,,3,,,,,2025-04-30
9125688,Baseball Cards 2025 Topps Chrome Black Autograph,Adam Mazur [Orange Refractor] #CBA-AM,$11.25,,,,,,,,,,,$3.00,$11.99,,,,,,4,,,,,2025-04-30
9125697,Baseball Cards 2025 Topps Chrome Black Autograph,Adam Mazur [Red Refractor] #CBA-AM,$40.00,,,,,,,,,,,$17.60,$43.99,,,,,,1,,,,,2025-04-30
9125672,Baseball Cards 2025 Topps Chrome Black Autograph,Adam Mazur [Refractor] #CBA-AM,,,,,,,,,,,,,,,,,,,0,,,,,2025-04-30
9125691,Baseball Cards 2025 Topps Chrome Black Autograph,Adam Mazur [Rose Gold Wave Refractor] #CBA-AM,,,,,,,,,,,,,,,,,,,0,,,,,2025-04-30
9125702,Baseball Cards 2025 Topps Chrome Black Autograph,Adam Mazur [Superfractor] #CBA-AM,,,,,,,,,,,,,,,,,,,0,,,,,2025-04-30
9125695,Baseball Cards 2025 Topps Chrome Black Autograph,Adam Mazur [White Refractor] #CBA-AM,$25.34,,,,,,,,,,,$8.40,$27.99,,,,,,2,,,,,2025-04-30
9126022,Baseball Cards 2025 Topps Chrome Black Autograph,Adley Rutschman #CBA-AR,$42.33,,$41.90,$71.92,$135.27,$193.06,$251.00,$116.00,$116.00,,,$18.80,$46.99,,,$18.40,$45.99,,17,,,,,2025-04-30
9126032,Baseball Cards 2025 Topps Chrome Black Autograph,Adley Rutschman [Blue Refractor] #CBA-AR,,,,,,,,,,,,,,,,,,,0,,,,,2025-04-30
9126075,Baseball Cards 2025 Topps Chrome Black Autograph,Adley Rutschman [Gold Mini Diamond Refractor] #CBA-AR,$77.74,,,,,,,,,,,$34.40,$85.99,,,,,,2,,,,,2025-04-30
9126063,Baseball Cards 2025 Topps Chrome Black Autograph,Adley Rutschman [Gold Refractor] #CBA-AR,$91.73,,,,,$77.00,$100.00,$46.00,$46.00,,,$50.50,$101.00,,,,,,5,,,,,2025-04-30
9126056,Baseball Cards 2025 Topps Chrome Black Autograph,Adley Rutschman [Green Refractor] #CBA-AR,$40.75,,$44.20,$46.00,$142.31,$202.74,$264.00,$122.00,$122.00,,,$18.00,$44.99,,,$19.60,$48.99,,10,,,,,2025-04-30
9126076,Baseball Cards 2025 Topps Chrome Black Autograph,Adley Rutschman [Orange Refractor] #CBA-AR,$120.00,,,$129.99,$143.00,,,,,,,$66.00,$132.00,,,,,,2,,,,,2025-04-30
9126102,Baseball Cards 2025 Topps Chrome Black Autograph,Adley Rutschman [Red Refractor] #CBA-AR,,,,,,,,,,,,,,,,,,,0,,,,,2025-04-30
9126028,Baseball Cards 2025 Topps Chrome Black Autograph,Adley Rutschman [Refractor] #CBA-AR,,,,,,,,,,,,,,,,,,,0,,,,,2025-04-30
9126082,Baseball Cards 2025 Topps Chrome Black Autograph,Adley Rutschman [Rose Gold Wave Refractor] #CBA-AR,$151.66,,,,,,,,,,,$83.50,$167.00,,,,,,3,,,,,2025-04-30
9126106,Baseball Cards 2025 Topps Chrome Black Autograph,Adley Rutschman [Superfractor] #CBA-AR,,,,,,,,,,,,,,,,,,,0,,,,,2025-04-30
9126099,Baseball Cards 2025 Topps Chrome Black Autograph,Adley Rutschman [White Refractor] #CBA-AR,$113.00,,,,,,,,,,,$62.00,$124.00,,,,,,2,,,,,2025-04-30
9125753,Baseball Cards 2025 Topps Chrome Black Autograph,Albert Pujols #CBA-AP,$186.25,,$188.94,$208.00,$593.84,$850.00,$1105.00,$510.00,$510.00,,,$102.50,$205.00,,,$104.00,$208.00,,14,,,,,2025-04-30
9125760,Baseball Cards 2025 Topps Chrome Black Autograph,Albert Pujols [Blue Refractor] #CBA-AP,,,,,,,,,,,,,,,,,,,0,,,,,2025-04-30
9125787,Baseball Cards 2025 Topps Chrome Black Autograph,Albert Pujols [Gold Mini Diamond Refractor] #CBA-AP,,,,,,,,,,,,,,,,,,,0,,,,,2025-04-30
9125781,Baseball Cards 2025 Topps Chrome Black Autograph,Albert Pujols [Gold Refractor] #CBA-AP,$240.00,,$214.09,$360.71,$672.67,$952.25,$1238.00,$571.00,$355.00,,,$132.00,$264.00,,,$118.00,$236.00,,8,,,,,2025-04-30
9125773,Baseball Cards 2025 Topps Chrome Black Autograph,Albert Pujols [Green Refractor] #CBA-AP,,,,,,,,,,,,,,,,,,,0,,,,,2025-04-30
9125797,Baseball Cards 2025 Topps Chrome Black Autograph,Albert Pujols [Orange Refractor] #CBA-AP,$309.56,,$274.73,$360.00,$613.00,$625.00,$813.00,$375.00,$375.00,,,$170.50,$341.00,,,$151.00,$302.00,,8,,,,,2025-04-30
9125812,Baseball Cards 2025 Topps Chrome Black Autograph,Albert Pujols [Red Refractor] #CBA-AP,,,,,,,,,,,,,,,,,,,0,,,,,2025-04-30
9125758,Baseball Cards 2025 Topps Chrome Black Autograph,Albert Pujols [Refractor] #CBA-AP,,,,,,,,,,,,,,,,,,,0,,,,,2025-04-30
9125801,Baseball Cards 2025 Topps Chrome Black Autograph,Albert Pujols [Rose Gold Wave Refractor] #CBA-AP,$316.28,,,,,,,,,,,$174.00,$348.00,,,,,,2,,,,,2025-04-30
9125817,Baseball Cards 2025 Topps Chrome Black Autograph,Albert Pujols [Superfractor] #CBA-AP,$2000.00,,,,,,,,,,,$1320.00,$2200.00,,,,,,1,,,,,2025-04-30
9125806,Baseball Cards 2025 Topps Chrome Black Autograph,Albert Pujols [White Refractor] #CBA-AP,$400.00,,,$294.00,$323.00,,,,,,,$220.00,$440.00,,,,,,4,,,,,2025-04-30
9125821,Baseball Cards 2025 Topps Chrome Black Autograph,Andy Pages #CBA-APA,$50.00,,$55.01,$93.95,$176.30,$251.20,$327.00,$151.00,$151.00,,,$22.00,$54.99,,,$24.40,$60.99,,45,,,,,2025-04-30
9125829,Baseball Cards 2025 Topps Chrome Black Autograph,Andy Pages [Blue Refractor] #CBA-APA,$94.22,,$84.68,$165.00,$279.22,$398.13,$518.00,$239.00,$239.00,,,$52.00,$104.00,,,$37.20,$92.99,,43,,,,,2025-04-30
9125852,Baseball Cards 2025 Topps Chrome Black Autograph,Andy Pages [Gold Mini Diamond Refractor] #CBA-APA,$57.88,,,,,$127.50,$166.00,$77.00,$77.00,,,$25.60,$63.99,,,,,,5,,,,,2025-04-30
9125845,Baseball Cards 2025 Topps Chrome Black Autograph,Andy Pages [Gold Refractor] #CBA-APA,$105.00,,$96.50,$163.50,$305.70,$433.90,$564.00,$260.00,$260.00,,,$58.00,$116.00,,,$53.00,$106.00,,16,,,,,2025-04-30
9125836,Baseball Cards 2025 Topps Chrome Black Autograph,Andy Pages [Green Refractor] #CBA-APA,$86.89,,$81.31,$138.04,$258.32,$367.00,$477.00,$220.00,$220.00,,,$38.40,$95.99,,,$35.60,$88.99,,18,,,,,2025-04-30
9125898,Baseball Cards 2025 Topps Chrome Black Autograph,Andy Pages [Orange Refractor] #CBA-APA,$139.13,,,,,,,,,,,$76.50,$153.00,,,,,,4,,,,,2025-04-30
9125976,Baseball Cards 2025 Topps Chrome Black Autograph,Andy Pages [Red Refractor] #CBA-APA,$270.00,,,,,,,,,,,$148.50,$297.00,,,,,,1,,,,,2025-04-30
9125827,Baseball Cards 2025 Topps Chrome Black Autograph,Andy Pages [Refractor] #CBA-APA,$60.49,,$57.73,$64.00,$184.80,$263.23,$342.00,$100.00,$158.00,,,$26.80,$66.99,,,$25.60,$63.99,,27,,,,,2025-04-30
9125931,Baseball Cards 2025 Topps Chrome Black Autograph,Andy Pages [Rose Gold Wave Refractor] #CBA-APA,$158.04,,,,,,,,,,,$87.00,$174.00,,,,,,4,,,,,2025-04-30
9126017,Baseball Cards 2025 Topps Chrome Black Autograph,Andy Pages [Superfractor] #CBA-APA,,,,,,,,,,,,,,,,,,,0,,,,,2025-04-30
9125972,Baseball Cards 2025 Topps Chrome Black Autograph,Andy Pages [White Refractor] #CBA-APA,$133.75,,,,,,,,,,,$73.50,$147.00,,,,,,2,,,,,2025-04-30
9125705,Baseball Cards 2025 Topps Chrome Black Autograph,Angel Martinez #CBA-AMA,$21.69,,$14.43,$16.00,$67.10,$75.00,$98.00,$45.00,$45.00,,,$7.20,$23.99,,,$4.00,$15.99,,57,,,,,2025-04-30
9125717,Baseball Cards 2025 Topps Chrome Black Autograph,Angel Martinez [Blue Refractor] #CBA-AMA,$13.00,,$16.33,$29.01,$55.39,$80.06,$104.00,$48.00,$48.00,,,$3.50,$13.99,,,$4.50,$17.99,,14,,,,,2025-04-30
9125728,Baseball Cards 2025 Topps Chrome Black Autograph,Angel Martinez [Gold Mini Diamond Refractor] #CBA-AMA,$55.00,,,,,,,,,,,$24.40,$60.99,,,,,,5,,,,,2025-04-30
9125723,Baseball Cards 2025 Topps Chrome Black Autograph,Angel Martinez [Gold Refractor] #CBA-AMA,$32.00,,$32.88,$56.75,$107.01,$152.92,$199.00,$92.00,$92.00,,,$10.50,$34.99,,,$14.40,$35.99,,9,,,,,2025-04-30
9125719,Baseball Cards 2025 Topps Chrome Black Autograph,Angel Martinez [Green Refractor] #CBA-AMA,$16.44,,$19.50,$34.35,$65.35,$94.22,$122.00,$57.00,$57.00,,,$4.50,$17.99,,,$6.30,$20.99,,12,,,,,2025-04-30
9125732,Baseball Cards 2025 Topps Chrome Black Autograph,Angel Martinez [Orange Refractor] #CBA-AMA,$55.00,,,,,,,,,,,$24.40,$60.99,,,,,,1,,,,,2025-04-30
9125743,Baseball Cards 2025 Topps Chrome Black Autograph,Angel Martinez [Red Refractor] #CBA-AMA,,,,,,,,,,,,,,,,,,,0,,,,,2025-04-30
9125712,Baseball Cards 2025 Topps Chrome Black Autograph,Angel Martinez [Refractor] #CBA-AMA,$19.68,,$21.88,$38.34,$72.75,$104.64,$136.00,$63.00,$63.00,,,$6.60,$21.99,,,$7.20,$23.99,,15,,,,,2025-04-30
9125734,Baseball Cards 2025 Topps Chrome Black Autograph,Angel Martinez [Rose Gold Wave Refractor] #CBA-AMA,$298.00,,,,,,,,,,,$164.00,$328.00,,,,,,1,,,,,2025-04-30
9125748,Baseball Cards 2025 Topps Chrome Black Autograph,Angel Martinez [Superfractor] #CBA-AMA,,,,,,,,,,,,,,,,,,,0,,,,,2025-04-30
9125739,Baseball Cards 2025 Topps Chrome Black Autograph,Angel Martinez [White Refractor] #CBA-AMA,,,,,,,,,,,,,,,,,,,0,,,,,2025-04-30
9126180,Baseball Cards 2025 Topps Chrome Black Autograph,Anthony Volpe #CBA-AV,$28.32,,$29.97,$51.86,$97.89,$139.98,$182.00,$84.00,$84.00,,,$9.30,$30.99,,,$9.90,$32.99,,26,,,,,2025-04-30
