id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
10018097,Baseball Cards 2025 Topps Chrome Future Stars Autograph,Austin Wells #FSA-AW,$9.99,,$13.79,$40.00,$47.91,$70.37,$91.00,$42.00,$42.00,,,$2.80,$10.99,,,$3.80,$14.99,,18,,,,,2025-07-23
10018096,Baseball Cards 2025 Topps Chrome Future Stars Autograph,Austin Wells [Black Refractor] #FSA-AW,$55.00,,,,,$41.00,$53.00,$25.00,$25.00,,,$24.40,$60.99,,,,,,4,,,,,2025-07-23
10018095,Baseball Cards 2025 Topps Chrome Future Stars Autograph,Austin Wells [Orange Refractor] #FSA-AW,$22.40,,,,,,,,,,,$7.50,$24.99,,,,,,2,,,,,2025-07-23
10018100,Baseball Cards 2025 Topps Chrome Future Stars Autograph,Austin Wells [Printing Plate] #FSA-AW,,,,,,,,,,,,,,,,,,,0,,,,,2025-07-23
10018098,Baseball Cards 2025 Topps Chrome Future Stars Autograph,Austin Wells [Red Refractor] #FSA-AW,$54.99,,,,,,,,,,,$24.00,$59.99,,,,,,1,,,,,2025-07-23
10018099,Baseball Cards 2025 Topps Chrome Future Stars Autograph,Austin Wells [Superfractor] #FSA-AW,,,,,,,,,,,,,,,,,,,0,,,,,2025-07-23
10018101,Baseball Cards 2025 Topps Chrome Future Stars Autograph,Colton Cowser #FSA-CC,$22.57,,$24.81,$43.57,$82.79,$120.61,$157.00,$72.00,$72.00,,,$7.50,$24.99,,,$8.10,$26.99,,20,,,,,2025-07-23
10018103,Baseball Cards 2025 Topps Chrome Future Stars Autograph,Colton Cowser [Black Refractor] #FSA-CC,$22.84,,,,,,,,,,,$7.50,$24.99,,,,,,2,,,,,2025-07-23
10018102,Baseball Cards 2025 Topps Chrome Future Stars Autograph,Colton Cowser [Orange Refractor] #FSA-CC,$20.22,,,,,,,,,,,$6.60,$21.99,,,,,,2,,,,,2025-07-23
10018105,Baseball Cards 2025 Topps Chrome Future Stars Autograph,Colton Cowser [Printing Plate] #FSA-CC,,,,,,,,,,,,,,,,,,,0,,,,,2025-07-23
10018104,Baseball Cards 2025 Topps Chrome Future Stars Autograph,Colton Cowser [Red Refractor] #FSA-CC,,,,,,,,,,,,,,,,,,,0,,,,,2025-07-23
