id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
10020100,Baseball Cards 2025 Topps Chrome Helix,Aaron Judge #HX-2,$382.87,,$248.11,$472.90,$855.86,$1382.56,$1797.00,$830.00,$830.00,,,$210.50,$421.00,,,$136.50,$273.00,,61,,,,,2025-07-23
10020110,Baseball Cards 2025 Topps Chrome Helix,Babe Ruth #HX-12,$166.75,,$100.32,$178.49,$343.92,$491.50,$639.00,$295.00,$295.00,,,$91.50,$183.00,,,$55.00,$110.00,,59,,,,,2025-07-23
10020108,Baseball Cards 2025 Topps Chrome Helix,Coby Mayo #HX-10,$99.28,,$92.31,$102.00,$151.00,$154.50,$201.00,$93.00,$93.00,,,$54.50,$109.00,,,$51.00,$102.00,,42,,,,,2025-07-23
10020109,Baseball Cards 2025 Topps Chrome Helix,Derek Jeter #HX-11,$179.75,,$142.57,$250.00,$459.00,$468.43,$609.00,$281.00,$281.00,,,$99.00,$198.00,,,$78.50,$157.00,,61,,,,,2025-07-23
10020105,Baseball Cards 2025 Topps Chrome Helix,Dylan Crews #HX-7,$126.89,,$69.13,$250.00,$255.86,$311.69,$405.00,$187.00,$187.00,,,$70.00,$140.00,,,$30.40,$75.99,,42,,,,,2025-07-23
10020112,Baseball Cards 2025 Topps Chrome Helix,Hank Aaron #HX-14,$108.41,,$44.28,$83.57,$166.39,$206.24,$268.00,$124.00,$124.00,,,$59.50,$119.00,,,$19.60,$48.99,,50,,,,,2025-07-23
10020106,Baseball Cards 2025 Topps Chrome Helix,James Wood #HX-8,$167.50,,$96.77,$172.50,$178.05,$343.88,$447.00,$206.00,$206.00,,,$92.00,$184.00,,,$53.00,$106.00,,47,,,,,2025-07-23
10020103,Baseball Cards 2025 Topps Chrome Helix,Juan Soto #HX-5,$140.75,,$113.50,$187.50,$337.46,$357.57,$465.00,$215.00,$215.00,,,$77.50,$155.00,,,$62.50,$125.00,,50,,,,,2025-07-23
10020101,Baseball Cards 2025 Topps Chrome Helix,Mike Trout #HX-3,$185.00,,$106.02,$152.75,$259.00,$264.77,$344.00,$159.00,$159.00,,,$102.00,$204.00,,,$58.50,$117.00,,49,,,,,2025-07-23
10020104,Baseball Cards 2025 Topps Chrome Helix,Mookie Betts #HX-6,$152.39,,$95.25,$169.98,$177.50,$245.45,$319.00,$147.00,$147.00,,,$84.00,$168.00,,,$52.50,$105.00,,53,,,,,2025-07-23
10020107,Baseball Cards 2025 Topps Chrome Helix,Roki Sasaki #HX-9,$170.12,,$146.51,$203.75,$533.33,$562.50,$731.00,$338.00,$338.00,,,$93.50,$187.00,,,$80.50,$161.00,,44,,,,,2025-07-23
10020102,Baseball Cards 2025 Topps Chrome Helix,Ronald Acuna Jr. #HX-4,$140.19,,$74.38,$134.50,$216.00,$220.00,$286.00,$132.00,$132.00,,,$77.00,$154.00,,,$32.80,$81.99,,45,,,,,2025-07-23
10020099,Baseball Cards 2025 Topps Chrome Helix,Shohei Ohtani #HX-1,$1900.00,,$1350.00,$2068.93,$3883.13,$4050.00,$5265.00,$2430.00,$2430.00,,,$1254.00,$2090.00,,,$891.00,$1485.00,,63,,,,,2025-07-23
10020111,Baseball Cards 2025 Topps Chrome Helix,Ted Williams #HX-13,$101.05,,$93.69,$103.00,$107.00,$109.52,$142.00,$66.00,$66.00,,,$55.50,$111.00,,,$51.50,$103.00,,40,,,,,2025-07-23
10020113,Baseball Cards 2025 Topps Chrome Helix,Willie Mays #HX-15,$87.78,,$2050.00,$2255.00,$2481.00,$2706.00,$3518.00,$139.50,$1624.00,,,$38.80,$96.99,,,$1353.00,$2255.00,,47,,,,,2025-07-23
