id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
10487364,Baseball Cards 2025 Topps Chrome Logofractor Future Stars,Anthony Volpe #FS-15,$1.50,,$6.32,$12.26,$24.23,$36.16,$47.00,$22.00,$22.00,,,,$1.69,,,$1.40,$6.99,,12,,,,,2025-08-27
10487367,Baseball Cards 2025 Topps Chrome Logofractor Future Stars,Anthony Volpe [Black Refractor] #FS-15,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-27
10487365,Baseball Cards 2025 Topps Chrome Logofractor Future Stars,Anthony Volpe [Gold Refractor] #FS-15,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-27
10487363,Baseball Cards 2025 Topps Chrome Logofractor Future Stars,Anthony Volpe [Green Refractor] #FS-15,$2.81,,$7.48,$14.22,$27.91,$41.52,$54.00,$25.00,$25.00,,,,$3.09,,,$1.60,$8.19,,7,,,,,2025-08-27
10487366,Baseball Cards 2025 Topps Chrome Logofractor Future Stars,Anthony Volpe [Orange Refractor] #FS-15,$14.50,,,,,,,,,,,$4.00,$15.99,,,,,,1,,,,,2025-08-27
10487368,Baseball Cards 2025 Topps Chrome Logofractor Future Stars,Anthony Volpe [Rose Gold] #FS-15,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-27
10487313,Baseball Cards 2025 Topps Chrome Logofractor Future Stars,Austin Wells #FS-9,$2.00,,$6.77,$13.01,$13.00,$13.38,$17.00,$8.00,$8.00,,,,$2.19,,,$1.50,$7.49,,6,,,,,2025-08-27
10487320,Baseball Cards 2025 Topps Chrome Logofractor Future Stars,Austin Wells [Black Refractor] #FS-9,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-27
10487317,Baseball Cards 2025 Topps Chrome Logofractor Future Stars,Austin Wells [Gold Refractor] #FS-9,$6.99,,,,,,,,,,,$1.50,$7.69,,,,,,5,,,,,2025-08-27
10487316,Baseball Cards 2025 Topps Chrome Logofractor Future Stars,Austin Wells [Green Refractor] #FS-9,$3.99,,$8.53,$16.01,$31.27,$46.44,$60.00,$28.00,$28.00,,,$0.90,$4.39,,,$1.90,$9.39,,7,,,,,2025-08-27
10487318,Baseball Cards 2025 Topps Chrome Logofractor Future Stars,Austin Wells [Orange Refractor] #FS-9,$4.93,,$9.23,$10.63,$33.50,$49.71,$65.00,$30.00,$30.00,,,$1.10,$5.39,,,$2.00,$9.99,,7,,,,,2025-08-27
10487321,Baseball Cards 2025 Topps Chrome Logofractor Future Stars,Austin Wells [Rose Gold] #FS-9,$8.47,,,,,,,,,,,$1.90,$9.29,,,,,,4,,,,,2025-08-27
10487375,Baseball Cards 2025 Topps Chrome Logofractor Future Stars,Brice Turang #FS-17,$1.35,,$6.21,$12.06,$23.86,$35.63,$46.00,$21.00,$21.00,,,,$1.49,,,$1.40,$6.79,,8,,,,,2025-08-27
10487102,Baseball Cards 2025 Topps Chrome Logofractor Future Stars,Brice Turang [Black Refractor] #FS-17,$28.00,,,,,,,,,,,$9.30,$30.99,,,,,,1,,,,,2025-08-27
10487377,Baseball Cards 2025 Topps Chrome Logofractor Future Stars,Brice Turang [Gold Refractor] #FS-17,$14.99,,$18.24,$32.54,$62.26,$91.57,$119.00,$55.00,$55.00,,,$4.00,$15.99,,,$5.00,$19.99,,10,,,,,2025-08-27
