id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
10484386,Baseball Cards 2025 Topps Chrome Logofractor,Aaron Judge #99,$14.79,,$24.41,$61.00,$61.40,$94.20,$122.00,$57.00,$57.00,,,$4.00,$15.99,,,$8.10,$26.99,,99,,,,,2025-08-27
10484387,Baseball Cards 2025 Topps Chrome Logofractor,Aaron Judge [Aqua Refractor] #99,$60.20,,$58.37,$76.00,$190.49,$278.66,$362.00,$167.00,$167.00,,,$26.40,$65.99,,,$25.60,$63.99,,16,,,,,2025-08-27
11035663,Baseball Cards 2025 Topps Chrome Logofractor,Aaron Judge [Black Refractor Image Variation] #99,,,,,,$1025.00,$1333.00,$615.00,$615.00,,,,,,,,,,1,,,,,2025-08-27
10484391,Baseball Cards 2025 Topps Chrome Logofractor,Aaron Judge [Black Refractor] #99,$400.00,,$358.28,$611.37,$1147.51,$1672.57,$2174.00,$1004.00,$1004.00,,,$220.00,$440.00,,,$197.00,$394.00,,5,,,,,2025-08-27
10484388,Baseball Cards 2025 Topps Chrome Logofractor,Aaron Judge [Blue Refractor] #99,$89.90,$46.00,$84.41,$145.11,$273.26,$398.59,$518.00,$239.00,$239.00,,,$39.60,$98.99,$20.40,$50.99,$37.20,$92.99,,11,,,,,2025-08-27
11035661,Baseball Cards 2025 Topps Chrome Logofractor,Aaron Judge [Gold Refractor Image Variation] #99,$183.00,,$166.55,$284.84,$535.17,$865.23,$1125.00,$519.00,$519.00,,,$100.50,$201.00,,,$91.50,$183.00,,6,,,,,2025-08-27
10484390,Baseball Cards 2025 Topps Chrome Logofractor,Aaron Judge [Gold Refractor] #99,$227.48,,$192.39,$309.50,$628.58,$918.05,$1193.00,$551.00,$551.00,,,$125.00,$250.00,,,$106.00,$212.00,,20,,,,,2025-08-27
10484389,Baseball Cards 2025 Topps Chrome Logofractor,Aaron Judge [Green Refractor] #99,$79.99,,$75.72,$137.53,$256.71,$377.22,$490.00,$226.00,$226.00,,,$35.20,$87.99,,,$33.20,$82.99,,22,,,,,2025-08-27
10486437,Baseball Cards 2025 Topps Chrome Logofractor,Aaron Judge [Image Variation] #99,$53.75,,$60.45,$125.00,$208.04,$295.00,$384.00,$177.00,$177.00,,,$23.60,$58.99,,,$26.80,$66.99,,35,,,,,2025-08-27
11035662,Baseball Cards 2025 Topps Chrome Logofractor,Aaron Judge [Orange Refractor Image Variation] #99,$40.00,,$175.50,,,,,,,,,$17.60,$43.99,,,$96.50,$193.00,,2,,,,,2025-08-27
10484394,Baseball Cards 2025 Topps Chrome Logofractor,Aaron Judge [Orange Refractor] #99,$274.13,,$108.54,,,,,,,,,$151.00,$302.00,,,$59.50,$119.00,,6,,,,,2025-08-27
10484385,Baseball Cards 2025 Topps Chrome Logofractor,Aaron Judge [Purple Refractor] #99,$35.28,,$36.17,$63.08,$119.53,$175.11,$228.00,$105.00,$105.00,,,$15.60,$38.99,,,$16.00,$39.99,,41,,,,,2025-08-27
11035665,Baseball Cards 2025 Topps Chrome Logofractor,Aaron Judge [Red Refractor Image Variation] #99,$465.00,,,,,,,,,,,$307.20,$512.00,,,,,,1,,,,,2025-08-27
10484392,Baseball Cards 2025 Topps Chrome Logofractor,Aaron Judge [Red Refractor] #99,$600.00,,,,,,,,,,,$396.00,$660.00,,,,,,1,,,,,2025-08-27
11035666,Baseball Cards 2025 Topps Chrome Logofractor,Aaron Judge [Rose Gold Refractor Image Variation] #99,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-27
10484393,Baseball Cards 2025 Topps Chrome Logofractor,Aaron Judge [Rose Gold Refractor] #99,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-27
10486258,Baseball Cards 2025 Topps Chrome Logofractor,Aaron Nola #286,$1.00,,$5.88,$11.50,$22.82,$34.11,$44.00,$20.00,$20.00,,,,$1.09,,,$1.30,$6.49,,10,,,,,2025-08-27
