id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
13239701,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge #136,$3.14,,$7.73,$14.82,$29.18,$44.30,$58.00,$27.00,$27.00,,,,$3.49,,,$1.70,$8.49,,1492,,,,,2026-06-05
13239486,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Black Refractor] #136,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-05
13239492,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Black Vibrations Refractor] #136,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-05
13239524,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Blue Lava] #136,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-05
13239723,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Blue Mini-Diamond Refractor] #136,$37.50,,$39.30,$70.45,$135.19,$209.64,$273.00,$126.00,$126.00,,,$16.40,$40.99,,,$17.20,$42.99,,60,,,,,2026-06-05
13239522,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Blue Prism] #136,$18.69,,$20.99,$38.18,$73.69,$113.72,$148.00,$68.00,$68.00,,,$6.30,$20.99,,,$6.90,$22.99,,591,,,,,2026-06-05
13529739,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Blue Shimmer Refractor] #136,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-05
13239422,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Blue Vibrations Refractor] #136,$38.00,,$49.93,$89.19,$170.88,$265.23,$345.00,$159.00,$159.00,,,$16.80,$41.99,,,$22.00,$54.99,,173,,,,,2026-06-05
13239458,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Diamond Etch Refractor] #136,$163.75,,$154.74,$273.84,$522.67,$813.48,$1058.00,$488.00,$488.00,,,$90.00,$180.00,,,$85.00,$170.00,,53,,,,,2026-06-05
13239520,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Gold Prism] #136,$125.00,,$130.74,$231.56,$442.13,$688.00,$894.00,$413.00,$413.00,,,$69.00,$138.00,,,$72.00,$144.00,,83,,,,,2026-06-05
13239470,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Gold Refractor] #136,$188.51,,$187.90,$332.29,$634.05,$987.19,$1283.00,$592.00,$592.00,,,$103.50,$207.00,,,$103.50,$207.00,,52,,,,,2026-06-05
13239463,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Gold Vibrations Refractor] #136,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-05
13239511,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Gold Wave] #136,$124.99,,,,,,,,,,,$68.50,$137.00,,,,,,1,,,,,2026-06-05
13239441,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Green Vibrations Refractor] #136,$55.00,,$55.30,$98.65,$188.90,$293.34,$381.00,$176.00,$176.00,,,$24.40,$60.99,,,$24.40,$60.99,,44,,,,,2026-06-05
13239438,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Green Wave Refractor] #136,$61.69,,$80.91,$143.78,$274.89,$427.41,$556.00,$256.00,$256.00,,,$27.20,$67.99,,,$35.60,$88.99,,152,,,,,2026-06-05
13253043,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Image Variation] #136,$87.50,,$110.16,$195.31,$373.06,$580.34,$754.00,$348.00,$348.00,,,$38.40,$95.99,,,$60.50,$121.00,,199,,,,,2026-06-05
13239468,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Orange Refractor] #136,$152.50,,,,,,,,,,,$84.00,$168.00,,,,,,1,,,,,2026-06-05
13239479,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Orange Vibrations Refractor] #136,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-05
13239510,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Orange Wave] #136,$500.00,,,,,,,,,,,$330.00,$550.00,,,,,,1,,,,,2026-06-05
13239516,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Prism] #136,$10.50,,$14.60,$26.92,$52.24,$80.26,$104.00,$48.00,$48.00,,,$3.00,$11.99,,,$4.00,$15.99,,620,,,,,2026-06-05
13239514,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Red Lava] #136,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-05
13239521,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Red Prism] #136,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-05
13239504,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Red Refractor] #136,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-05
13239499,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Red Vibrations Refractor] #136,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-05
13239721,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Refractor] #136,$9.13,,$12.31,$22.87,$44.53,$68.23,$89.00,$41.00,$41.00,,,$2.00,$9.99,,,$3.50,$13.99,,861,,,,,2026-06-05
13239455,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Rose Gold Mini-Diamond Refractor] #136,$75.00,,$75.88,$134.91,$258.00,$401.06,$521.00,$241.00,$241.00,,,$33.20,$82.99,,,$33.20,$82.99,,64,,,,,2026-06-05
13239446,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Rose Gold Refractor] #136,$95.00,,,,,,,,,,,$52.50,$105.00,,,,,,51,,,,,2026-06-05
13239425,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Speckle Refractor] #136,$42.00,,$43.40,$77.67,$148.92,$230.92,$300.00,$139.00,$139.00,,,$18.40,$45.99,,,$19.20,$47.99,,77,,,,,2026-06-05
13239508,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [SuperFractor] #136,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-05
13239491,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Toile Cream Black Refractor] #136,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-05
13239506,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Toile Cream Fuchsia Shimmer] #136,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-05
13239465,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Toile Cream Gold Refractor] #136,$160.00,,,,,,,,,,,$88.00,$176.00,,,,,,1,,,,,2026-06-05
13239498,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Toile Cream Red Refractor] #136,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-05
13239528,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Toile Cream Rose Gold Refractor] #136,$46.00,,,,,,,,,,,$20.40,$50.99,,,,,,1,,,,,2026-06-05
13239433,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Toile White Green Refractor] #136,$53.00,,,,,,,,,,,$23.20,$57.99,,,,,,70,,,,,2026-06-05
13239484,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Toile White Orange Refractor] #136,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-05
13239710,Baseball Cards 2025 Topps Chrome Platinum,Aaron Judge [Topps Refractor] #136,$23.46,,$26.05,$47.09,$90.66,$140.12,$182.00,$84.00,$84.00,,,$7.80,$25.99,,,$8.70,$28.99,,368,,,,,2026-06-05
