id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
11631399,Baseball Cards 2025 Topps Chrome Sapphire Update Autograph,Ben Rice #USA-BR,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11631407,Baseball Cards 2025 Topps Chrome Sapphire Update Autograph,Ben Rice [Black] #USA-BR,$6500.00,,,,,,,,,,,$4290.00,$7150.00,,,,,,1,,,,,2026-01-07
11631403,Baseball Cards 2025 Topps Chrome Sapphire Update Autograph,Ben Rice [Gold] #USA-BR,$600.00,,$543.64,$942.33,$1782.04,$3200.00,$4160.00,$1920.00,$1920.00,,,$396.00,$660.00,,,$358.80,$598.00,,16,,,,,2026-01-07
11631401,Baseball Cards 2025 Topps Chrome Sapphire Update Autograph,Ben Rice [Green] #USA-BR,$369.99,,$455.00,$465.00,$1104.28,$1660.39,$2159.00,$996.00,$996.00,,,$203.50,$407.00,,,$300.60,$501.00,,31,,,,,2026-01-07
11631406,Baseball Cards 2025 Topps Chrome Sapphire Update Autograph,Ben Rice [Orange] #USA-BR,$550.00,,$498.26,$862.90,$1631.17,$2451.90,$3187.00,$1471.00,$1471.00,,,$363.00,$605.00,,,$328.80,$548.00,,6,,,,,2026-01-07
11631412,Baseball Cards 2025 Topps Chrome Sapphire Update Autograph,Ben Rice [Padparadscha] #USA-BR,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11631409,Baseball Cards 2025 Topps Chrome Sapphire Update Autograph,Ben Rice [Red] #USA-BR,$2025.00,,,,,,,,,,,$1336.80,$2228.00,,,,,,1,,,,,2026-01-07
11631382,Baseball Cards 2025 Topps Chrome Sapphire Update Autograph,Brooks Baldwin #USA-BB,$13.00,,$16.67,$30.19,$58.15,$87.43,$114.00,$52.00,$52.00,,,$3.50,$13.99,,,$4.50,$17.99,,47,,,,,2026-01-07
11631383,Baseball Cards 2025 Topps Chrome Sapphire Update Autograph,Brooks Baldwin [Black] #USA-BB,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11631381,Baseball Cards 2025 Topps Chrome Sapphire Update Autograph,Brooks Baldwin [Gold] #USA-BB,$23.50,,$26.10,$46.53,$89.06,$134.06,$174.00,$80.00,$80.00,,,$7.80,$25.99,,,$8.70,$28.99,,16,,,,,2026-01-07
11631380,Baseball Cards 2025 Topps Chrome Sapphire Update Autograph,Brooks Baldwin [Green] #USA-BB,$11.29,,,,,,,,,,,$3.00,$11.99,,,,,,10,,,,,2026-01-07
11631708,Baseball Cards 2025 Topps Chrome Sapphire Update Autograph,Brooks Baldwin [Orange] #USA-BB,$37.81,,$38.93,$68.72,$130.97,$197.05,$256.00,$118.00,$118.00,,,$16.80,$41.99,,,$17.20,$42.99,,9,,,,,2026-01-07
11631385,Baseball Cards 2025 Topps Chrome Sapphire Update Autograph,Brooks Baldwin [Padparadscha] #USA-BB,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11631384,Baseball Cards 2025 Topps Chrome Sapphire Update Autograph,Brooks Baldwin [Red] #USA-BB,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11631386,Baseball Cards 2025 Topps Chrome Sapphire Update Autograph,Brooks Lee #USA-BL,$24.23,,$25.97,$46.27,$88.51,$133.01,$173.00,$80.00,$80.00,,,$8.10,$26.99,,,$8.70,$28.99,,44,,,,,2026-01-07
11631393,Baseball Cards 2025 Topps Chrome Sapphire Update Autograph,Brooks Lee [Black] #USA-BL,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11631389,Baseball Cards 2025 Topps Chrome Sapphire Update Autograph,Brooks Lee [Gold] #USA-BL,$40.00,,$45.37,$79.82,$151.90,$228.36,$297.00,$137.00,$137.00,,,$17.60,$43.99,,,$20.00,$49.99,,17,,,,,2026-01-07
11631387,Baseball Cards 2025 Topps Chrome Sapphire Update Autograph,Brooks Lee [Green] #USA-BL,$31.19,,$31.46,$55.77,$106.46,$160.02,$208.00,$96.00,$96.00,,,$10.20,$33.99,,,$10.50,$34.99,,13,,,,,2026-01-07
