id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
11631094,Baseball Cards 2025 Topps Chrome Sapphire Update,AJ Blubaugh #USC163,$1.66,,$6.49,$12.58,$24.87,$37.32,$49.00,$22.00,$22.00,,,,$1.79,,,$1.40,$7.09,,41,,,,,2026-01-07
11631098,Baseball Cards 2025 Topps Chrome Sapphire Update,AJ Blubaugh [Black] #USC163,$35.00,,,,,,,,,,,$15.60,$38.99,,,,,,1,,,,,2026-01-07
11631097,Baseball Cards 2025 Topps Chrome Sapphire Update,AJ Blubaugh [Gold] #USC163,$9.09,,$13.16,$24.12,$46.68,$70.17,$91.00,$42.00,$42.00,,,$2.00,$9.99,,,$3.50,$13.99,,15,,,,,2026-01-07
11631095,Baseball Cards 2025 Topps Chrome Sapphire Update,AJ Blubaugh [Green] #USC163,$7.28,,$11.55,$21.34,$41.42,$62.25,$81.00,$37.00,$37.00,,,$1.60,$7.99,,,$3.30,$12.99,,12,,,,,2026-01-07
11631096,Baseball Cards 2025 Topps Chrome Sapphire Update,AJ Blubaugh [Orange] #USC163,$22.25,,$24.95,$44.48,$85.12,$127.83,$166.00,$77.00,$77.00,,,$7.20,$23.99,,,$8.10,$26.99,,7,,,,,2026-01-07
11631100,Baseball Cards 2025 Topps Chrome Sapphire Update,AJ Blubaugh [Padparadscha] #USC163,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11631099,Baseball Cards 2025 Topps Chrome Sapphire Update,AJ Blubaugh [Red] #USC163,$120.00,,,,,,,,,,,$66.00,$132.00,,,,,,4,,,,,2026-01-07
11630960,Baseball Cards 2025 Topps Chrome Sapphire Update,Adael Amador #USC143,$1.07,,$5.89,$11.54,$22.90,$34.36,$45.00,$21.00,$21.00,,,,$1.19,,,$1.30,$6.49,,9,,,,,2026-01-07
11630964,Baseball Cards 2025 Topps Chrome Sapphire Update,Adael Amador [Black] #USC143,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11630962,Baseball Cards 2025 Topps Chrome Sapphire Update,Adael Amador [Gold] #USC143,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11630961,Baseball Cards 2025 Topps Chrome Sapphire Update,Adael Amador [Green] #USC143,$1.00,,$5.90,$11.56,$22.94,$34.44,$45.00,$21.00,$21.00,,,,$1.09,,,$1.30,$6.49,,22,,,,,2026-01-07
11630963,Baseball Cards 2025 Topps Chrome Sapphire Update,Adael Amador [Orange] #USC143,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11630966,Baseball Cards 2025 Topps Chrome Sapphire Update,Adael Amador [Padparadscha] #USC143,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11630965,Baseball Cards 2025 Topps Chrome Sapphire Update,Adael Amador [Red] #USC143,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11630607,Baseball Cards 2025 Topps Chrome Sapphire Update,Adrian Del Castillo #USC92,$1.14,,$6.02,$11.77,$23.35,$35.06,$46.00,$21.00,$21.00,,,,$1.29,,,$1.30,$6.59,,5,,,,,2026-01-07
11630611,Baseball Cards 2025 Topps Chrome Sapphire Update,Adrian Del Castillo [Black] #USC92,$59.99,,,,,,,,,,,$26.40,$65.99,,,,,,1,,,,,2026-01-07
11630609,Baseball Cards 2025 Topps Chrome Sapphire Update,Adrian Del Castillo [Gold] #USC92,$2.00,,$6.76,$13.04,$25.75,$38.64,$50.00,$23.00,$23.00,,,,$2.19,,,$1.50,$7.39,,11,,,,,2026-01-07
11630608,Baseball Cards 2025 Topps Chrome Sapphire Update,Adrian Del Castillo [Green] #USC92,$5.50,,$9.94,$18.56,$36.18,$54.41,$71.00,$33.00,$33.00,,,$1.20,$6.09,,,$2.80,$10.99,,5,,,,,2026-01-07
11630610,Baseball Cards 2025 Topps Chrome Sapphire Update,Adrian Del Castillo [Orange] #USC92,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11630613,Baseball Cards 2025 Topps Chrome Sapphire Update,Adrian Del Castillo [Padparadscha] #USC92,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11630612,Baseball Cards 2025 Topps Chrome Sapphire Update,Adrian Del Castillo [Red] #USC92,$119.99,,,,,,,,,,,$66.00,$132.00,,,,,,1,,,,,2026-01-07
11631344,Baseball Cards 2025 Topps Chrome Sapphire Update,Agustin Ramirez #USC200,$2.06,,$6.85,$13.19,$26.03,$39.05,$51.00,$23.00,$23.00,,,,$2.29,,,$1.50,$7.49,,44,,,,,2026-01-07
11630224,Baseball Cards 2025 Topps Chrome Sapphire Update,Agustin Ramirez #USC38,$1.39,,$6.25,$12.16,$24.08,$36.13,$47.00,$22.00,$22.00,,,,$1.49,,,$1.40,$6.89,,23,,,,,2026-01-07
11631347,Baseball Cards 2025 Topps Chrome Sapphire Update,Agustin Ramirez [Black] #USC200,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11630228,Baseball Cards 2025 Topps Chrome Sapphire Update,Agustin Ramirez [Black] #USC38,$65.00,,,,,,,,,,,$28.80,$71.99,,,,,,1,,,,,2026-01-07
11631345,Baseball Cards 2025 Topps Chrome Sapphire Update,Agustin Ramirez [Gold] #USC200,$37.49,,,,,,,,,,,$16.40,$40.99,,,,,,5,,,,,2026-01-07
11630226,Baseball Cards 2025 Topps Chrome Sapphire Update,Agustin Ramirez [Gold] #USC38,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11631343,Baseball Cards 2025 Topps Chrome Sapphire Update,Agustin Ramirez [Green] #USC200,$3.23,,$7.90,$15.01,$29.46,$44.20,$57.00,$27.00,$27.00,,,,$3.59,,,$1.70,$8.69,,14,,,,,2026-01-07
11630225,Baseball Cards 2025 Topps Chrome Sapphire Update,Agustin Ramirez [Green] #USC38,$1.52,,$8.81,$16.59,$32.45,$48.71,$63.00,$29.00,$29.00,,,,$1.69,,,$1.90,$9.69,,10,,,,,2026-01-07
11631346,Baseball Cards 2025 Topps Chrome Sapphire Update,Agustin Ramirez [Orange] #USC200,$30.00,,,,,,,,,,,$9.90,$32.99,,,,,,1,,,,,2026-01-07
11630227,Baseball Cards 2025 Topps Chrome Sapphire Update,Agustin Ramirez [Orange] #USC38,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11631676,Baseball Cards 2025 Topps Chrome Sapphire Update,Agustin Ramirez [Padparadscha] #USC200,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11630230,Baseball Cards 2025 Topps Chrome Sapphire Update,Agustin Ramirez [Padparadscha] #USC38,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11631348,Baseball Cards 2025 Topps Chrome Sapphire Update,Agustin Ramirez [Red] #USC200,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11630229,Baseball Cards 2025 Topps Chrome Sapphire Update,Agustin Ramirez [Red] #USC38,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11630245,Baseball Cards 2025 Topps Chrome Sapphire Update,Alan Roden #USC41,$2.00,,$6.79,$13.10,$25.87,$38.83,$50.00,$23.00,$23.00,,,,$2.19,,,$1.50,$7.49,,22,,,,,2026-01-07
11630249,Baseball Cards 2025 Topps Chrome Sapphire Update,Alan Roden [Black] #USC41,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11630247,Baseball Cards 2025 Topps Chrome Sapphire Update,Alan Roden [Gold] #USC41,$3.99,,$8.58,$16.20,$31.71,$47.62,$62.00,$29.00,$29.00,,,$0.90,$4.39,,,$1.90,$9.39,,15,,,,,2026-01-07
11630246,Baseball Cards 2025 Topps Chrome Sapphire Update,Alan Roden [Green] #USC41,$8.00,,$12.18,$22.42,$43.47,$65.31,$85.00,$39.00,$39.00,,,$1.80,$8.79,,,$3.30,$12.99,,7,,,,,2026-01-07
11630248,Baseball Cards 2025 Topps Chrome Sapphire Update,Alan Roden [Orange] #USC41,$6.99,,$11.27,$20.85,$40.51,$60.86,$79.00,$37.00,$37.00,,,$1.50,$7.69,,,$3.00,$11.99,,11,,,,,2026-01-07
11630251,Baseball Cards 2025 Topps Chrome Sapphire Update,Alan Roden [Padparadscha] #USC41,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11630250,Baseball Cards 2025 Topps Chrome Sapphire Update,Alan Roden [Red] #USC41,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11631140,Baseball Cards 2025 Topps Chrome Sapphire Update,Alejandro Osuna #USC174,$1.99,,$6.79,$13.09,$25.84,$38.79,$50.00,$23.00,$23.00,,,,$2.19,,,$1.50,$7.49,,42,,,,,2026-01-07
11631147,Baseball Cards 2025 Topps Chrome Sapphire Update,Alejandro Osuna [Black] #USC174,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11631142,Baseball Cards 2025 Topps Chrome Sapphire Update,Alejandro Osuna [Gold] #USC174,$7.36,,$11.61,$21.43,$41.60,$62.53,$81.00,$38.00,$38.00,,,$1.60,$8.09,,,$3.30,$12.99,,13,,,,,2026-01-07
11631141,Baseball Cards 2025 Topps Chrome Sapphire Update,Alejandro Osuna [Green] #USC174,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11631145,Baseball Cards 2025 Topps Chrome Sapphire Update,Alejandro Osuna [Orange] #USC174,$20.99,,,,,,,,,,,$6.90,$22.99,,,,,,5,,,,,2026-01-07
11631153,Baseball Cards 2025 Topps Chrome Sapphire Update,Alejandro Osuna [Padparadscha] #USC174,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11631151,Baseball Cards 2025 Topps Chrome Sapphire Update,Alejandro Osuna [Red] #USC174,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11630322,Baseball Cards 2025 Topps Chrome Sapphire Update,Amed Rosario #USC51,$2.21,,$6.98,$13.42,$26.47,$39.71,$52.00,$24.00,$24.00,,,,$2.39,,,$1.50,$7.69,,13,,,,,2026-01-07
11630327,Baseball Cards 2025 Topps Chrome Sapphire Update,Amed Rosario [Black] #USC51,$30.00,,,,,,,,,,,$9.90,$32.99,,,,,,1,,,,,2026-01-07
11630324,Baseball Cards 2025 Topps Chrome Sapphire Update,Amed Rosario [Gold] #USC51,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-07
11630323,Baseball Cards 2025 Topps Chrome Sapphire Update,Amed Rosario [Green] #USC51,$3.56,,$9.47,$17.74,$34.61,$51.96,$68.00,$31.00,$31.00,,,$0.80,$3.89,,,$2.00,$9.99,,9,,,,,2026-01-07
11630325,Baseball Cards 2025 Topps Chrome Sapphire Update,Amed Rosario [Orange] #USC51,$4.25,,,,,,,,,,,$0.90,$4.69,,,,,,1,,,,,2026-01-07
