id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
11337898,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh #USC163,$1.41,,$5.91,$11.58,$22.98,$34.47,$45.00,$21.00,$21.00,,,,$1.59,,,$1.30,$6.49,,102,,,,,2025-12-10
11337944,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Aqua RayWave Refractor] #USC163,$8.99,,$11.74,$21.65,$41.99,$63.02,$82.00,$38.00,$38.00,,,$2.00,$9.89,,,$3.30,$12.99,,18,,,,,2025-12-10
11337951,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Aqua Refractor] #USC163,$4.56,,$9.13,$17.13,$33.45,$50.16,$65.00,$30.00,$30.00,,,$1.00,$4.99,,,$2.00,$9.99,,21,,,,,2025-12-10
11337958,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Aqua Wave Refractor] #USC163,$5.00,,$9.39,$17.57,$34.28,$51.38,$67.00,$31.00,$31.00,,,$1.10,$5.49,,,$2.00,$9.99,,21,,,,,2025-12-10
11450890,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Black Geometric Refractor] #USC163,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-10
11338036,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Black Lava Refractor] #USC163,,,,$36.00,$40.00,,,,,,,,,,,,,,1,,,,,2025-12-10
11338051,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Black RayWave Refractor] #USC163,$75.74,,,,,,,,,,,$33.20,$82.99,,,,,,1,,,,,2025-12-10
11337714,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Black Refractor] #USC163,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-10
11337718,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Black Wave Refractor] #USC163,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-10
11337961,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Blue Lava Refractor] #USC163,$6.99,,$11.26,$20.81,$40.40,$60.57,$79.00,$36.00,$36.00,,,$1.50,$7.69,,,$3.00,$11.99,,17,,,,,2025-12-10
11337968,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Blue RayWave] #USC163,$5.49,,,,,,,,,,,$1.20,$5.99,,,,,,5,,,,,2025-12-10
11337971,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Blue Refractor] #USC163,$4.99,,$9.45,$17.68,$34.51,$51.78,$67.00,$31.00,$31.00,,,$1.10,$5.49,,,$2.00,$9.99,,15,,,,,2025-12-10
11337975,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Blue Wave Refractor] #USC163,$4.39,,$8.93,$16.79,$32.83,$49.24,$64.00,$30.00,$30.00,,,$1.00,$4.79,,,$2.00,$9.79,,16,,,,,2025-12-10
11337722,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Frozenfractor] #USC163,$383.00,,,,,,,,,,,$210.50,$421.00,,,,,,1,,,,,2025-12-10
11450888,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Geometric Refractor] #USC163,$1.99,,$6.78,$13.08,$25.82,$38.73,$50.00,$23.00,$23.00,,,,$2.19,,,$1.50,$7.49,,10,,,,,2025-12-10
11450889,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Gold Geometric Refractor] #USC163,$32.50,,$34.11,$60.26,$114.88,$172.24,$224.00,$103.00,$103.00,,,$14.40,$35.99,,,$15.20,$37.99,,8,,,,,2025-12-10
11338005,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Gold Lava Refractor] #USC163,$29.99,,$31.90,$56.53,$107.90,$162.18,$211.00,$97.00,$97.00,,,$9.90,$32.99,,,$10.50,$34.99,,6,,,,,2025-12-10
11338007,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Gold RayWave] #USC163,$24.24,,$31.88,$56.45,$107.72,$161.71,$210.00,$97.00,$97.00,,,$8.10,$26.99,,,$10.50,$34.99,,13,,,,,2025-12-10
11338009,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Gold Refractor] #USC163,$14.04,,$17.26,$31.17,$59.97,$89.94,$117.00,$54.00,$54.00,,,$3.80,$14.99,,,$4.80,$18.99,,10,,,,,2025-12-10
11338012,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Gold Wave Refractor] #USC163,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-10
11450891,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Green Geometric Refractor] #USC163,$4.75,,$9.25,$17.34,$33.85,$50.74,$66.00,$30.00,$30.00,,,$1.00,$5.19,,,$2.00,$9.99,,11,,,,,2025-12-10
11337982,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Green Lava Refractor] #USC163,$1.49,,$7.01,$13.48,$26.57,$39.84,$52.00,$24.00,$24.00,,,,$1.59,,,$1.50,$7.69,,20,,,,,2025-12-10
11337990,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Green RayWave Refractor] #USC163,$8.52,,$12.64,$23.20,$44.92,$67.42,$88.00,$40.00,$40.00,,,$1.90,$9.39,,,$3.50,$13.99,,16,,,,,2025-12-10
11337993,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Green Refractor] #USC163,$11.29,,$15.12,$27.49,$53.03,$79.59,$103.00,$48.00,$48.00,,,$3.00,$11.99,,,$4.30,$16.99,,18,,,,,2025-12-10
11338001,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Green Wave Refractor] #USC163,$9.91,,$13.87,$25.31,$48.90,$73.30,$95.00,$44.00,$44.00,,,$2.80,$10.99,,,$3.80,$14.99,,17,,,,,2025-12-10
11337905,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Negative Refractor] #USC163,$1.99,,$6.79,$13.09,$25.84,$38.75,$50.00,$23.00,$23.00,,,,$2.19,,,$1.50,$7.49,,28,,,,,2025-12-10
11450892,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Orange Geometric Refractor] #USC163,$27.75,,,,,,,,,,,$9.30,$30.99,,,,,,4,,,,,2025-12-10
11338026,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Orange Lava Refractor] #USC163,$32.00,,,,,,,,,,,$10.50,$34.99,,,,,,1,,,,,2025-12-10
11338027,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Orange RayWave] #USC163,$21.75,,,,,,,,,,,$7.20,$23.99,,,,,,20,,,,,2025-12-10
11338030,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Orange Refractor] #USC163,$40.00,,,,,,,,,,,$17.60,$43.99,,,,,,1,,,,,2025-12-10
11338037,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Orange Wave Refractor] #USC163,$24.99,,$27.37,$48.63,$92.91,$139.24,$181.00,$84.00,$84.00,,,$8.10,$26.99,,,$9.00,$29.99,,11,,,,,2025-12-10
11337749,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Printing Plate] #USC163,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-10
11337908,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Prism Refractor] #USC163,$1.53,,$6.38,$12.38,$24.49,$36.72,$48.00,$22.00,$22.00,,,,$1.69,,,$1.40,$6.99,,39,,,,,2025-12-10
11337936,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Purple RayWave] #USC163,$4.50,,$9.03,$16.95,$33.13,$49.67,$65.00,$30.00,$30.00,,,$1.00,$4.99,,,$2.00,$9.89,,20,,,,,2025-12-10
11337941,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Purple Refractor] #USC163,$5.20,,$9.67,$18.05,$35.20,$52.79,$69.00,$32.00,$32.00,,,$1.10,$5.69,,,$2.80,$10.99,,16,,,,,2025-12-10
11337911,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [RayWave Refractor] #USC163,$2.54,,$7.32,$14.01,$27.58,$41.38,$54.00,$25.00,$25.00,,,,$2.79,,,$1.60,$8.09,,59,,,,,2025-12-10
11450887,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Red Geometric Refractor] #USC163,$77.00,,,,,,,,,,,$34.00,$84.99,,,,,,1,,,,,2025-12-10
11337724,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Red Lava Refractor] #USC163,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-10
11337741,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Red RayWave Refractor] #USC163,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-10
11337744,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Red Refractor] #USC163,$70.90,,$68.57,$119.88,$227.53,$341.77,$444.00,$205.00,$205.00,,,$31.20,$77.99,,,$30.00,$74.99,,5,,,,,2025-12-10
11337747,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Red Wave Refractor] #USC163,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-10
11337902,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Refractor] #USC163,$1.75,,$6.59,$12.74,$25.17,$37.75,$49.00,$23.00,$23.00,,,,$1.89,,,$1.50,$7.29,,51,,,,,2025-12-10
11337916,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Sepia Refractor] #USC163,$1.06,,$5.92,$11.59,$23.00,$34.50,$45.00,$21.00,$21.00,,,,$1.19,,,$1.30,$6.49,,49,,,,,2025-12-10
11339594,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [SuperFractor] #USC163,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-10
11337927,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Teal RayWave] #USC163,$5.62,,$10.03,$18.68,$36.39,$54.54,$71.00,$33.00,$33.00,,,$1.20,$6.19,,,$2.80,$10.99,,17,,,,,2025-12-10
11337931,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Teal Refractor] #USC163,$3.29,,$7.95,$15.10,$29.64,$44.49,$58.00,$27.00,$27.00,,,,$3.59,,,$1.80,$8.79,,13,,,,,2025-12-10
11337920,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [Topps Refractor] #USC163,$6.05,,,,,,,,,,,$1.30,$6.69,,,,,,7,,,,,2025-12-10
11338022,Baseball Cards 2025 Topps Chrome Update,AJ Blubaugh [White Refractor] #USC163,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-10
