id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
11379835,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Judge #185,$7.30,,$19.99,$42.20,$73.00,$124.50,$162.00,$67.51,$75.00,,,$1.60,$7.99,,,$6.60,$21.99,,719,,,,,2025-12-17
11379849,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Judge [Aqua Equinox Refractor] #185,$72.15,,$59.99,$80.00,$229.93,$345.10,$449.00,$207.00,$207.00,,,$31.60,$78.99,,,$26.40,$65.99,,82,,,,,2025-12-17
11379570,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Judge [Black Eclipse Refractor] #185,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-17
11379855,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Judge [Blue Moon Refractor] #185,$166.25,,$121.41,$222.00,$433.59,$555.50,$722.00,$333.00,$333.00,,,$91.50,$183.00,,,$67.00,$134.00,,53,,,,,2025-12-17
11380004,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Judge [Constellation Variation] #185,$1193.49,,$851.38,$952.00,$2816.24,$3200.00,$4160.00,$1920.00,$1920.00,,,$787.80,$1313.00,,,$562.20,$937.00,,49,,,,,2025-12-17
11379561,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Judge [Gold Interstellar Refractor] #185,$400.00,,$257.67,$457.56,$845.00,$862.00,$1121.00,$517.00,$517.00,,,$220.00,$440.00,,,$141.50,$283.00,,35,,,,,2025-12-17
11379856,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Judge [Green Space Dust Refractor] #185,$149.54,,$138.99,$153.00,$457.10,$685.91,$892.00,$412.00,$412.00,,,$82.00,$164.00,,,$76.50,$153.00,,28,,,,,2025-12-17
12092186,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Judge [Lunar Eclipse Refractor] #185,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-17
11379842,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Judge [Nucleus Refractor] #185,$40.63,,$43.37,$86.00,$156.48,$201.00,$261.00,$121.00,$121.00,,,$18.00,$44.99,,,$19.20,$47.99,,123,,,,,2025-12-17
11379567,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Judge [Orange Galactic Refractor] #185,$429.01,,,,,,,,,,,$236.00,$472.00,,,,,,8,,,,,2025-12-17
11379851,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Judge [Purple Nebula Refractor] #185,$90.00,,$50.00,$75.00,$176.00,$179.50,$233.00,$108.00,$108.00,,,$39.60,$98.99,,,$22.00,$54.99,,56,,,,,2025-12-17
11379575,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Judge [Red Flare Refractor] #185,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-17
11379839,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Judge [Refractor] #185,$18.31,,$19.79,$35.55,$68.25,$124.79,$162.00,$75.00,$75.00,,,$5.00,$19.99,,,$6.60,$21.99,,105,,,,,2025-12-17
11379578,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Judge [Superfractor] #185,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-17
11379846,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Judge [White Hole Refractor] #185,$58.60,,$33.00,$92.25,$187.66,$283.92,$369.00,$170.00,$170.00,,,$25.60,$63.99,,,$14.40,$35.99,,70,,,,,2025-12-17
11378744,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Nola #111,$2.02,,$6.30,$12.24,$24.24,$36.36,$47.00,$22.00,$22.00,,,,$2.19,,,$1.40,$6.89,,40,,,,,2025-12-17
11378752,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Nola [Aqua Equinox Refractor] #111,$5.77,,$10.21,$19.00,$36.99,$55.50,$72.00,$33.00,$33.00,,,$1.30,$6.39,,,$2.80,$10.99,,34,,,,,2025-12-17
11378764,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Nola [Black Eclipse Refractor] #111,$60.00,,$58.74,$102.82,$195.24,$292.78,$381.00,$176.00,$176.00,,,$26.40,$65.99,,,$26.00,$64.99,,6,,,,,2025-12-17
11378757,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Nola [Blue Moon Refractor] #111,$4.80,,$9.53,$17.83,$34.78,$52.21,$68.00,$31.00,$31.00,,,$1.10,$5.29,,,$2.00,$9.99,,27,,,,,2025-12-17
11378760,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Nola [Gold Interstellar Refractor] #111,$30.50,,,,,,,,,,,$10.20,$33.99,,,,,,5,,,,,2025-12-17
11378758,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Nola [Green Space Dust Refractor] #111,$10.00,,$13.96,$25.47,$49.20,$73.78,$96.00,$44.00,$44.00,,,$2.80,$10.99,,,$3.80,$14.99,,10,,,,,2025-12-17
12092085,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Nola [Lunar Eclipse Refractor] #111,$51.00,,,,,,,,,,,$22.40,$55.99,,,,,,6,,,,,2025-12-17
11378748,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Nola [Nucleus Refractor] #111,$1.92,,$6.72,$12.97,$25.61,$38.41,$50.00,$23.00,$23.00,,,,$2.09,,,$1.50,$7.39,,38,,,,,2025-12-17
11378763,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Nola [Orange Galactic Refractor] #111,$25.00,,$27.40,$48.69,$93.06,$139.62,$182.00,$84.00,$84.00,,,$8.40,$27.99,,,$9.00,$29.99,,11,,,,,2025-12-17
11378755,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Nola [Purple Nebula Refractor] #111,$5.52,,$9.93,$18.52,$36.08,$54.13,$70.00,$32.00,$32.00,,,$1.20,$6.09,,,$2.80,$10.99,,26,,,,,2025-12-17
11379954,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Nola [Red Flare Refractor] #111,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-17
11378746,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Nola [Refractor] #111,$1.27,,$6.14,$11.96,$23.71,$35.56,$46.00,$21.00,$21.00,,,,$1.39,,,$1.40,$6.79,,17,,,,,2025-12-17
11379955,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Nola [Superfractor] #111,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-17
11378750,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Nola [White Hole Refractor] #111,$7.28,,$11.57,$21.35,$41.45,$62.24,$81.00,$37.00,$37.00,,,$1.60,$7.99,,,$3.30,$12.99,,22,,,,,2025-12-17
11379481,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Schunk #172,$0.31,,$5.28,$10.48,$20.91,$31.36,$41.00,$19.00,$19.00,,,,$0.99,,,$1.20,$5.79,,32,,,,,2025-12-17
11379486,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Schunk [Aqua Equinox Refractor] #172,$2.83,,$7.60,$14.49,$28.48,$42.73,$56.00,$26.00,$26.00,,,,$3.09,,,$1.70,$8.39,,30,,,,,2025-12-17
11379494,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Schunk [Black Eclipse Refractor] #172,$29.99,,$31.88,$56.47,$107.76,$161.82,$210.00,$97.00,$97.00,,,$9.90,$32.99,,,$10.50,$34.99,,7,,,,,2025-12-17
11379487,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Schunk [Blue Moon Refractor] #172,$6.07,,$9.73,$18.18,$35.46,$53.22,$69.00,$32.00,$32.00,,,$1.30,$6.69,,,$2.80,$10.99,,17,,,,,2025-12-17
11379490,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Schunk [Gold Interstellar Refractor] #172,$8.50,,$12.61,$23.15,$44.82,$67.22,$87.00,$40.00,$40.00,,,$1.90,$9.39,,,$3.50,$13.99,,20,,,,,2025-12-17
11379489,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Schunk [Green Space Dust Refractor] #172,$9.99,,$13.97,$25.52,$49.33,$74.17,$96.00,$45.00,$45.00,,,$2.80,$10.99,,,$3.80,$14.99,,18,,,,,2025-12-17
12092175,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Schunk [Lunar Eclipse Refractor] #172,,,,,,,,,,,,,,,,,,,0,,,,,2025-12-17
11379480,Baseball Cards 2025 Topps Cosmic Chrome,Aaron Schunk [Nucleus Refractor] #172,$1.88,,$6.12,$11.94,$23.65,$35.48,$46.00,$21.00,$21.00,,,,$2.09,,,$1.30,$6.69,,18,,,,,2025-12-17
