id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
11977852,Baseball Cards 2025 Topps Stadium Club,Aaron Judge #139,$1.56,,$7.52,$23.75,$39.85,$62.91,$82.00,$38.00,$38.00,,,,$1.69,,,$1.70,$8.29,,1161,,,,,2026-02-18
11977879,Baseball Cards 2025 Topps Stadium Club,Aaron Judge [Black White] #139,$118.85,,$111.87,$196.27,$373.17,$569.20,$740.00,$342.00,$342.00,,,$65.50,$131.00,,,$61.50,$123.00,,26,,,,,2026-02-18
11977875,Baseball Cards 2025 Topps Stadium Club,Aaron Judge [Blue] #139,$8.49,,$21.38,$38.55,$74.13,$112.63,$146.00,$68.00,$68.00,,,$1.90,$9.29,,,$7.20,$23.99,,86,,,,,2026-02-18
11977870,Baseball Cards 2025 Topps Stadium Club,Aaron Judge [Bronze] #139,$11.90,,$15.77,$28.78,$55.61,$84.44,$110.00,$51.00,$51.00,,,$3.30,$12.99,,,$4.30,$16.99,,133,,,,,2026-02-18
11977901,Baseball Cards 2025 Topps Stadium Club,Aaron Judge [Gold Rainbow Foilboard] #139,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11977890,Baseball Cards 2025 Topps Stadium Club,Aaron Judge [Gold] #139,$202.50,,$109.06,$329.50,$625.93,$956.16,$1243.00,$574.00,$574.00,,,$111.50,$223.00,,,$60.00,$120.00,,14,,,,,2026-02-18
11977877,Baseball Cards 2025 Topps Stadium Club,Aaron Judge [Green] #139,$11.85,,$15.04,$27.50,$53.18,$80.67,$105.00,$48.00,$48.00,,,$3.30,$12.99,,,$4.30,$16.99,,100,,,,,2026-02-18
11977860,Baseball Cards 2025 Topps Stadium Club,Aaron Judge [Light Blue] #139,$3.06,,$8.00,$15.23,$29.91,$45.13,$59.00,$27.00,$27.00,,,,$3.39,,,$1.80,$8.79,,305,,,,,2026-02-18
11977864,Baseball Cards 2025 Topps Stadium Club,Aaron Judge [Lime Green] #139,$3.15,,$7.83,$14.93,$29.35,$44.27,$58.00,$27.00,$27.00,,,,$3.49,,,$1.70,$8.59,,427,,,,,2026-02-18
11977883,Baseball Cards 2025 Topps Stadium Club,Aaron Judge [Members Only] #139,$140.00,,$131.54,$230.51,$438.04,$667.92,$868.00,$401.00,$401.00,,,$77.00,$154.00,,,$72.50,$145.00,,36,,,,,2026-02-18
