id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
12424478,Baseball Cards 2025 Topps Transcendent,Aaron Judge #99,$16.92,,$20.04,$36.26,$69.83,$106.35,$138.00,$64.00,$64.00,,,$4.80,$18.99,,,$6.60,$21.99,,84,,,,,2026-04-01
12424886,Baseball Cards 2025 Topps Transcendent,Aaron Judge [Black Image Variation] #99,,,,,,,,,,,,,,,,,,,0,,,,,2026-04-01
12424445,Baseball Cards 2025 Topps Transcendent,Aaron Judge [Black] #99,$305.28,,$281.68,$493.38,$937.47,$1437.08,$1868.00,$862.00,$862.00,,,$168.00,$336.00,,,$155.00,$310.00,,9,,,,,2026-04-01
12424970,Baseball Cards 2025 Topps Transcendent,Aaron Judge [Image Variation] #99,$15.75,,$18.84,$34.18,$65.88,$100.32,$130.00,$60.00,$60.00,,,$4.30,$16.99,,,$6.30,$20.99,,65,,,,,2026-04-01
12424882,Baseball Cards 2025 Topps Transcendent,Aaron Judge [Orange Image Variation] #99,$145.35,,,,,,,,,,,$80.00,$160.00,,,,,,1,,,,,2026-04-01
12424489,Baseball Cards 2025 Topps Transcendent,Aaron Judge [Orange] #99,$102.25,,$97.66,$171.87,$327.21,$501.05,$651.00,$301.00,$301.00,,,$56.00,$112.00,,,$53.50,$107.00,,14,,,,,2026-04-01
12424890,Baseball Cards 2025 Topps Transcendent,Aaron Judge [Red Image Variation] #99,$331.00,,,,,,,,,,,$182.00,$364.00,,,,,,1,,,,,2026-04-01
12424446,Baseball Cards 2025 Topps Transcendent,Aaron Judge [Red] #99,$527.50,,$483.82,$847.80,$1611.23,$2477.40,$3221.00,$1486.00,$1486.00,,,$348.00,$580.00,,,$319.20,$532.00,,13,,,,,2026-04-01
12424893,Baseball Cards 2025 Topps Transcendent,Aaron Judge [Superfractor Image Variation] #99,,,,,,,,,,,,,,,,,,,0,,,,,2026-04-01
12424447,Baseball Cards 2025 Topps Transcendent,Aaron Judge [Superfractor] #99,$2586.40,,,,,,,,,,,$1707.00,$2845.00,,,,,,1,,,,,2026-04-01
12424186,Baseball Cards 2025 Topps Transcendent,Adley Rutschman #36,$1.35,,$7.43,$14.24,$28.05,$42.34,$55.00,$25.00,$25.00,,,,$1.49,,,$1.60,$8.19,,16,,,,,2026-04-01
12424724,Baseball Cards 2025 Topps Transcendent,Adley Rutschman [Black Image Variation] #36,,,,,,,,,,,,,,,,,,,0,,,,,2026-04-01
12424191,Baseball Cards 2025 Topps Transcendent,Adley Rutschman [Black] #36,,,,,,,,,,,,,,,,,,,0,,,,,2026-04-01
12424719,Baseball Cards 2025 Topps Transcendent,Adley Rutschman [Image Variation] #36,$1.25,,$6.13,$11.98,$23.76,$35.77,$47.00,$21.00,$21.00,,,,$1.39,,,$1.30,$6.69,,33,,,,,2026-04-01
12424721,Baseball Cards 2025 Topps Transcendent,Adley Rutschman [Orange Image Variation] #36,,,,,,,,,,,,,,,,,,,0,,,,,2026-04-01
12424188,Baseball Cards 2025 Topps Transcendent,Adley Rutschman [Orange] #36,$32.94,,$34.90,$62.32,$119.37,$182.83,$238.00,$110.00,$110.00,,,$14.40,$35.99,,,$15.20,$37.99,,11,,,,,2026-04-01
12424726,Baseball Cards 2025 Topps Transcendent,Adley Rutschman [Red Image Variation] #36,$65.00,,,,,,,,,,,$28.80,$71.99,,,,,,1,,,,,2026-04-01
12424194,Baseball Cards 2025 Topps Transcendent,Adley Rutschman [Red] #36,$51.00,,,,,,,,,,,$22.40,$55.99,,,,,,1,,,,,2026-04-01
12424728,Baseball Cards 2025 Topps Transcendent,Adley Rutschman [Superfractor Image Variation] #36,,,,,,,,,,,,,,,,,,,0,,,,,2026-04-01
12424197,Baseball Cards 2025 Topps Transcendent,Adley Rutschman [Superfractor] #36,,,,,,,,,,,,,,,,,,,0,,,,,2026-04-01
12424066,Baseball Cards 2025 Topps Transcendent,Adrian Beltre #21,$1.00,,$5.91,$11.59,$23.01,$34.63,$45.00,$21.00,$21.00,,,,$1.09,,,$1.30,$6.49,,44,,,,,2026-04-01
12424561,Baseball Cards 2025 Topps Transcendent,Adrian Beltre [Black Image Variation] #21,,,,,,,,,,,,,,,,,,,0,,,,,2026-04-01
12424067,Baseball Cards 2025 Topps Transcendent,Adrian Beltre [Black] #21,$10.50,,,,,,,,,,,$3.00,$11.99,,,,,,1,,,,,2026-04-01
12424557,Baseball Cards 2025 Topps Transcendent,Adrian Beltre [Image Variation] #21,$1.48,,$6.34,$12.35,$24.46,$36.86,$48.00,$22.00,$22.00,,,,$1.59,,,$1.40,$6.99,,26,,,,,2026-04-01
12424568,Baseball Cards 2025 Topps Transcendent,Adrian Beltre [Orange Image Variation] #21,,,,,,,,,,,,,,,,,,,0,,,,,2026-04-01
12424065,Baseball Cards 2025 Topps Transcendent,Adrian Beltre [Orange] #21,,,,,,,,,,,,,,,,,,,0,,,,,2026-04-01
12424562,Baseball Cards 2025 Topps Transcendent,Adrian Beltre [Red Image Variation] #21,,,,,,,,,,,,,,,,,,,0,,,,,2026-04-01
12424068,Baseball Cards 2025 Topps Transcendent,Adrian Beltre [Red] #21,$22.50,,,,,,,,,,,$7.50,$24.99,,,,,,1,,,,,2026-04-01
12424563,Baseball Cards 2025 Topps Transcendent,Adrian Beltre [Superfractor Image Variation] #21,,,,,,,,,,,,,,,,,,,0,,,,,2026-04-01
12424072,Baseball Cards 2025 Topps Transcendent,Adrian Beltre [Superfractor] #21,$306.00,,,,,,,,,,,$168.50,$337.00,,,,,,1,,,,,2026-04-01
12424138,Baseball Cards 2025 Topps Transcendent,Agustin Ramirez #46,$1.63,,$8.73,$16.52,$32.37,$48.96,$64.00,$29.00,$29.00,,,,$1.79,,,$1.90,$9.59,,24,,,,,2026-04-01
12424618,Baseball Cards 2025 Topps Transcendent,Agustin Ramirez [Black Image Variation] #46,$4.38,,$8.97,$16.94,$33.18,$50.23,$65.00,$30.00,$30.00,,,$1.00,$4.79,,,$2.00,$9.89,,35,,,,,2026-04-01
12424142,Baseball Cards 2025 Topps Transcendent,Agustin Ramirez [Black] #46,$13.00,,$16.80,$30.64,$59.21,$90.29,$117.00,$54.00,$54.00,,,$3.50,$13.99,,,$4.50,$17.99,,11,,,,,2026-04-01
12424614,Baseball Cards 2025 Topps Transcendent,Agustin Ramirez [Image Variation] #46,$1.00,,$6.12,$11.95,$23.70,$35.69,$46.00,$21.00,$21.00,,,,$1.09,,,$1.30,$6.69,,23,,,,,2026-04-01
12424615,Baseball Cards 2025 Topps Transcendent,Agustin Ramirez [Orange Image Variation] #46,$26.00,,,,,,,,,,,$8.70,$28.99,,,,,,1,,,,,2026-04-01
12424141,Baseball Cards 2025 Topps Transcendent,Agustin Ramirez [Orange] #46,$13.19,,$23.59,$42.48,$81.66,$124.63,$162.00,$75.00,$75.00,,,$3.80,$14.99,,,$7.80,$25.99,,17,,,,,2026-04-01
12424619,Baseball Cards 2025 Topps Transcendent,Agustin Ramirez [Red Image Variation] #46,$26.00,,,,,,,,,,,$8.70,$28.99,,,,,,1,,,,,2026-04-01
12424144,Baseball Cards 2025 Topps Transcendent,Agustin Ramirez [Red] #46,$46.00,,,,,,,,,,,$20.40,$50.99,,,,,,1,,,,,2026-04-01
12424621,Baseball Cards 2025 Topps Transcendent,Agustin Ramirez [Superfractor Image Variation] #46,,,,,,,,,,,,,,,,,,,0,,,,,2026-04-01
12424146,Baseball Cards 2025 Topps Transcendent,Agustin Ramirez [Superfractor] #46,$255.00,,,,,,,,,,,$140.50,$281.00,,,,,,1,,,,,2026-04-01
12424363,Baseball Cards 2025 Topps Transcendent,Albert Pujols #73,$1.56,,$6.40,$12.44,$24.64,$37.12,$48.00,$22.00,$22.00,,,,$1.69,,,$1.40,$6.99,,54,,,,,2026-04-01
12425236,Baseball Cards 2025 Topps Transcendent,Albert Pujols [Black Image Variation] #73,$31.00,,,,,,,,,,,$10.20,$33.99,,,,,,1,,,,,2026-04-01
12424342,Baseball Cards 2025 Topps Transcendent,Albert Pujols [Black] #73,$70.55,,,,,,,,,,,$31.20,$77.99,,,,,,1,,,,,2026-04-01
12425234,Baseball Cards 2025 Topps Transcendent,Albert Pujols [Image Variation] #73,$2.26,,$6.93,$13.37,$26.40,$39.81,$52.00,$24.00,$24.00,,,,$2.49,,,$1.50,$7.59,,43,,,,,2026-04-01
12425235,Baseball Cards 2025 Topps Transcendent,Albert Pujols [Orange Image Variation] #73,$20.69,,,,,,,,,,,$6.90,$22.99,,,,,,9,,,,,2026-04-01
12424341,Baseball Cards 2025 Topps Transcendent,Albert Pujols [Orange] #73,$29.99,,$32.20,$57.56,$110.29,$168.66,$219.00,$101.00,$101.00,,,$9.90,$32.99,,,$10.50,$34.99,,34,,,,,2026-04-01
12425323,Baseball Cards 2025 Topps Transcendent,Albert Pujols [Red Image Variation] #73,$81.00,,,,,,,,,,,$35.60,$88.99,,,,,,1,,,,,2026-04-01
12424565,Baseball Cards 2025 Topps Transcendent,Albert Pujols [Red] #73,,,,,,,,,,,,,,,,,,,0,,,,,2026-04-01
12425238,Baseball Cards 2025 Topps Transcendent,Albert Pujols [Superfractor Image Variation] #73,,,,,,,,,,,,,,,,,,,0,,,,,2026-04-01
12424347,Baseball Cards 2025 Topps Transcendent,Albert Pujols [Superfractor] #73,,,,,,,,,,,,,,,,,,,0,,,,,2026-04-01
12424105,Baseball Cards 2025 Topps Transcendent,Alex Bregman #28,$2.84,,$8.21,$15.60,$30.63,$46.29,$60.00,$28.00,$28.00,,,,$3.09,,,$1.80,$8.99,,24,,,,,2026-04-01
12424620,Baseball Cards 2025 Topps Transcendent,Alex Bregman [Black Image Variation] #28,,,,,,,,,,,,,,,,,,,0,,,,,2026-04-01
12424110,Baseball Cards 2025 Topps Transcendent,Alex Bregman [Black] #28,$18.59,,$21.85,$39.45,$75.91,$115.80,$151.00,$69.00,$69.00,,,$5.00,$19.99,,,$7.20,$23.99,,10,,,,,2026-04-01
12424616,Baseball Cards 2025 Topps Transcendent,Alex Bregman [Image Variation] #28,$1.29,,,,,,,,,,,,$1.39,,,,,,1,,,,,2026-04-01
12424666,Baseball Cards 2025 Topps Transcendent,Alex Bregman [Orange Image Variation] #28,$25.00,,,,,,,,,,,$8.40,$27.99,,,,,,1,,,,,2026-04-01
12424107,Baseball Cards 2025 Topps Transcendent,Alex Bregman [Orange] #28,$11.50,,$15.11,$27.66,$53.51,$81.35,$106.00,$49.00,$49.00,,,$3.30,$12.99,,,$4.30,$16.99,,21,,,,,2026-04-01
12424623,Baseball Cards 2025 Topps Transcendent,Alex Bregman [Red Image Variation] #28,,,,,,,,,,,,,,,,,,,0,,,,,2026-04-01
12424112,Baseball Cards 2025 Topps Transcendent,Alex Bregman [Red] #28,,,,,,,,,,,,,,,,,,,0,,,,,2026-04-01
12424685,Baseball Cards 2025 Topps Transcendent,Alex Bregman [Superfractor Image Variation] #28,,,,,,,,,,,,,,,,,,,0,,,,,2026-04-01
12424114,Baseball Cards 2025 Topps Transcendent,Alex Bregman [Superfractor] #28,,,,,,,,,,,,,,,,,,,0,,,,,2026-04-01
12424537,Baseball Cards 2025 Topps Transcendent,Alex Rodriguez #18,$2.00,,$6.68,$12.93,$25.57,$38.54,$50.00,$23.00,$23.00,,,,$2.19,,,$1.50,$7.39,,33,,,,,2026-04-01
12425130,Baseball Cards 2025 Topps Transcendent,Alex Rodriguez [Black Image Variation] #18,,,,,,,,,,,,,,,,,,,0,,,,,2026-04-01
12424559,Baseball Cards 2025 Topps Transcendent,Alex Rodriguez [Black] #18,$39.99,,$41.25,$73.34,$140.22,$214.43,$279.00,$129.00,$129.00,,,$17.60,$43.99,,,$18.00,$44.99,,14,,,,,2026-04-01
12425106,Baseball Cards 2025 Topps Transcendent,Alex Rodriguez [Image Variation] #18,$3.12,,$7.86,$15.00,$29.48,$44.57,$58.00,$27.00,$27.00,,,,$3.39,,,$1.70,$8.69,,33,,,,,2026-04-01
12425118,Baseball Cards 2025 Topps Transcendent,Alex Rodriguez [Orange Image Variation] #18,$26.00,,,,,,,,,,,$8.70,$28.99,,,,,,1,,,,,2026-04-01
12424539,Baseball Cards 2025 Topps Transcendent,Alex Rodriguez [Orange] #18,$28.25,,$30.62,$54.78,$105.00,$160.49,$209.00,$96.00,$96.00,,,$9.30,$30.99,,,$10.20,$33.99,,18,,,,,2026-04-01
12425124,Baseball Cards 2025 Topps Transcendent,Alex Rodriguez [Red Image Variation] #18,,,,,,,,,,,,,,,,,,,0,,,,,2026-04-01
12424540,Baseball Cards 2025 Topps Transcendent,Alex Rodriguez [Red] #18,$103.75,,$99.17,$174.77,$332.94,$511.28,$665.00,$307.00,$307.00,,,$57.00,$114.00,,,$54.50,$109.00,,13,,,,,2026-04-01
12425137,Baseball Cards 2025 Topps Transcendent,Alex Rodriguez [Superfractor Image Variation] #18,,,,,,,,,,,,,,,,,,,0,,,,,2026-04-01
12424550,Baseball Cards 2025 Topps Transcendent,Alex Rodriguez [Superfractor] #18,$349.00,,,,,,,,,,,$192.00,$384.00,,,,,,1,,,,,2026-04-01
12424402,Baseball Cards 2025 Topps Transcendent,Andrew McCutchen #91,$1.00,,$5.91,$11.59,$23.01,$34.62,$45.00,$21.00,$21.00,,,,$1.09,,,$1.30,$6.49,,77,,,,,2026-04-01
