id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
10807991,Baseball Cards 2025 Topps Update,2-For-1 Swing #US290,$0.57,,$5.49,$10.84,$21.59,$32.36,$42.00,$19.00,$19.00,,,,$0.99,,,$1.20,$5.99,,46,,,,,2025-10-29
10884040,Baseball Cards 2025 Topps Update,2-For-1 Swing [Aqua Rainbow Foil] #US290,$2.49,,,,,,,,,,,,$2.69,,,,,,4,,,,,2025-10-29
10888332,Baseball Cards 2025 Topps Update,2-For-1 Swing [Bats] #US290,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-29
10888327,Baseball Cards 2025 Topps Update,2-For-1 Swing [Black Cat] #US290,$40.00,,$40.65,$71.25,$135.35,$201.21,$262.00,$121.00,$121.00,,,$17.60,$43.99,,,$18.00,$44.99,,7,,,,,2025-10-29
10884128,Baseball Cards 2025 Topps Update,2-For-1 Swing [Black Diamante Foil] #US290,$51.00,,,,,,,,,,,$22.40,$55.99,,,,,,1,,,,,2025-10-29
10884137,Baseball Cards 2025 Topps Update,2-For-1 Swing [Black Rainbow Foil] #US290,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-29
10884072,Baseball Cards 2025 Topps Update,2-For-1 Swing [Blue Rainbow Foil] #US290,$6.07,,$10.34,$19.18,$37.30,$55.70,$72.00,$33.00,$33.00,,,$1.30,$6.69,,,$2.80,$10.99,,12,,,,,2025-10-29
10884111,Baseball Cards 2025 Topps Update,2-For-1 Swing [Camo] #US290,$18.20,,,,,,,,,,,$5.00,$19.99,,,,,,4,,,,,2025-10-29
10884108,Baseball Cards 2025 Topps Update,2-For-1 Swing [Canvas] #US290,$10.38,,$14.25,$25.90,$49.95,$74.47,$97.00,$45.00,$45.00,,,$2.80,$10.99,,,$4.00,$15.99,,6,,,,,2025-10-29
10884140,Baseball Cards 2025 Topps Update,2-For-1 Swing [Clear] #US290,$55.50,,$54.46,$94.99,$180.06,$267.61,$348.00,$161.00,$161.00,,,$24.40,$60.99,,,$24.00,$59.99,,6,,,,,2025-10-29
10884007,Baseball Cards 2025 Topps Update,2-For-1 Swing [Diamante Foil] #US290,$0.99,,$5.88,$11.52,$22.86,$34.24,$45.00,$21.00,$21.00,,,,$1.09,,,$1.30,$6.49,,7,,,,,2025-10-29
10884156,Baseball Cards 2025 Topps Update,2-For-1 Swing [First] #US290,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-29
10884159,Baseball Cards 2025 Topps Update,2-For-1 Swing [Foilfractor] #US290,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-29
10891121,Baseball Cards 2025 Topps Update,2-For-1 Swing [Ghost] #US290,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-29
10884034,Baseball Cards 2025 Topps Update,2-For-1 Swing [Gold Border] #US290,$1.49,,$6.33,$12.28,$24.29,$36.37,$47.00,$22.00,$22.00,,,,$1.59,,,$1.40,$6.99,,40,,,,,2025-10-29
10884098,Baseball Cards 2025 Topps Update,2-For-1 Swing [Gold Diamante Foil] #US290,$14.87,,$18.26,$32.79,$62.93,$93.79,$122.00,$56.00,$56.00,,,$4.00,$15.99,,,$5.00,$19.99,,17,,,,,2025-10-29
10884106,Baseball Cards 2025 Topps Update,2-For-1 Swing [Gold Rainbow Foil] #US290,$27.13,,,,,,,,,,,$9.00,$29.99,,,,,,4,,,,,2025-10-29
10807993,Baseball Cards 2025 Topps Update,2-For-1 Swing [Golden Mirror] #US290,$102.50,,,,,,,,,,,$56.50,$113.00,,,,,,4,,,,,2025-10-29
10884084,Baseball Cards 2025 Topps Update,2-For-1 Swing [Green Rainbow Foil] #US290,$3.99,,$8.56,$16.11,$31.51,$47.09,$61.00,$28.00,$28.00,,,$0.90,$4.39,,,$1.90,$9.39,,7,,,,,2025-10-29
11236581,Baseball Cards 2025 Topps Update,2-For-1 Swing [Holiday] #US290,$1.30,,$6.16,$11.99,$23.74,$35.55,$46.00,$21.00,$21.00,,,,$1.39,,,$1.40,$6.79,,24,,,,,2025-10-29
