id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
12934164,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller #BCP-49,$2.17,,$7.00,$13.52,$26.70,$40.41,$53.00,$24.00,$24.00,,,,$2.39,,,$1.50,$7.69,,85,,,,,2026-05-13
12934178,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [35 Logofractor] #BCP-49,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
12934484,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Aqua Geometric Refractor] #BCP-49,$9.25,,,,,,,,,,,$2.00,$9.99,,,,,,69,,,,,2026-05-13
13136033,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Aqua Mojo Refractor] #BCP-49,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
12934255,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Aqua Shimmer Refractor] #BCP-49,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
12934248,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Aqua X-Fractor Refractor] #BCP-49,$7.50,,,,,,,,,,,$1.70,$8.29,,,,,,23,,,,,2026-05-13
12934508,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Black Geometric Refractor] #BCP-49,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
13136035,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Black Mojo Refractor] #BCP-49,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
12934345,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Black Refractor] #BCP-49,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
13136048,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Black White Mojo Refractor] #BCP-49,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
12934350,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Black X-Fractor] #BCP-49,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
12934478,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Blue Geometric Refractor] #BCP-49,$7.50,,$14.12,$26.04,$50.53,$77.39,$101.00,$46.00,$46.00,,,$1.70,$8.29,,,$4.00,$15.99,,49,,,,,2026-05-13
13136037,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Blue Mojo Refractor] #BCP-49,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
12934425,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Blue RayWave Refractor] #BCP-49,$4.50,,,,,,,,,,,$1.00,$4.99,,,,,,1,,,,,2026-05-13
12934228,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Blue Refractor] #BCP-49,$5.00,,$9.56,$18.02,$35.26,$53.67,$70.00,$32.00,$32.00,,,$1.10,$5.49,,,$2.80,$10.99,,68,,,,,2026-05-13
12934232,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Blue Shimmer Refractor] #BCP-49,$10.99,,,,,,,,,,,$3.00,$11.99,,,,,,1,,,,,2026-05-13
13136043,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Burgundy Mojo Refractor] #BCP-49,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
12934549,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Firefractor] #BCP-49,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
13136040,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Fuchsia Mojo Refractor] #BCP-49,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
12934214,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Fuchsia Refractor] #BCP-49,$5.00,,,,,,,,,,,$1.10,$5.49,,,,,,1,,,,,2026-05-13
12934219,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Fuchsia Wave] #BCP-49,$4.99,,,,,,,,,,,$1.10,$5.49,,,,,,1,,,,,2026-05-13
12934500,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Gold Geometric Refractor] #BCP-49,$24.99,,$27.81,$50.13,$96.41,$148.75,$193.00,$89.00,$89.00,,,$8.10,$26.99,,,$9.30,$30.99,,25,,,,,2026-05-13
13190040,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Gold Mojo Refractor] #BCP-49,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-01
12934298,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Gold Refractor] #BCP-49,$20.00,,,,,,,,,,,$6.60,$21.99,,,,,,1,,,,,2026-05-13
12934304,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Gold Shimmer Refractor] #BCP-49,$32.99,,,,,,,,,,,$14.40,$35.99,,,,,,1,,,,,2026-05-13
12934494,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Green Geometric Refractor] #BCP-49,$7.99,,,,,,,,,,,$1.80,$8.79,,,,,,1,,,,,2026-05-13
12934270,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Green Grass Refractor] #BCP-49,$3.25,,,,,,,,,,,,$3.59,,,,,,1,,,,,2026-05-13
13136045,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Green Mojo Refractor] #BCP-49,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
12934527,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Green Refractor] #BCP-49,$8.95,,$13.16,$24.34,$47.30,$72.34,$94.00,$43.00,$43.00,,,$2.00,$9.89,,,$3.50,$13.99,,27,,,,,2026-05-13
12934541,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Green Reptilian Refractor] #BCP-49,$9.99,,,,,,,,,,,$2.80,$10.99,,,,,,1,,,,,2026-05-13
12934534,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Green Shimmer Refractor] #BCP-49,$8.75,,$12.98,$24.03,$46.69,$71.40,$93.00,$43.00,$43.00,,,$1.90,$9.59,,,$3.50,$13.99,,24,,,,,2026-05-13
12934444,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Gumball Refractor] #BCP-49,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
12934191,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Lava Refractor] #BCP-49,$3.50,,$8.19,$15.61,$30.68,$46.56,$61.00,$28.00,$28.00,,,$0.80,$3.89,,,$1.80,$8.99,,45,,,,,2026-05-13
12934522,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Lazer Refractor] #BCP-49,$1.80,,$6.50,$12.63,$25.01,$37.77,$49.00,$23.00,$23.00,,,,$1.99,,,$1.40,$7.19,,152,,,,,2026-05-13
12934415,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [League LogoFractor] #BCP-49,$19.00,,,,,,,,,,,$6.30,$20.99,,,,,,1,,,,,2026-05-13
12934402,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Mini-Diamond Refractor] #BCP-49,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
13136031,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Mojo Refractor] #BCP-49,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
13136036,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Navy Mojo Refractor] #BCP-49,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
13136042,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Neon Green Mojo Refractor] #BCP-49,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
12934504,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Orange Geometric Refractor] #BCP-49,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
13136041,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Orange Mojo Refractor] #BCP-49,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
12934432,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Orange Refractor] #BCP-49,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
12934437,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Orange Shimmer Refractor] #BCP-49,$125.00,,,,,,,,,,,$69.00,$138.00,,,,,,1,,,,,2026-05-13
12940155,Baseball Cards 2026 Bowman Chrome Prospect,Aidan Miller [Packfractor Variation] #BCP-49,$112.50,,$107.61,$190.38,$363.30,$562.68,$731.00,$338.00,$338.00,,,$62.00,$124.00,,,$59.00,$118.00,,25,,,,,2026-05-13
