id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
12944440,Baseball Cards 2026 Bowman Electric Sluggers Autograph,Bryce Eldridge,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
12944444,Baseball Cards 2026 Bowman Electric Sluggers Autograph,Bryce Eldridge [Gold],,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
12944443,Baseball Cards 2026 Bowman Electric Sluggers Autograph,Bryce Eldridge [Orange],,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
12944442,Baseball Cards 2026 Bowman Electric Sluggers Autograph,Bryce Eldridge [Red],$374.00,,,,,,,,,,,$205.50,$411.00,,,,,,1,,,,,2026-05-13
12944441,Baseball Cards 2026 Bowman Electric Sluggers Autograph,Bryce Eldridge [Superfractor],,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
12944512,Baseball Cards 2026 Bowman Electric Sluggers Autograph,Cal Raleigh,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
12944518,Baseball Cards 2026 Bowman Electric Sluggers Autograph,Cal Raleigh [Gold],$140.50,,$107.08,$189.10,$360.59,$556.58,$724.00,$334.00,$334.00,,,$77.50,$155.00,,,$59.00,$118.00,,48,,,,,2026-05-13
12944520,Baseball Cards 2026 Bowman Electric Sluggers Autograph,Cal Raleigh [Orange],$129.99,,$123.47,$218.08,$415.87,$643.28,$836.00,$386.00,$386.00,,,$71.50,$143.00,,,$68.00,$136.00,,42,,,,,2026-05-13
12944514,Baseball Cards 2026 Bowman Electric Sluggers Autograph,Cal Raleigh [Red],,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
12944516,Baseball Cards 2026 Bowman Electric Sluggers Autograph,Cal Raleigh [Superfractor],,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
12944445,Baseball Cards 2026 Bowman Electric Sluggers Autograph,Ethan Holliday,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
