id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
12945868,Baseball Cards 2026 Bowman Electric Sluggers,Aaron Judge #ES-15,$1.41,,$6.82,$13.20,$26.08,$39.41,$51.00,$24.00,$24.00,,,,$1.59,,,$1.50,$7.49,,1831,,,,,2026-05-13
13169559,Baseball Cards 2026 Bowman Electric Sluggers,Aaron Judge [Aqua Mojo] #ES-15,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-01
12945878,Baseball Cards 2026 Bowman Electric Sluggers,Aaron Judge [Aqua] #ES-15,$29.75,,$32.12,$57.64,$110.65,$170.49,$222.00,$102.00,$102.00,,,$9.90,$32.99,,,$10.50,$34.99,,70,,,,,2026-05-13
13169562,Baseball Cards 2026 Bowman Electric Sluggers,Aaron Judge [Black Mojo] #ES-15,$255.00,,,,,,,,,,,$140.50,$281.00,,,,,,1,,,,,2026-06-01
13169623,Baseball Cards 2026 Bowman Electric Sluggers,Aaron Judge [Black White Mojo] #ES-15,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-01
13169575,Baseball Cards 2026 Bowman Electric Sluggers,Aaron Judge [Blue Mojo] #ES-15,$35.25,,$37.90,$67.88,$130.21,$201.31,$262.00,$121.00,$121.00,,,$15.60,$38.99,,,$16.80,$41.99,,45,,,,,2026-06-01
13169602,Baseball Cards 2026 Bowman Electric Sluggers,Aaron Judge [Burgundy Mojo] #ES-15,$12.20,,$16.14,$29.60,$57.32,$88.01,$114.00,$53.00,$53.00,,,$3.30,$12.99,,,$4.50,$17.99,,67,,,,,2026-06-01
13169588,Baseball Cards 2026 Bowman Electric Sluggers,Aaron Judge [Fuchsia Mojo] #ES-15,$22.50,,$25.56,$46.19,$88.94,$137.29,$178.00,$82.00,$82.00,,,$7.50,$24.99,,,$8.40,$27.99,,26,,,,,2026-06-01
12945871,Baseball Cards 2026 Bowman Electric Sluggers,Aaron Judge [Gold] #ES-15,$102.50,,$98.41,$174.05,$332.10,$513.48,$668.00,$308.00,$308.00,,,$56.50,$113.00,,,$54.00,$108.00,,23,,,,,2026-05-13
13169595,Baseball Cards 2026 Bowman Electric Sluggers,Aaron Judge [Green Mojo] #ES-15,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-01
12945877,Baseball Cards 2026 Bowman Electric Sluggers,Aaron Judge [Green] #ES-15,$31.76,,$33.93,$60.78,$116.58,$179.46,$233.00,$108.00,$108.00,,,$10.50,$34.99,,,$14.80,$36.99,,80,,,,,2026-05-13
12945874,Baseball Cards 2026 Bowman Electric Sluggers,Aaron Judge [Mini-Diamond] #ES-15,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
13169556,Baseball Cards 2026 Bowman Electric Sluggers,Aaron Judge [Mojo] #ES-15,$2.88,,$7.63,$14.62,$28.80,$43.67,$57.00,$26.00,$26.00,,,,$3.19,,,$1.70,$8.39,,440,,,,,2026-06-01
13169570,Baseball Cards 2026 Bowman Electric Sluggers,Aaron Judge [Navy Mojo] #ES-15,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-01
13169601,Baseball Cards 2026 Bowman Electric Sluggers,Aaron Judge [Neon Green Mojo] #ES-15,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-01
13169591,Baseball Cards 2026 Bowman Electric Sluggers,Aaron Judge [Orange Mojo] #ES-15,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-01
12945873,Baseball Cards 2026 Bowman Electric Sluggers,Aaron Judge [Orange] #ES-15,$259.50,,$241.53,$425.49,$810.53,$1255.06,$1632.00,$753.00,$753.00,,,$142.50,$285.00,,,$133.00,$266.00,,36,,,,,2026-05-13
13169607,Baseball Cards 2026 Bowman Electric Sluggers,Aaron Judge [Pink Mojo] #ES-15,$24.99,,$27.83,$50.20,$96.56,$149.14,$194.00,$89.00,$89.00,,,$8.10,$26.99,,,$9.30,$30.99,,23,,,,,2026-06-01
13169577,Baseball Cards 2026 Bowman Electric Sluggers,Aaron Judge [Purple Mojo] #ES-15,$20.00,,$23.99,$43.40,$83.59,$128.77,$167.00,$77.00,$77.00,,,$6.60,$21.99,,,$7.80,$25.99,,102,,,,,2026-06-01
