id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
12946219,Baseball Cards 2026 Bowman Power Chords,Aaron Judge #PC-1,$2.37,,$7.73,$14.79,$29.12,$44.11,$57.00,$26.00,$26.00,,,,$2.59,,,$1.70,$8.49,,1206,,,,,2026-05-13
12946222,Baseball Cards 2026 Bowman Power Chords,Aaron Judge [Aqua] #PC-1,$20.29,,$24.04,$43.41,$83.55,$128.30,$167.00,$77.00,$77.00,,,$6.60,$21.99,,,$7.80,$25.99,,75,,,,,2026-05-13
12946224,Baseball Cards 2026 Bowman Power Chords,Aaron Judge [Gold] #PC-1,$107.60,,$88.13,$155.96,$297.65,$459.86,$598.00,$276.00,$276.00,,,$59.00,$118.00,,,$38.80,$96.99,,55,,,,,2026-05-13
12946223,Baseball Cards 2026 Bowman Power Chords,Aaron Judge [Green] #PC-1,$42.50,,$49.62,$88.32,$168.95,$260.46,$339.00,$156.00,$156.00,,,$18.80,$46.99,,,$22.00,$54.99,,50,,,,,2026-05-13
12946220,Baseball Cards 2026 Bowman Power Chords,Aaron Judge [Mini-Diamond] #PC-1,$30.00,,$32.34,$58.01,$111.33,$171.46,$223.00,$103.00,$103.00,,,$9.90,$32.99,,,$14.40,$35.99,,25,,,,,2026-05-13
12946226,Baseball Cards 2026 Bowman Power Chords,Aaron Judge [Orange] #PC-1,$76.00,,,,,,,,,,,$33.60,$83.99,,,,,,1,,,,,2026-05-13
12946218,Baseball Cards 2026 Bowman Power Chords,Aaron Judge [Red] #PC-1,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
12946221,Baseball Cards 2026 Bowman Power Chords,Aaron Judge [Superfractor] #PC-1,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
12946305,Baseball Cards 2026 Bowman Power Chords,Aiva Arquette #PC-18,$1.00,,$6.00,$11.76,$23.34,$35.17,$46.00,$21.00,$21.00,,,,$1.09,,,$1.30,$6.59,,355,,,,,2026-05-13
12946314,Baseball Cards 2026 Bowman Power Chords,Aiva Arquette [Aqua] #PC-18,$8.50,,,,,,,,,,,$1.90,$9.39,,,,,,1,,,,,2026-05-13
