id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
12925733,Baseball Cards 2026 Bowman,Aaron Judge #1,$1.44,,$6.46,$12.56,$24.87,$37.53,$49.00,$23.00,$23.00,,,,$1.59,,,$1.40,$7.09,,461,,,,,2026-05-13
13138959,Baseball Cards 2026 Bowman,Aaron Judge [Aqua Mojo] #1,$30.00,,$32.33,$57.98,$111.27,$171.31,$223.00,$103.00,$103.00,,,$9.90,$32.99,,,$14.40,$35.99,,97,,,,,2026-05-13
13138963,Baseball Cards 2026 Bowman,Aaron Judge [Black Mojo] #1,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
12925752,Baseball Cards 2026 Bowman,Aaron Judge [Black Pattern] #1,$230.51,,$303.13,$533.44,$1015.70,$1571.51,$2043.00,$943.00,$943.00,,,$127.00,$254.00,,,$166.50,$333.00,,24,,,,,2026-05-13
13139031,Baseball Cards 2026 Bowman,Aaron Judge [Black White Mojo] #1,$596.00,,,,,,,,,,,$393.60,$656.00,,,,,,1,,,,,2026-05-13
12925751,Baseball Cards 2026 Bowman,Aaron Judge [Black] #1,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-13
13138971,Baseball Cards 2026 Bowman,Aaron Judge [Blue Mojo] #1,$35.00,,$43.69,$77.91,$149.16,$229.85,$299.00,$138.00,$138.00,,,$15.60,$38.99,,,$19.20,$47.99,,106,,,,,2026-05-13
12925742,Baseball Cards 2026 Bowman,Aaron Judge [Blue Pattern] #1,$26.00,,$28.69,$51.60,$99.14,$152.56,$198.00,$92.00,$92.00,,,$8.70,$28.99,,,$9.60,$31.99,,44,,,,,2026-05-13
12925741,Baseball Cards 2026 Bowman,Aaron Judge [Blue] #1,$15.82,,$23.21,$41.97,$80.82,$124.15,$161.00,$74.00,$74.00,,,$4.30,$16.99,,,$7.80,$25.99,,72,,,,,2026-05-13
13139011,Baseball Cards 2026 Bowman,Aaron Judge [Burgundy Mojo] #1,$19.99,,$22.90,$41.41,$79.75,$122.46,$159.00,$73.00,$73.00,,,$6.60,$21.99,,,$7.50,$24.99,,157,,,,,2026-05-13
13138985,Baseball Cards 2026 Bowman,Aaron Judge [Fuchsia Mojo] #1,$26.49,,$29.14,$52.40,$100.68,$155.04,$202.00,$93.00,$93.00,,,$8.70,$28.99,,,$9.60,$31.99,,88,,,,,2026-05-13
12925737,Baseball Cards 2026 Bowman,Aaron Judge [Fuchsia] #1,$11.75,,$15.70,$28.79,$55.75,$85.35,$111.00,$51.00,$51.00,,,$3.30,$12.99,,,$4.30,$16.99,,124,,,,,2026-05-13
