id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
11899840,Baseball Cards 2026 Topps 1991 Chrome,Aaron Judge #91C-82,$5.00,,$9.81,$26.28,$47.32,$74.15,$96.00,$44.00,$44.00,,,$1.10,$5.49,,,$2.80,$10.99,,271,,,,,2026-02-11
11957523,Baseball Cards 2026 Topps 1991 Chrome,Aaron Judge [Aqua] #91C-82,$24.47,,$27.08,$48.42,$92.79,$140.74,$183.00,$84.00,$84.00,,,$8.10,$26.99,,,$9.00,$29.99,,20,,,,,2026-02-11
11957528,Baseball Cards 2026 Topps 1991 Chrome,Aaron Judge [Black] #91C-82,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-11
11957525,Baseball Cards 2026 Topps 1991 Chrome,Aaron Judge [Blue] #91C-82,$39.81,,$43.08,$76.26,$145.53,$220.98,$287.00,$133.00,$133.00,,,$17.60,$43.99,,,$18.80,$46.99,,31,,,,,2026-02-11
11957526,Baseball Cards 2026 Topps 1991 Chrome,Aaron Judge [Gold] #91C-82,$135.25,,$127.05,$222.32,$422.21,$641.83,$834.00,$385.00,$385.00,,,$74.50,$149.00,,,$70.00,$140.00,,6,,,,,2026-02-11
11957524,Baseball Cards 2026 Topps 1991 Chrome,Aaron Judge [Green] #91C-82,$50.00,,$50.11,$88.46,$147.00,$150.00,$195.00,$90.00,$90.00,,,$22.00,$54.99,,,$22.00,$54.99,,18,,,,,2026-02-11
11957527,Baseball Cards 2026 Topps 1991 Chrome,Aaron Judge [Orange] #91C-82,$103.50,,,,,,,,,,,$57.00,$114.00,,,,,,1,,,,,2026-02-11
11957522,Baseball Cards 2026 Topps 1991 Chrome,Aaron Judge [Purple] #91C-82,$26.75,,$34.78,$61.81,$118.15,$179.31,$233.00,$108.00,$108.00,,,$8.70,$28.99,,,$15.20,$37.99,,39,,,,,2026-02-11
11957530,Baseball Cards 2026 Topps 1991 Chrome,Aaron Judge [Red] #91C-82,$642.50,,$584.40,$1017.34,$1927.73,$2928.41,$3807.00,$1757.00,$1757.00,,,$424.20,$707.00,,,$385.80,$643.00,,6,,,,,2026-02-11
11957532,Baseball Cards 2026 Topps 1991 Chrome,Aaron Judge [Superfractor] #91C-82,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-11
11899733,Baseball Cards 2026 Topps 1991 Chrome,Adrian Beltre #91C-1,$1.75,,$6.58,$12.75,$25.20,$37.90,$49.00,$23.00,$23.00,,,,$1.89,,,$1.40,$7.19,,104,,,,,2026-02-11
11956832,Baseball Cards 2026 Topps 1991 Chrome,Adrian Beltre [Aqua Autograph] #91C-1,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-11
11957536,Baseball Cards 2026 Topps 1991 Chrome,Adrian Beltre [Aqua] #91C-1,$3.00,,$7.71,$14.71,$28.93,$43.60,$57.00,$26.00,$26.00,,,,$3.29,,,$1.70,$8.49,,20,,,,,2026-02-11
11958429,Baseball Cards 2026 Topps 1991 Chrome,Adrian Beltre [Autograph] #91C-1,$47.00,,,,,,,,,,,$20.80,$51.99,,,,,,1,,,,,2026-02-11
11957187,Baseball Cards 2026 Topps 1991 Chrome,Adrian Beltre [Black Autograph] #91C-1,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-11
11957545,Baseball Cards 2026 Topps 1991 Chrome,Adrian Beltre [Black] #91C-1,$75.00,,,,,,,,,,,$33.20,$82.99,,,,,,1,,,,,2026-02-11
11956842,Baseball Cards 2026 Topps 1991 Chrome,Adrian Beltre [Blue Autograph] #91C-1,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-11
11957539,Baseball Cards 2026 Topps 1991 Chrome,Adrian Beltre [Blue] #91C-1,$3.25,,$8.19,$15.54,$30.50,$45.98,$60.00,$28.00,$28.00,,,,$3.59,,,$1.80,$8.99,,23,,,,,2026-02-11
11956914,Baseball Cards 2026 Topps 1991 Chrome,Adrian Beltre [Gold Autograph] #91C-1,$45.00,,,,,,,,,,,$20.00,$49.99,,,,,,1,,,,,2026-02-11
11957543,Baseball Cards 2026 Topps 1991 Chrome,Adrian Beltre [Gold] #91C-1,$15.99,,$19.43,$35.11,$67.57,$102.39,$133.00,$61.00,$61.00,,,$4.50,$17.99,,,$6.30,$20.99,,10,,,,,2026-02-11
11956858,Baseball Cards 2026 Topps 1991 Chrome,Adrian Beltre [Green Autograph] #91C-1,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-11
11957540,Baseball Cards 2026 Topps 1991 Chrome,Adrian Beltre [Green] #91C-1,$4.99,,$9.07,$17.07,$33.39,$50.33,$65.00,$30.00,$30.00,,,$1.10,$5.49,,,$2.00,$9.99,,8,,,,,2026-02-11
11957177,Baseball Cards 2026 Topps 1991 Chrome,Adrian Beltre [Orange Autograph] #91C-1,$35.00,,,,,,,,,,,$15.60,$38.99,,,,,,1,,,,,2026-02-11
11957544,Baseball Cards 2026 Topps 1991 Chrome,Adrian Beltre [Orange] #91C-1,$40.00,,$34.31,$60.97,$116.53,$176.69,$230.00,$106.00,$106.00,,,$17.60,$43.99,,,$15.20,$37.99,,8,,,,,2026-02-11
11956744,Baseball Cards 2026 Topps 1991 Chrome,Adrian Beltre [Purple Autograph] #91C-1,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-11
11957535,Baseball Cards 2026 Topps 1991 Chrome,Adrian Beltre [Purple] #91C-1,$3.02,,$7.72,$14.74,$28.97,$43.64,$57.00,$26.00,$26.00,,,,$3.29,,,$1.70,$8.49,,6,,,,,2026-02-11
11957226,Baseball Cards 2026 Topps 1991 Chrome,Adrian Beltre [Red Autograph] #91C-1,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-11
11957547,Baseball Cards 2026 Topps 1991 Chrome,Adrian Beltre [Red] #91C-1,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-11
11957258,Baseball Cards 2026 Topps 1991 Chrome,Adrian Beltre [SuperFractor Autograph] #91C-1,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-11
11958411,Baseball Cards 2026 Topps 1991 Chrome,Adrian Beltre [Superfractor] #91C-1,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-11
11899742,Baseball Cards 2026 Topps 1991 Chrome,Albert Pujols #91C-13,$1.94,,$6.75,$13.04,$25.76,$38.76,$50.00,$23.00,$23.00,,,,$2.09,,,$1.50,$7.39,,246,,,,,2026-02-11
11956837,Baseball Cards 2026 Topps 1991 Chrome,Albert Pujols [Aqua Autograph] #91C-13,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-11
11957552,Baseball Cards 2026 Topps 1991 Chrome,Albert Pujols [Aqua] #91C-13,$5.50,,$9.96,$18.63,$36.34,$54.84,$71.00,$33.00,$33.00,,,$1.20,$6.09,,,$2.80,$10.99,,44,,,,,2026-02-11
11958434,Baseball Cards 2026 Topps 1991 Chrome,Albert Pujols [Autograph] #91C-13,$1.05,,,,,,,,,,,,$1.19,,,,,,1,,,,,2026-02-11
11957198,Baseball Cards 2026 Topps 1991 Chrome,Albert Pujols [Black Autograph] #91C-13,$499.95,,,,,,,,,,,$330.00,$550.00,,,,,,1,,,,,2026-02-11
11957570,Baseball Cards 2026 Topps 1991 Chrome,Albert Pujols [Black] #91C-13,$125.00,,,,,,,,,,,$69.00,$138.00,,,,,,1,,,,,2026-02-11
