id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
12282215,Baseball Cards 2026 Topps Heritage,Aaron Judge #10,$1.84,,$6.29,$12.25,$24.26,$36.52,$47.00,$22.00,$22.00,,,,$1.99,,,$1.40,$6.89,,775,,,,,2026-03-18
12282159,Baseball Cards 2026 Topps Heritage,Aaron Judge / Trea Turner #1,$1.00,,$5.91,$11.58,$23.00,$34.61,$45.00,$21.00,$21.00,,,,$1.09,,,$1.30,$6.49,,165,,,,,2026-03-18
12367416,Baseball Cards 2026 Topps Heritage,Aaron Judge / Trea Turner [Aqua Sparkle Chrome] #1,$3.00,,$7.72,$14.75,$29.01,$43.81,$57.00,$26.00,$26.00,,,,$3.29,,,$1.70,$8.49,,35,,,,,2026-03-18
12284587,Baseball Cards 2026 Topps Heritage,Aaron Judge / Trea Turner [Black Bordered Chrome] #1,$44.99,,$45.79,$81.29,$155.33,$237.69,$309.00,$143.00,$143.00,,,$19.60,$48.99,,,$20.00,$49.99,,26,,,,,2026-03-18
12366616,Baseball Cards 2026 Topps Heritage,Aaron Judge / Trea Turner [Black Bordered] #1,$13.25,,$17.01,$30.98,$59.82,$91.07,$118.00,$55.00,$55.00,,,$3.80,$14.99,,,$4.80,$18.99,,26,,,,,2026-03-18
12284572,Baseball Cards 2026 Topps Heritage,Aaron Judge / Trea Turner [Blue Bordered Chrome] #1,$15.00,,$20.82,$37.64,$72.46,$110.45,$144.00,$66.00,$66.00,,,$4.30,$16.99,,,$6.90,$22.99,,35,,,,,2026-03-18
12367495,Baseball Cards 2026 Topps Heritage,Aaron Judge / Trea Turner [Burgundy Sparkle Chrome] #1,$3.81,,$8.28,$15.73,$30.87,$46.66,$61.00,$28.00,$28.00,,,$0.80,$4.19,,,$1.80,$9.09,,98,,,,,2026-03-18
12284562,Baseball Cards 2026 Topps Heritage,Aaron Judge / Trea Turner [Chrome] #1,$1.99,,$6.92,$13.35,$26.36,$39.74,$52.00,$24.00,$24.00,,,,$2.19,,,$1.50,$7.59,,114,,,,,2026-03-18
12282163,Baseball Cards 2026 Topps Heritage,Aaron Judge / Trea Turner [Color Of The Year Orange] #1,$31.00,,$33.08,$59.04,$113.05,$172.57,$224.00,$104.00,$104.00,,,$10.20,$33.99,,,$14.40,$35.99,,23,,,,,2026-03-18
12282158,Baseball Cards 2026 Topps Heritage,Aaron Judge / Trea Turner [Dark Gray Bordered] #1,$2.99,,$7.71,$14.73,$28.98,$43.78,$57.00,$26.00,$26.00,,,,$3.29,,,$1.70,$8.49,,89,,,,,2026-03-18
