id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
13316012,Baseball Cards 2026 Topps Series 2,Aaron Judge #479,$1.99,,$6.82,$13.21,$26.12,$39.54,$51.00,$24.00,$24.00,,,,$2.19,,,$1.50,$7.49,,148,,,,,2026-06-10
13316016,Baseball Cards 2026 Topps Series 2,Aaron Judge [75 Years of Topps] #479,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-10
13316021,Baseball Cards 2026 Topps Series 2,Aaron Judge [Aqua Rainbow Foil] #479,$5.99,,$10.48,$19.66,$38.41,$58.73,$76.00,$35.00,$35.00,,,$1.30,$6.59,,,$3.00,$11.99,,79,,,,,2026-06-10
13309465,Baseball Cards 2026 Topps Series 2,Aaron Judge [Black Diamante Foil] #479,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-10
13316029,Baseball Cards 2026 Topps Series 2,Aaron Judge [Black Rainbow Foil] #479,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-10
13316017,Baseball Cards 2026 Topps Series 2,Aaron Judge [Black] #479,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-10
13316026,Baseball Cards 2026 Topps Series 2,Aaron Judge [Blue Rainbow Foil] #479,$3.28,,,,,,,,,,,,$3.59,,,,,,1,,,,,2026-06-10
13316018,Baseball Cards 2026 Topps Series 2,Aaron Judge [Canadian Independence Day] #479,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-10
13316019,Baseball Cards 2026 Topps Series 2,Aaron Judge [Canvas] #479,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-10
13309441,Baseball Cards 2026 Topps Series 2,Aaron Judge [Cherry Blossom] #479,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-10
13309400,Baseball Cards 2026 Topps Series 2,Aaron Judge [Diamante Foil] #479,$3.59,,$8.29,$15.80,$31.05,$47.25,$61.00,$28.00,$28.00,,,$0.80,$3.99,,,$1.80,$9.09,,93,,,,,2026-06-10
13316032,Baseball Cards 2026 Topps Series 2,Aaron Judge [Foilfractor] #479,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-10
13309368,Baseball Cards 2026 Topps Series 2,Aaron Judge [Gold Diamante Foil] #479,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-10
13316027,Baseball Cards 2026 Topps Series 2,Aaron Judge [Gold Rainbow Foil] #479,,,,,,,,,,,,,,,,,,,0,,,,,2026-06-10
13316014,Baseball Cards 2026 Topps Series 2,Aaron Judge [Gold] #479,$12.00,,$15.98,$29.36,$56.89,$87.55,$114.00,$53.00,$53.00,,,$3.30,$12.99,,,$4.50,$17.99,,140,,,,,2026-06-10
