id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
11899791,Baseball Cards 2026 Topps Stars Of MLB,Aaron Judge #SMLB-1,$1.37,,$6.17,$12.03,$23.84,$35.81,$47.00,$21.00,$21.00,,,,$1.49,,,$1.40,$6.79,,474,,,,,2026-02-11
11899803,Baseball Cards 2026 Topps Stars Of MLB,Aaron Judge [Black Crackleboard Foil] #SMLB-1,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-11
11899801,Baseball Cards 2026 Topps Stars Of MLB,Aaron Judge [Black] #SMLB-1,$248.00,,$228.27,$397.54,$753.37,$1140.65,$1483.00,$684.00,$684.00,,,$136.50,$273.00,,,$125.50,$251.00,,6,,,,,2026-02-11
11899789,Baseball Cards 2026 Topps Stars Of MLB,Aaron Judge [Crackleboard Foil] #SMLB-1,$2.48,,$7.23,$13.87,$27.33,$41.08,$53.00,$25.00,$25.00,,,,$2.69,,,$1.60,$7.99,,77,,,,,2026-02-11
11899810,Baseball Cards 2026 Topps Stars Of MLB,Aaron Judge [Foilfractor] #SMLB-1,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-11
11899795,Baseball Cards 2026 Topps Stars Of MLB,Aaron Judge [Gold Crackleboard Foil] #SMLB-1,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-11
11899790,Baseball Cards 2026 Topps Stars Of MLB,Aaron Judge [Gold] #SMLB-1,$120.00,,,,,,,,,,,$66.00,$132.00,,,,,,1,,,,,2026-02-11
11900408,Baseball Cards 2026 Topps Stars Of MLB,Aaron Judge [Green] #SMLB-1,$33.20,,$37.92,$67.10,$128.03,$193.36,$251.00,$116.00,$116.00,,,$14.80,$36.99,,,$16.80,$41.99,,19,,,,,2026-02-11
11899798,Baseball Cards 2026 Topps Stars Of MLB,Aaron Judge [Orange Crackleboard Foil] #SMLB-1,$42.00,,,,,,,,,,,$18.40,$45.99,,,,,,1,,,,,2026-02-11
11899796,Baseball Cards 2026 Topps Stars Of MLB,Aaron Judge [Orange] #SMLB-1,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-11
11899806,Baseball Cards 2026 Topps Stars Of MLB,Aaron Judge [Red] #SMLB-1,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-11
11900415,Baseball Cards 2026 Topps Stars Of MLB,Bobby Witt Jr. #SMLB-5,$1.42,,$6.25,$12.17,$24.10,$36.21,$47.00,$22.00,$22.00,,,,$1.59,,,$1.40,$6.89,,461,,,,,2026-02-11
11899984,Baseball Cards 2026 Topps Stars Of MLB,Bobby Witt Jr. [Black Crackleboard Foil] #SMLB-5,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-11
11899982,Baseball Cards 2026 Topps Stars Of MLB,Bobby Witt Jr. [Black] #SMLB-5,$125.00,,,,,,,,,,,$69.00,$138.00,,,,,,1,,,,,2026-02-11
11899961,Baseball Cards 2026 Topps Stars Of MLB,Bobby Witt Jr. [Crackleboard Foil] #SMLB-5,$1.65,,$6.26,$12.18,$24.13,$36.25,$47.00,$22.00,$22.00,,,,$1.79,,,$1.40,$6.89,,59,,,,,2026-02-11
11899997,Baseball Cards 2026 Topps Stars Of MLB,Bobby Witt Jr. [Foilfractor] #SMLB-5,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-11
11899973,Baseball Cards 2026 Topps Stars Of MLB,Bobby Witt Jr. [Gold Crackleboard Foil] #SMLB-5,$46.00,,,,,,,,,,,$20.40,$50.99,,,,,,1,,,,,2026-02-11
11899966,Baseball Cards 2026 Topps Stars Of MLB,Bobby Witt Jr. [Gold] #SMLB-5,$50.00,,$50.02,$88.17,$167.94,$254.13,$330.00,$152.00,$152.00,,,$22.00,$54.99,,,$22.00,$54.99,,13,,,,,2026-02-11
11899963,Baseball Cards 2026 Topps Stars Of MLB,Bobby Witt Jr. [Green] #SMLB-5,$18.50,,$21.65,$38.89,$74.66,$112.71,$147.00,$68.00,$68.00,,,$5.00,$19.99,,,$7.20,$23.99,,8,,,,,2026-02-11
11899978,Baseball Cards 2026 Topps Stars Of MLB,Bobby Witt Jr. [Orange Crackleboard Foil] #SMLB-5,$51.00,,$50.92,$89.72,$170.86,$258.53,$336.00,$155.00,$155.00,,,$22.40,$55.99,,,$22.40,$55.99,,7,,,,,2026-02-11
11899980,Baseball Cards 2026 Topps Stars Of MLB,Bobby Witt Jr. [Orange] #SMLB-5,$75.00,,$72.56,$127.32,$242.06,$366.64,$477.00,$220.00,$220.00,,,$33.20,$82.99,,,$32.00,$79.99,,9,,,,,2026-02-11
11899990,Baseball Cards 2026 Topps Stars Of MLB,Bobby Witt Jr. [Red] #SMLB-5,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-11
11899813,Baseball Cards 2026 Topps Stars Of MLB,Bryce Harper #SMLB-2,$1.24,,$6.12,$11.95,$23.69,$35.58,$46.00,$21.00,$21.00,,,,$1.39,,,$1.30,$6.69,,286,,,,,2026-02-11
11899836,Baseball Cards 2026 Topps Stars Of MLB,Bryce Harper [Black Crackleboard Foil] #SMLB-2,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-11
11899832,Baseball Cards 2026 Topps Stars Of MLB,Bryce Harper [Black] #SMLB-2,$100.00,,$94.98,$166.11,$315.36,$476.88,$620.00,$286.00,$286.00,,,$55.00,$110.00,,,$52.00,$104.00,,8,,,,,2026-02-11
11899815,Baseball Cards 2026 Topps Stars Of MLB,Bryce Harper [Crackleboard Foil] #SMLB-2,$1.00,,$5.90,$11.56,$22.96,$34.48,$45.00,$21.00,$21.00,,,,$1.09,,,$1.30,$6.49,,40,,,,,2026-02-11
11899846,Baseball Cards 2026 Topps Stars Of MLB,Bryce Harper [Foilfractor] #SMLB-2,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-11
11899824,Baseball Cards 2026 Topps Stars Of MLB,Bryce Harper [Gold Crackleboard Foil] #SMLB-2,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-11
11899820,Baseball Cards 2026 Topps Stars Of MLB,Bryce Harper [Gold] #SMLB-2,$16.26,,$19.65,$35.42,$68.08,$102.70,$134.00,$62.00,$62.00,,,$4.50,$17.99,,,$6.60,$21.99,,20,,,,,2026-02-11
11899817,Baseball Cards 2026 Topps Stars Of MLB,Bryce Harper [Green] #SMLB-2,$11.99,,$10.85,$20.16,$39.22,$59.11,$77.00,$35.00,$35.00,,,$3.30,$12.99,,,$3.00,$11.99,,24,,,,,2026-02-11
11899830,Baseball Cards 2026 Topps Stars Of MLB,Bryce Harper [Orange Crackleboard Foil] #SMLB-2,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-11
11899827,Baseball Cards 2026 Topps Stars Of MLB,Bryce Harper [Orange] #SMLB-2,$33.00,,$34.69,$61.51,$117.46,$177.45,$231.00,$106.00,$106.00,,,$14.40,$35.99,,,$15.20,$37.99,,5,,,,,2026-02-11
11899838,Baseball Cards 2026 Topps Stars Of MLB,Bryce Harper [Red] #SMLB-2,$205.17,,$189.71,$330.60,$626.70,$948.80,$1233.00,$569.00,$569.00,,,$113.00,$226.00,,,$104.50,$209.00,,5,,,,,2026-02-11
