id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
75363,Basketball Cards 1980 Topps,Alex English / Marques Johnson / Jeff Judkins #2 / 68 / 75,$2.40,$10.00,$30.84,$37.45,$72.04,$198.12,$258.00,$119.00,$119.00,,,,$2.59,$2.80,$10.99,$10.20,$33.99,,15,,,,,1980-06-01
75457,Basketball Cards 1980 Topps,Alex English / Moses Malone / Winford Boynes #64 / 75 / 102,$2.98,$5.90,$15.55,$42.57,$84.67,$208.75,$271.00,$125.00,$125.00,,,,$3.29,$1.30,$6.49,$4.30,$16.99,,15,,,,,1980-06-01
75378,Basketball Cards 1980 Topps,Allan Bristow / Lonnie Shelton / Paul Silas #220 / 236 / 260,$1.95,,$49.27,$54.00,$62.35,$187.37,$244.00,$112.00,$112.00,,,,$2.19,,,$21.60,$53.99,,9,,,,,1980-06-01
75379,Basketball Cards 1980 Topps,Allan Bristow / Mark Olberding / James Bailey #210 / 236 / 255,$2.49,$9.99,$14.50,$36.12,$74.05,$475.00,$618.00,$285.00,$285.00,,,,$2.69,$2.80,$10.99,$4.00,$15.99,,12,,,,,1980-06-01
75311,Basketball Cards 1980 Topps,Allen Leavell / Dave Twardzik / Cedric Maxwell #39 / 106 / 197,$1.96,,$16.60,$19.01,$68.86,$229.02,$298.00,$137.00,$137.00,,,,$2.19,,,$4.50,$17.99,,9,,,,,1980-06-01
75387,Basketball Cards 1980 Topps,Allen Leavell / Foots Walker / Freeman Williams #53 / 106 / 223,$1.73,$7.60,$22.51,$23.99,$57.57,$242.04,$315.00,$145.00,$145.00,,,,$1.89,$1.70,$8.39,$7.50,$24.99,,12,,,,,1980-06-01
75421,Basketball Cards 1980 Topps,Alvan Adams / Bill Cartwright / Dan Issel #76 / 163 / 189,$2.82,$4.24,$21.51,$37.77,$81.15,$257.50,$335.00,$155.00,$155.00,,,,$3.09,$0.90,$4.69,$7.20,$23.99,,12,,,,,1980-06-01
75373,Basketball Cards 1980 Topps,Alvan Adams / Lloyd Free / Adrian Dantley #14 / 189 / 240,$2.01,$14.00,$17.83,$33.16,$63.64,$150.00,$195.00,$90.00,$90.00,,,,$2.19,$3.80,$14.99,$5.00,$19.99,,15,,,,,1980-06-01
75315,Basketball Cards 1980 Topps,Austin Carr / Kareem Abdul-Jabbar / Calvin Natt #8 / 61 / 200,$4.68,$17.76,$29.17,$40.00,$122.57,$227.75,$296.00,$137.00,$137.00,,,$1.00,$5.19,$5.00,$19.99,$9.60,$31.99,,53,,,,,1980-06-01
75426,Basketball Cards 1980 Topps,Austin Carr / Mike Mitchell / Terry Tyler #56 / 61 / 81,$3.00,$13.00,$15.76,$39.88,$85.06,$135.99,$177.00,$82.00,$82.00,,,,$3.29,$3.50,$13.99,$4.30,$16.99,,13,,,,,1980-06-01
75391,Basketball Cards 1980 Topps,Ben Poquette / Maurice Cheeks / Greg Kelser #87 / 176 / 241,$2.45,$11.63,$29.25,$37.30,$73.17,$392.46,$510.00,$235.00,$235.00,,,,$2.69,$3.30,$12.99,$9.60,$31.99,,15,,,,,1980-06-01
75493,Basketball Cards 1980 Topps,Ben Poquette / Paul Westphal / Charlie Scott #77 / 188 / 241,$2.34,$9.99,$12.63,$57.55,$70.56,$375.01,$488.00,$225.00,$225.00,,,,$2.59,$2.80,$10.99,$3.50,$13.99,,11,,,,,1980-06-01
75361,Basketball Cards 1980 Topps,Bill Cartwright / Eddie Johnson / Doug Collins #13 / 166 / 179,$2.75,,$11.77,$32.51,$36.00,$404.92,$526.00,$243.00,$243.00,,,,$2.99,,,$3.30,$12.99,,8,,,,,1980-06-01
75474,Basketball Cards 1980 Topps,Bill Cartwright / Kevin Porter / Armond Hill #25 / 166 / 244,$2.00,$9.87,$15.50,$28.65,$63.43,$186.55,$243.00,$112.00,$112.00,,,,$2.19,$2.80,$10.99,$4.30,$16.99,,16,,,,,1980-06-01
75384,Basketball Cards 1980 Topps,Billy Knight / Allen Leavell / John Lucas #96 / 104 / 120,$1.25,$3.00,$3.25,$25.59,$47.13,$132.52,$172.00,$80.00,$80.00,,,,$1.39,,$3.29,,$3.59,,14,,,,,1980-06-01
75492,Basketball Cards 1980 Topps,Billy Knight / Paul Westphal / Randy Smith #16 / 59 / 120,$2.40,,$17.38,$28.86,$72.50,$153.54,$200.00,$92.00,$92.00,,,,$2.59,,,$4.80,$18.99,,13,,,,,1980-06-01
75427,Basketball Cards 1980 Topps,Bob Dandridge / John Drew / Larry Kenon #19 / 209 / 246,$1.65,,$10.00,$22.50,$35.00,$149.57,$194.00,$90.00,$90.00,,,,$1.79,,,$2.80,$10.99,,11,,,,,1980-06-01
75428,Basketball Cards 1980 Topps,Bob Dandridge / Reggie Theus / Reggie King #41 / 128 / 246,$1.61,,$25.77,$47.62,$54.71,$225.00,$293.00,$135.00,$135.00,,,,$1.79,,,$8.40,$27.99,,11,,,,,1980-06-01
