id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
72548,Basketball Cards 1986 Fleer,Adrian Dantley #21,$5.83,$29.99,$46.68,$95.00,$259.11,$820.87,$1067.00,$493.00,$493.00,,,$1.30,$6.39,$9.90,$32.99,$20.40,$50.99,,453,,,,,1986-06-01
72609,Basketball Cards 1986 Fleer,Akeem Olajuwon #82,$92.99,$130.57,$208.31,$480.00,$852.26,$5480.00,$7124.00,$3288.00,$3288.00,,,$51.00,$102.00,$72.00,$144.00,$114.50,$229.00,,986,,,,,1986-06-01
72655,Basketball Cards 1986 Fleer,Al Wood #128,$4.25,$24.27,$49.99,$84.50,$109.50,$432.00,$562.00,$259.00,$259.00,,,$0.90,$4.69,$8.10,$26.99,$22.00,$54.99,,385,,,,,1986-06-01
72586,Basketball Cards 1986 Fleer,Albert King #59,$4.31,$22.28,$40.00,$53.00,$200.00,$433.10,$563.00,$260.00,$260.00,,,$0.90,$4.69,$7.50,$24.99,$17.60,$43.99,,341,,,,,1986-06-01
72557,Basketball Cards 1986 Fleer,Alex English #30,$5.50,$25.53,$42.00,$75.78,$171.23,$723.00,$940.00,$434.00,$434.00,,,$1.20,$6.09,$8.40,$27.99,$18.40,$45.99,,477,,,,,1986-06-01
72589,Basketball Cards 1986 Fleer,Allen Leavell #62,$3.52,$26.84,$45.00,$70.00,$129.85,$390.50,$508.00,$234.00,$234.00,,,$0.80,$3.89,$9.00,$29.99,$20.00,$49.99,,373,,,,,1986-06-01
72591,Basketball Cards 1986 Fleer,Alton Lister #64,$4.25,$23.33,$43.47,$79.85,$305.00,$1600.07,$2080.00,$960.00,$960.00,,,$0.90,$4.69,$7.80,$25.99,$19.20,$47.99,,388,,,,,1986-06-01
72529,Basketball Cards 1986 Fleer,Alvan Adams #2,$4.88,$30.49,$72.00,$259.28,$416.07,$4952.47,$6438.00,$2971.00,$2971.00,,,$1.10,$5.39,$10.20,$33.99,$31.60,$78.99,,403,,,,,1986-06-01
72619,Basketball Cards 1986 Fleer,Alvin Robertson #92,$5.50,$28.23,$33.92,$50.00,$136.50,$367.50,$478.00,$221.00,$221.00,,,$1.20,$6.09,$9.30,$30.99,$14.80,$36.99,,623,,,,,1986-06-01
72641,Basketball Cards 1986 Fleer,Andrew Toney #114,$5.52,$28.00,$44.00,$52.00,$182.51,$412.00,$536.00,$95.00,$247.00,,,$1.20,$6.09,$9.30,$30.99,$19.20,$47.99,,504,,,,,1986-06-01
72564,Basketball Cards 1986 Fleer,Artis Gilmore #37,$6.05,$31.36,$37.89,$55.38,$133.07,$375.55,$488.00,$225.00,$225.00,,,$1.30,$6.69,$10.50,$34.99,$16.80,$41.99,,540,,,,,1986-06-01
72535,Basketball Cards 1986 Fleer,Benoit Benjamin #8,$3.55,$25.15,$37.20,$96.75,$184.23,$891.45,$1159.00,$535.00,$535.00,,,$0.80,$3.89,$8.40,$27.99,$16.40,$40.99,,554,,,,,1986-06-01
72587,Basketball Cards 1986 Fleer,Bernard King #60,$10.03,$30.99,$56.98,$89.08,$190.50,$938.40,$1220.00,$563.00,$563.00,,,$2.80,$10.99,$10.20,$33.99,$25.20,$62.99,,621,,,,,1986-06-01
72570,Basketball Cards 1986 Fleer,Bill Hanzlik #43,$3.49,$38.72,$53.00,$111.00,$202.00,$945.09,$1229.00,$567.00,$567.00,,,$0.80,$3.79,$17.20,$42.99,$23.20,$57.99,,467,,,,,1986-06-01
72588,Basketball Cards 1986 Fleer,Bill Laimbeer #61,$6.46,$28.99,$49.51,$84.82,$193.94,$850.00,$1105.00,$510.00,$510.00,,,$1.40,$7.09,$9.60,$31.99,$21.60,$53.99,,586,,,,,1986-06-01
72646,Basketball Cards 1986 Fleer,Bill Walton #119,$14.07,$40.08,$60.74,$129.78,$319.39,$1142.34,$1485.00,$685.00,$685.00,,,$3.80,$14.99,$17.60,$43.99,$26.80,$66.99,,581,,,,,1986-06-01
72549,Basketball Cards 1986 Fleer,Brad Davis #22,$3.52,$29.00,$79.99,$220.35,$547.73,$976.50,$1269.00,$586.00,$586.00,,,$0.80,$3.89,$9.60,$31.99,$35.20,$87.99,,488,,,,,1986-06-01
72650,Basketball Cards 1986 Fleer,Buck Williams #123,$5.44,$24.40,$35.48,$66.52,$124.25,$606.41,$788.00,$364.00,$364.00,,,$1.20,$5.99,$8.10,$26.99,$15.60,$38.99,,377,,,,,1986-06-01
72626,Basketball Cards 1986 Fleer,Byron Scott #99,$7.14,$36.00,$75.25,$185.64,$206.27,$1299.99,$1690.00,$780.00,$780.00,,,$1.60,$7.89,$16.00,$39.99,$33.20,$82.99,,655,,,,,1986-06-01
72606,Basketball Cards 1986 Fleer,Calvin Natt #79,$3.51,$29.69,$39.00,$55.79,$164.56,$414.50,$539.00,$120.00,$204.60,,,$0.80,$3.89,$9.90,$32.99,$17.20,$42.99,,396,,,,,1986-06-01
72597,Basketball Cards 1986 Fleer,Cedric Maxwell #70,$6.50,$26.00,$33.00,$47.18,$103.50,$577.87,$751.00,$347.00,$347.00,,,$1.40,$7.19,$8.70,$28.99,$14.40,$35.99,,428,,,,,1986-06-01
72534,Basketball Cards 1986 Fleer,Charles Barkley #7,$161.75,$251.68,$412.66,$1149.99,$1964.82,$6398.26,$8318.00,$3839.00,$3839.00,,,$89.00,$178.00,$138.50,$277.00,$227.00,$454.00,,1100,,,,,1986-06-01
72608,Basketball Cards 1986 Fleer,Charles Oakley #81,$16.00,$36.91,$48.42,$71.02,$117.10,$469.10,$610.00,$281.00,$281.00,,,$4.50,$17.99,$16.40,$40.99,$21.20,$52.99,,1223,,,,,1986-06-01
72659,Basketball Cards 1986 Fleer,Checklist #132,$38.75,$100.91,$444.50,$1756.07,$1913.00,$10900.00,$14170.00,$6540.00,$6540.00,,,$17.20,$42.99,$55.50,$111.00,$244.50,$489.00,,599,,,,,1986-06-01
72604,Basketball Cards 1986 Fleer,Chris Mullin #77,$29.95,$56.47,$120.83,$491.57,$665.00,$5519.00,$7175.00,$3311.00,$3311.00,,,$9.90,$32.99,$24.80,$61.99,$66.50,$133.00,,897,,,,,1986-06-01
