id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
3507688,Basketball Cards 1992 Stadium Club,A.C. Green #172,$1.02,,,,,,,,,,,,$1.09,,,,,,2,,,,,1992-06-01
11395571,Basketball Cards 1992 Stadium Club,A.C. Green [Members Only] #172,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,1992-06-01
3027339,Basketball Cards 1992 Stadium Club,A.J. English #8,,,,,,,,,,,,,,,,,,,0,,,,,1992-06-01
78598,Basketball Cards 1992 Stadium Club,A.J. English [Members Only] #8,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,1992-06-01
5206214,Basketball Cards 1992 Stadium Club,Adam Keefe #232,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,1992-06-01
11399281,Basketball Cards 1992 Stadium Club,Adam Keefe [Members Only] #232,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,1992-06-01
6234184,Basketball Cards 1992 Stadium Club,Alaa Abdelnaby #365,$1.49,,,,,,,,,,,,$1.59,,,,,,1,,,,,1992-06-01
78773,Basketball Cards 1992 Stadium Club,Alaa Abdelnaby [Members Only] #365,$1.00,,,,,$20.00,$26.00,$12.00,$12.00,,,,$1.09,,,,,,2,,,,,1992-06-01
4555858,Basketball Cards 1992 Stadium Club,Alec Kessler #51,$1.25,,,,,,,,,,,,$1.39,,,,,,1,,,,,1992-06-01
11358671,Basketball Cards 1992 Stadium Club,Alec Kessler [Members Only] #51,,,,,,,,,,,,,,,,,,,0,,,,,1992-06-01
5206226,Basketball Cards 1992 Stadium Club,Alex Blackwell #281,$1.00,,,,,,,,,,,,$1.09,,,,,,1,,,,,1992-06-01
78735,Basketball Cards 1992 Stadium Club,Alex Blackwell [Members Only] #281,$0.25,,,,,,,,,,,,$0.99,,,,,,0,,,,,1992-06-01
5206241,Basketball Cards 1992 Stadium Club,Alex Stivrins #312,$1.32,,,,,,,,,,,,$1.49,,,,,,2,,,,,1992-06-01
11407778,Basketball Cards 1992 Stadium Club,Alex Stivrins [Members Only] #312,,,,,,,,,,,,,,,,,,,0,,,,,1992-06-01
78700,Basketball Cards 1992 Stadium Club,Alonzo Mourning #209,$0.31,$2.98,$5.93,$10.50,$23.76,$37.00,$48.00,$22.00,$22.00,,,,$0.99,,$3.29,$1.30,$6.49,,201,,,,,1992-06-01
78745,Basketball Cards 1992 Stadium Club,Alonzo Mourning #297,$1.25,$3.24,$6.00,$10.14,$40.00,$46.00,$60.00,$28.00,$28.00,,,,$1.39,,$3.59,$1.30,$6.59,,145,,,,,1992-06-01
78701,Basketball Cards 1992 Stadium Club,Alonzo Mourning [Members Only] #209,$1.31,$3.04,$6.99,$14.50,$33.45,$46.23,$60.00,$28.00,$28.00,,,,$1.39,,$3.29,$1.50,$7.69,,43,,,,,1992-06-01
78746,Basketball Cards 1992 Stadium Club,Alonzo Mourning [Members Only] #297,$4.52,$5.00,$6.50,$8.50,$70.73,$88.94,$116.00,$53.00,$53.00,,,$1.00,$4.99,$1.10,$5.49,$1.40,$7.19,,27,,,,,1992-06-01
5049369,Basketball Cards 1992 Stadium Club,Alton Lister #137,$1.41,,,,,,,,,,,,$1.59,,,,,,1,,,,,1992-06-01
78647,Basketball Cards 1992 Stadium Club,Alton Lister [Members Only] #137,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,1992-06-01
3019816,Basketball Cards 1992 Stadium Club,Alvin Robertson #185,$1.02,,,,,,,,,,,,$1.09,,,,,,1,,,,,1992-06-01
11395584,Basketball Cards 1992 Stadium Club,Alvin Robertson [Members Only] #185,,,,,,,,,,,,,,,,,,,0,,,,,1992-06-01
5206213,Basketball Cards 1992 Stadium Club,Andrew Lang #230,$1.49,,,,,,,,,,,,$1.59,,,,,,1,,,,,1992-06-01
11399271,Basketball Cards 1992 Stadium Club,Andrew Lang [Members Only] #230,,,,,,,,,,,,,,,,,,,0,,,,,1992-06-01
4562475,Basketball Cards 1992 Stadium Club,Anthony Avent #352,$0.25,,,,,,,,,,,,$0.99,,,,,,0,,,,,1992-06-01
11408001,Basketball Cards 1992 Stadium Club,Anthony Avent [Members Only] #352,,,,,,,,,,,,,,,,,,,0,,,,,1992-06-01
2870966,Basketball Cards 1992 Stadium Club,Anthony Bonner #40,$0.25,,,,,,,,,,,,$0.99,,,,,,0,,,,,1992-06-01
11356235,Basketball Cards 1992 Stadium Club,Anthony Bonner [Members Only] #40,$1.99,,,,,,,,,,,,$2.19,,,,,,1,,,,,1992-06-01
5164885,Basketball Cards 1992 Stadium Club,Anthony Bowie #81,$1.17,,,,,,,,,,,,$1.29,,,,,,3,,,,,1992-06-01
11359931,Basketball Cards 1992 Stadium Club,Anthony Bowie [Members Only] #81,,,,,,,,,,,,,,,,,,,0,,,,,1992-06-01
5770714,Basketball Cards 1992 Stadium Club,Anthony Cook #303,$1.69,,,,,,,,,,,,$1.89,,,,,,1,,,,,1992-06-01
11400953,Basketball Cards 1992 Stadium Club,Anthony Cook [Members Only] #303,,,,,,,,,,,,,,,,,,,0,,,,,1992-06-01
5872861,Basketball Cards 1992 Stadium Club,Anthony Mason #164,$1.50,,,,,,,,,,,,$1.69,,,,,,2,,,,,1992-06-01
11395562,Basketball Cards 1992 Stadium Club,Anthony Mason [Members Only] #164,,,,,,,,,,,,,,,,,,,0,,,,,1992-06-01
78723,Basketball Cards 1992 Stadium Club,Anthony Peeler #250,$2.17,,,,,,,,,,,,$2.39,,,,,,2,,,,,1992-06-01
11400606,Basketball Cards 1992 Stadium Club,Anthony Peeler [Members Only] #250,,,,,,,,,,,,,,,,,,,0,,,,,1992-06-01
5206243,Basketball Cards 1992 Stadium Club,Anthony Pullard #321,$1.25,,,,,,,,,,,,$1.39,,,,,,2,,,,,1992-06-01
11407785,Basketball Cards 1992 Stadium Club,Anthony Pullard [Members Only] #321,,,,,,,,,,,,,,,,,,,0,,,,,1992-06-01
6226293,Basketball Cards 1992 Stadium Club,Antoine Carr #23,$2.34,,,,,,,,,,,,$2.59,,,,,,3,,,,,1992-06-01
11355448,Basketball Cards 1992 Stadium Club,Antoine Carr [Members Only] #23,,,,,,,,,,,,,,,,,,,0,,,,,1992-06-01
6234158,Basketball Cards 1992 Stadium Club,Armon Gilliam #170,$0.25,,,$5.50,$6.00,,,,,,,,$0.99,,,,,,1,,,,,1992-06-01
78661,Basketball Cards 1992 Stadium Club,Armon Gilliam [Members Only] #170,$0.25,,,,,,,,,,,,$0.99,,,,,,0,,,,,1992-06-01
4562481,Basketball Cards 1992 Stadium Club,Avery Johnson #341,$1.12,,,,,,,,,,,,$1.19,,,,,,2,,,,,1992-06-01
5158355,Basketball Cards 1992 Stadium Club,Avery Johnson #53,$1.46,,,,,,,,,,,,$1.59,,,,,,2,,,,,1992-06-01
11407902,Basketball Cards 1992 Stadium Club,Avery Johnson [Members Only] #341,,,,,,,,,,,,,,,,,,,0,,,,,1992-06-01
11358684,Basketball Cards 1992 Stadium Club,Avery Johnson [Members Only] #53,,,,,,,,,,,,,,,,,,,0,,,,,1992-06-01
3507680,Basketball Cards 1992 Stadium Club,B.J. Armstrong #87,$1.48,,,,,,,,,,,,$1.59,,,,,,2,,,,,1992-06-01
78630,Basketball Cards 1992 Stadium Club,B.J. Armstrong [Members Only] #87,$1.29,,,,,,,,,,,,$1.39,,,,,,1,,,,,1992-06-01
4643223,Basketball Cards 1992 Stadium Club,Bart Kofoed #302,$1.65,,,,,,,,,,,,$1.79,,,,,,3,,,,,1992-06-01
11400951,Basketball Cards 1992 Stadium Club,Bart Kofoed [Members Only] #302,,,,,,,,,,,,,,,,,,,0,,,,,1992-06-01
5770725,Basketball Cards 1992 Stadium Club,Benoit Benjamin #115,$1.65,,,,,,,,,,,,$1.79,,,,,,1,,,,,1992-06-01
78642,Basketball Cards 1992 Stadium Club,Benoit Benjamin [Members Only] #115,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,1992-06-01
78657,Basketball Cards 1992 Stadium Club,Bernard King #158,$0.83,,,$25.27,$28.00,,,,,,,,$0.99,,,,,,6,,,,,1992-06-01
