id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
83172,Basketball Cards 1995 Finest,A.C. Green  [Refractor] #103,$1.76,,,,,,,,,,,,$1.89,,,,,,2,,,,,1995-06-01
5694085,Basketball Cards 1995 Finest,A.C. Green #103,$3.23,,,,,,,,,,,,$3.59,,,,,,1,,,,,1995-06-01
12247103,Basketball Cards 1995 Finest,A.C. Green [Refractor w/ Coating] #103,$3.19,,,,,,,,,,,,$3.49,,,,,,1,,,,,1995-06-01
12246911,Basketball Cards 1995 Finest,A.C. Green [w/ Coating] #103,,,,,,,,,,,,,,,,,,,0,,,,,1995-06-01
12246582,Basketball Cards 1995 Finest,Aaron McKie #196,,,,,,,,,,,,,,,,,,,0,,,,,1995-06-01
83267,Basketball Cards 1995 Finest,Aaron McKie [Refractor w/ Coating] #196,$0.99,$20.00,,,,,,,,,,,$1.09,$6.60,$21.99,,,,2,,,,,1995-06-01
12246754,Basketball Cards 1995 Finest,Aaron McKie [Refractor] #196,$0.99,,$7.40,$15.06,$28.13,$59.86,$78.00,$36.00,$36.00,,,,$1.09,,,$1.60,$8.09,,8,,,,,1995-06-01
12246938,Basketball Cards 1995 Finest,Aaron McKie [w/ Coating] #196,,,,,,,,,,,,,,,,,,,0,,,,,1995-06-01
12246533,Basketball Cards 1995 Finest,Adam Keefe #73,,,,,,,,,,,,,,,,,,,0,,,,,1995-06-01
12247077,Basketball Cards 1995 Finest,Adam Keefe [Refractor w/ Coating] #73,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,1995-06-01
12246700,Basketball Cards 1995 Finest,Adam Keefe [Refractor] #73,$1.25,,,,,,,,,,,,$1.39,,,,,,1,,,,,1995-06-01
12246858,Basketball Cards 1995 Finest,Adam Keefe [w/ Coating] #73,,,,,,,,,,,,,,,,,,,0,,,,,1995-06-01
12246603,Basketball Cards 1995 Finest,Alan Henderson #126,$1.04,,,,,,,,,,,,$1.09,,,,,,1,,,,,1995-06-01
83204,Basketball Cards 1995 Finest,Alan Henderson [w/ Coating] #126,$1.49,,,,,,,,,,,,$1.59,,,,,,1,,,,,1995-06-01
12246620,Basketball Cards 1995 Finest,Allan Houston #153,$1.87,,$9.53,$19.55,$35.36,$86.43,$112.00,$52.00,$52.00,,,,$2.09,,,$2.00,$9.99,,7,,,,,1995-06-01
83226,Basketball Cards 1995 Finest,Allan Houston [Refractor w/ Coating] #153,$2.49,,,,,,,,,,,,$2.69,,,,,,1,,,,,1995-06-01
