id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
146513,Basketball Cards 2003 Topps Chrome,Aleksandar Pavlovic #129,$1.49,,,$15.50,$17.00,$52.62,$68.00,$32.00,$32.00,,,,$1.59,,,,,,3,,,,,2003-06-01
12215196,Basketball Cards 2003 Topps Chrome,Aleksandar Pavlovic [Black Refractor] #129,$11.99,,,,,,,,,,,$3.30,$12.99,,,,,,1,,,,,2003-06-01
146514,Basketball Cards 2003 Topps Chrome,Aleksandar Pavlovic [Gold Refractor] #129,$142.27,,,$239.16,$263.00,,,,,,,$78.50,$157.00,,,,,,2,,,,,2003-06-01
146515,Basketball Cards 2003 Topps Chrome,Aleksandar Pavlovic [Refractor] #129,$1.56,,,$60.00,$66.00,$137.50,$179.00,$83.00,$83.00,,,,$1.69,,,,,,6,,,,,2003-06-01
146517,Basketball Cards 2003 Topps Chrome,Aleksandar Pavlovic [Serbian Black Refractor] #129,$5.50,$6.00,$8.00,$25.00,$28.00,,,,,,,$1.20,$6.09,$1.30,$6.59,$1.80,$8.79,,5,,,,,2003-06-01
12215075,Basketball Cards 2003 Topps Chrome,Aleksandar Pavlovic [Serbian Gold Refractor] #129,,,,,,,,,,,,,,,,,,,0,,,,,2003-06-01
146518,Basketball Cards 2003 Topps Chrome,Aleksandar Pavlovic [Serbian Refractor] #129,$3.88,,,$16.25,$18.00,$105.43,$137.00,$63.00,$63.00,,,$0.90,$4.29,,,,,,4,,,,,2003-06-01
146519,Basketball Cards 2003 Topps Chrome,Aleksandar Pavlovic [Serbian Xfractor] #129,,,,,,$110.00,$143.00,$66.00,$66.00,,,,,,,,,,1,,,,,2003-06-01
146516,Basketball Cards 2003 Topps Chrome,Aleksandar Pavlovic [Serbian] #129,$1.00,,,,,$5.82,$8.00,$3.00,$3.00,,,,$1.09,,,,,,2,,,,,2003-06-01
146520,Basketball Cards 2003 Topps Chrome,Aleksandar Pavlovic [Xfractor] #129,,,,,,,,,,,,,,,,,,,0,,,,,2003-06-01
146175,Basketball Cards 2003 Topps Chrome,Allan Houston #39,$3.76,,,$4.82,$5.00,$50.00,$65.00,$30.00,$30.00,,,$0.80,$4.09,,,,,,4,,,,,2003-06-01
146176,Basketball Cards 2003 Topps Chrome,Allan Houston [Black Refractor] #39,$13.70,,$38.28,$48.50,$53.00,,,,,,,$3.80,$14.99,,,$16.80,$41.99,,6,,,,,2003-06-01
146177,Basketball Cards 2003 Topps Chrome,Allan Houston [Gold Refractor] #39,$51.44,,$115.99,$128.00,$141.00,$147.50,$192.00,$89.00,$89.00,,,$22.80,$56.99,,,$64.00,$128.00,,5,,,,,2003-06-01
146178,Basketball Cards 2003 Topps Chrome,Allan Houston [Refractor] #39,$4.43,,,$28.50,$31.00,$160.00,$208.00,$96.00,$96.00,,,$1.00,$4.89,,,,,,9,,,,,2003-06-01
146179,Basketball Cards 2003 Topps Chrome,Allan Houston [Xfractor] #39,$40.00,,,$56.00,$62.00,,,,,,,$17.60,$43.99,,,,,,2,,,,,2003-06-01
146036,Basketball Cards 2003 Topps Chrome,Allen Iverson #3,$3.00,,$9.96,$22.94,$42.47,$59.99,$78.00,$36.00,$65.00,,,,$3.29,,,$2.80,$10.99,,76,,,,,2003-06-01
146037,Basketball Cards 2003 Topps Chrome,Allen Iverson [Black Refractor] #3,$218.50,,$460.00,$506.00,$884.71,$2500.00,$3250.00,$1500.00,$1500.00,,,$120.00,$240.00,,,$303.60,$506.00,,13,,,,,2003-06-01
146038,Basketball Cards 2003 Topps Chrome,Allen Iverson [Gold Refractor] #3,$434.50,,$356.13,$980.00,$1078.00,$5800.00,$7540.00,$3480.00,$3480.00,,,$239.00,$478.00,,,$196.00,$392.00,,5,,,,,2003-06-01
146039,Basketball Cards 2003 Topps Chrome,Allen Iverson [Refractor] #3,$60.73,$27.20,$43.89,$108.40,$214.36,$650.00,$845.00,$390.00,$390.00,,,$26.80,$66.99,$9.00,$29.99,$19.20,$47.99,,49,,,,,2003-06-01
146040,Basketball Cards 2003 Topps Chrome,Allen Iverson [Xfractor] #3,$224.95,,$88.72,$424.30,$467.00,,,,,,,$123.50,$247.00,,,$39.20,$97.99,,4,,,,,2003-06-01
146275,Basketball Cards 2003 Topps Chrome,Amare Stoudemire #67,$1.87,,$3.97,$43.85,$48.00,$76.08,$99.00,$46.00,$46.00,,,,$2.09,,,$0.90,$4.39,,9,,,,,2003-06-01
146276,Basketball Cards 2003 Topps Chrome,Amare Stoudemire [Black Refractor] #67,$16.25,$13.29,$45.00,$75.00,$84.32,$248.78,$323.00,$149.00,$149.00,,,$4.50,$17.99,$3.80,$14.99,$20.00,$49.99,,10,,,,,2003-06-01
146277,Basketball Cards 2003 Topps Chrome,Amare Stoudemire [Gold Refractor] #67,$142.99,,$101.99,$157.38,$173.00,,,,,,,$78.50,$157.00,,,$56.00,$112.00,,6,,,,,2003-06-01
146278,Basketball Cards 2003 Topps Chrome,Amare Stoudemire [Refractor] #67,$4.06,,$10.05,$33.57,$36.09,$175.00,$228.00,$105.00,$105.00,,,$0.90,$4.49,,,$2.80,$10.99,,28,,,,,2003-06-01
12215274,Basketball Cards 2003 Topps Chrome,Amare Stoudemire [Xfractor] #67,$73.51,,,,,,,,,,,$32.40,$80.99,,,,,,1,,,,,2003-06-01
146120,Basketball Cards 2003 Topps Chrome,Andre Miller #24,$1.59,,$0.99,$0.99,$1.00,$24.10,$31.00,$14.00,$14.00,,,,$1.79,,,,$1.09,,5,,,,,2003-06-01
12215135,Basketball Cards 2003 Topps Chrome,Andre Miller [Black Refractor] #24,$2.92,,,,,,,,,,,,$3.19,,,,,,1,,,,,2003-06-01
146121,Basketball Cards 2003 Topps Chrome,Andre Miller [Gold Refractor] #24,$38.00,,,$111.00,$122.00,$318.11,$414.00,$191.00,$191.00,,,$16.80,$41.99,,,,,,6,,,,,2003-06-01
