id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
2840355,Basketball Cards 2016 Panini Prizm,A.J. Hammons #159,,,,,,,,,,,,,,,,,,,0,,,,,2016-11-09
12351559,Basketball Cards 2016 Panini Prizm,A.J. Hammons [5th Anniversary Mojo] #159,,,,,,,,,,,,,,,,,,,0,,,,,2016-11-09
2843368,Basketball Cards 2016 Panini Prizm,A.J. Hammons [5th Anniversary Prizm] #159,$5.96,,,,,,,,,,,$1.30,$6.59,,,,,,1,,,,,2016-11-09
12351275,Basketball Cards 2016 Panini Prizm,A.J. Hammons [Black Prizm] #159,,,,,,,,,,,,,,,,,,,0,,,,,2016-11-09
2841579,Basketball Cards 2016 Panini Prizm,A.J. Hammons [Blue Wave Prizm] #159,$0.25,,,,,,,,,,,,$0.99,,,,,,0,,,,,2016-11-09
2843105,Basketball Cards 2016 Panini Prizm,A.J. Hammons [Gold Prizm] #159,$11.50,,,,,,,,,,,$3.30,$12.99,,,,,,1,,,,,2016-11-09
2840602,Basketball Cards 2016 Panini Prizm,A.J. Hammons [Green Prizm] #159,$0.25,,,,,,,,,,,,$0.99,,,,,,0,,,,,2016-11-09
2842604,Basketball Cards 2016 Panini Prizm,A.J. Hammons [Mojo Prizm] #159,$5.80,,,,,,,,,,,$1.30,$6.39,,,,,,0,,,,,2016-11-09
2842087,Basketball Cards 2016 Panini Prizm,A.J. Hammons [Orange Prizm] #159,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2016-11-09
2842347,Basketball Cards 2016 Panini Prizm,A.J. Hammons [Orange Wave Prizm] #159,$3.99,,,,,,,,,,,$0.90,$4.39,,,,,,1,,,,,2016-11-09
