id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
110782,Basketball Cards 2018 Panini Prizm Rookie Signatures,Aaron Holiday #RSAHD,$2.89,,$7.22,$7.99,$12.00,$12.35,$16.00,$7.00,$7.00,,,,$3.19,,,$1.60,$7.89,,12,,,,,2018-06-01
3169822,Basketball Cards 2018 Panini Prizm Rookie Signatures,Aaron Holiday [Choice Prizm Green] #RSAHD,,,,,,,,,,,,,,,,,,,0,,,,,2018-06-01
110783,Basketball Cards 2018 Panini Prizm Rookie Signatures,Aaron Holiday [Choice Prizm] #RSAHD,$149.99,,,,,,,,,,,$82.50,$165.00,,,,,,0,,,,,2018-06-01
110784,Basketball Cards 2018 Panini Prizm Rookie Signatures,Aaron Holiday [Gold Prizm] #RSAHD,,,,,,,,,,,,,,,,,,,0,,,,,2018-06-01
110785,Basketball Cards 2018 Panini Prizm Rookie Signatures,Aaron Holiday [Mojo Prizm] #RSAHD,$2.75,,,,,,,,,,,,$2.99,,,,,,1,,,,,2018-06-01
110786,Basketball Cards 2018 Panini Prizm Rookie Signatures,Aaron Holiday [Silver Prizm] #RSAHD,$1.66,,,$3.25,$4.00,$70.00,$91.00,$42.00,$42.00,,,,$1.79,,,,,,3,,,,,2018-06-01
110787,Basketball Cards 2018 Panini Prizm Rookie Signatures,Anfernee Simons #RSASM,$19.01,,$26.20,$29.00,$46.00,$47.25,$61.00,$28.00,$28.00,,,$6.30,$20.99,,,$8.70,$28.99,,68,,,,,2018-06-01
3169823,Basketball Cards 2018 Panini Prizm Rookie Signatures,Anfernee Simons [Choice Prizm Green] #RSASM,,,,,,,,,,,,,,,,,,,0,,,,,2018-06-01
110788,Basketball Cards 2018 Panini Prizm Rookie Signatures,Anfernee Simons [Choice Prizm] #RSASM,$99.99,,$135.00,$149.00,$164.00,$191.25,$249.00,$115.00,$115.00,,,$55.00,$110.00,,,$74.50,$149.00,,5,,,,,2018-06-01
3169841,Basketball Cards 2018 Panini Prizm Rookie Signatures,Anfernee Simons [Gold Prizm] #RSASM,$1350.00,,,,,$1750.00,$2275.00,$1050.00,$1050.00,,,$891.00,$1485.00,,,,,,2,,,,,2018-06-01
