id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
2871089,Basketball Cards 2019 Panini Donruss Optic,Aaron Gordon #25,$0.05,,,,,,,,,,,,$0.99,,,,,,2,,,,,2020-02-12
2876755,Basketball Cards 2019 Panini Donruss Optic,Aaron Gordon [Black Velocity] #25,$3.40,,,,,,,,,,,,$3.69,,,,,,1,,,,,2020-02-12
12984051,Basketball Cards 2019 Panini Donruss Optic,Aaron Gordon [Black] #25,,,,,,,,,,,,,,,,,,,0,,,,,2020-02-12
2876424,Basketball Cards 2019 Panini Donruss Optic,Aaron Gordon [Blue Velocity] #25,$1.27,,,,,,,,,,,,$1.39,,,,,,1,,,,,2020-02-12
2872746,Basketball Cards 2019 Panini Donruss Optic,Aaron Gordon [Blue] #25,$2.50,,,,,,,,,,,,$2.79,,,,,,0,,,,,2020-02-12
2871431,Basketball Cards 2019 Panini Donruss Optic,Aaron Gordon [Checkerboard] #25,$4.66,,,,,,,,,,,$1.00,$5.09,,,,,,1,,,,,2020-02-12
2874406,Basketball Cards 2019 Panini Donruss Optic,Aaron Gordon [Choice Black Gold] #25,,,,,,,,,,,,,,,,,,,0,,,,,2020-02-12
2873857,Basketball Cards 2019 Panini Donruss Optic,Aaron Gordon [Choice Dragon] #25,$1.78,,,,,,,,,,,,$1.99,,,,,,1,,,,,2020-02-12
12984252,Basketball Cards 2019 Panini Donruss Optic,Aaron Gordon [Choice Nebula] #25,,,,,,,,,,,,,,,,,,,0,,,,,2020-02-12
2874035,Basketball Cards 2019 Panini Donruss Optic,Aaron Gordon [Choice Red and Green] #25,$5.00,,,,,,,,,,,$1.10,$5.49,,,,,,1,,,,,2020-02-12
