id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
4660968,Basketball Cards 2021 Panini Mosaic,Aaron Gordon #56,$1.43,,,,,,,,,,,,$1.59,,,,,,3,,,,,2023-01-24
4661274,Basketball Cards 2021 Panini Mosaic,Aaron Gordon [Anniversary Edition] #56,,,,,,,,,,,,,,,,,,,0,,,,,2023-01-24
10149458,Basketball Cards 2021 Panini Mosaic,Aaron Gordon [Black] #56,,,,,,,,,,,,,,,,,,,0,,,,,2023-01-24
4661575,Basketball Cards 2021 Panini Mosaic,Aaron Gordon [Blue] #56,$4.99,,,,,,,,,,,$1.10,$5.49,,,,,,2,,,,,2023-01-24
4661879,Basketball Cards 2021 Panini Mosaic,Aaron Gordon [Choice Black Gold] #56,,,,,,,,,,,,,,,,,,,0,,,,,2023-01-24
4662183,Basketball Cards 2021 Panini Mosaic,Aaron Gordon [Choice Fusion Red Yellow] #56,$3.49,,,,,,,,,,,$0.80,$3.79,,,,,,3,,,,,2023-01-24
6134448,Basketball Cards 2021 Panini Mosaic,Aaron Gordon [Choice Nebula] #56,,,,,,,,,,,,,,,,,,,0,,,,,2023-01-24
4662487,Basketball Cards 2021 Panini Mosaic,Aaron Gordon [Choice Peacock] #56,$1.99,,,$33.75,$37.00,,,,,,,,$2.19,,,,,,2,,,,,2023-01-24
10149459,Basketball Cards 2021 Panini Mosaic,Aaron Gordon [Fast Break Black] #56,,,,,,,,,,,,,,,,,,,0,,,,,2023-01-24
4662834,Basketball Cards 2021 Panini Mosaic,Aaron Gordon [Fast Break Blue] #56,$3.75,,,,,,,,,,,$0.80,$4.09,,,,,,2,,,,,2023-01-24
4663136,Basketball Cards 2021 Panini Mosaic,Aaron Gordon [Fast Break Gold] #56,$25.00,,,,,,,,,,,$8.40,$27.99,,,,,,1,,,,,2023-01-24
4663434,Basketball Cards 2021 Panini Mosaic,Aaron Gordon [Fast Break Pink] #56,$8.60,,,,,,,,,,,$1.90,$9.49,,,,,,1,,,,,2023-01-24
4663733,Basketball Cards 2021 Panini Mosaic,Aaron Gordon [Fast Break Purple] #56,$2.97,,,,,,,,,,,,$3.29,,,,,,1,,,,,2023-01-24
4664034,Basketball Cards 2021 Panini Mosaic,Aaron Gordon [Fast Break Silver] #56,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2023-01-24
4664336,Basketball Cards 2021 Panini Mosaic,Aaron Gordon [Genesis] #56,$5.50,,,,,,,,,,,$1.20,$6.09,,,,,,2,,,,,2023-01-24
