id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
4525133,Basketball Cards 2021 Panini Select Rookie Signatures,Alperen Sengun #RS-ASG,$94.11,$55.00,$73.00,$77.71,$84.00,$176.54,$230.00,$106.00,$106.00,,,$52.00,$104.00,$24.40,$60.99,$32.00,$79.99,,26,,,,,2021-06-01
4525212,Basketball Cards 2021 Panini Select Rookie Signatures,Alperen Sengun [Gold Prizm] #RS-ASG,$699.00,,$223.50,$809.00,$890.00,$1600.00,$2080.00,$960.00,$960.00,,,$461.40,$769.00,,,$123.00,$246.00,,4,,,,,2021-06-01
4525172,Basketball Cards 2021 Panini Select Rookie Signatures,Alperen Sengun [Green Prizm] #RS-ASG,$88.17,,$81.00,$127.25,$180.28,$304.38,$396.00,$183.00,$183.00,,,$38.80,$96.99,,,$35.60,$88.99,,16,,,,,2021-06-01
4525290,Basketball Cards 2021 Panini Select Rookie Signatures,Alperen Sengun [Orange Pulsar] #RS-ASG,$136.97,,$400.00,$440.00,$484.00,$637.50,$829.00,$383.00,$383.00,,,$75.50,$151.00,,,$220.00,$440.00,,7,,,,,2021-06-01
4525330,Basketball Cards 2021 Panini Select Rookie Signatures,Alperen Sengun [Purple Pulsar] #RS-ASG,$310.90,,,$310.00,$341.00,,,,,,,$171.00,$342.00,,,,,,4,,,,,2021-06-01
4525250,Basketball Cards 2021 Panini Select Rookie Signatures,Alperen Sengun [Tie Dye Prizm] #RS-ASG,$240.00,,,$477.54,$525.00,$601.00,$781.00,$361.00,$361.00,,,$132.00,$264.00,,,,,,3,,,,,2021-06-01
4526128,Basketball Cards 2021 Panini Select Rookie Signatures,Ayo Dosunmu #RS-ADM,$19.99,,$10.50,$12.25,$56.44,$76.43,$99.00,$46.00,$46.00,,,$6.60,$21.99,,,$3.00,$11.99,,17,,,,,2021-06-01
4525211,Basketball Cards 2021 Panini Select Rookie Signatures,Ayo Dosunmu [Gold Prizm] #RS-ADM,$114.39,,$195.68,$293.00,$465.00,$474.50,$617.00,$285.00,$285.00,,,$63.00,$126.00,,,$107.50,$215.00,,12,,,,,2021-06-01
4525171,Basketball Cards 2021 Panini Select Rookie Signatures,Ayo Dosunmu [Green Prizm] #RS-ADM,$49.99,,$41.59,$86.00,$100.00,$101.99,$133.00,$61.00,$61.00,,,$22.00,$54.99,,,$18.40,$45.99,,9,,,,,2021-06-01
4525289,Basketball Cards 2021 Panini Select Rookie Signatures,Ayo Dosunmu [Orange Pulsar] #RS-ADM,$26.50,,,,,$81.00,$105.00,$49.00,$49.00,,,$8.70,$28.99,,,,,,3,,,,,2021-06-01
4525329,Basketball Cards 2021 Panini Select Rookie Signatures,Ayo Dosunmu [Purple Pulsar] #RS-ADM,$99.99,$41.00,,$13.51,$15.00,$102.50,$133.00,$62.00,$62.00,,,$55.00,$110.00,$18.00,$44.99,,,,4,,,,,2021-06-01
4525249,Basketball Cards 2021 Panini Select Rookie Signatures,Ayo Dosunmu [Tie Dye Prizm] #RS-ADM,$51.00,,,,,,,,,,,$22.40,$55.99,,,,,,2,,,,,2021-06-01
4525134,Basketball Cards 2021 Panini Select Rookie Signatures,Bones Hyland #RS-BHY,$9.99,,$12.78,$105.00,$116.00,$126.00,$164.00,$76.00,$76.00,,,$2.80,$10.99,,,$3.50,$13.99,,11,,,,,2021-06-01
4525213,Basketball Cards 2021 Panini Select Rookie Signatures,Bones Hyland [Gold Prizm] #RS-BHY,$100.00,,$250.00,,,,,,,,,$55.00,$110.00,,,$137.50,$275.00,,3,,,,,2021-06-01
4525173,Basketball Cards 2021 Panini Select Rookie Signatures,Bones Hyland [Green Prizm] #RS-BHY,$6.50,,$19.27,$132.50,$146.00,$189.72,$247.00,$114.00,$114.00,,,$1.40,$7.19,,,$6.30,$20.99,,7,,,,,2021-06-01
4525291,Basketball Cards 2021 Panini Select Rookie Signatures,Bones Hyland [Orange Pulsar] #RS-BHY,$9.50,,$30.08,,$47.00,$275.00,$358.00,$165.00,$165.00,,,$2.00,$9.99,,,$9.90,$32.99,,5,,,,,2021-06-01
4525331,Basketball Cards 2021 Panini Select Rookie Signatures,Bones Hyland [Purple Pulsar] #RS-BHY,$34.99,,,$41.00,$45.00,$45.00,$59.00,$27.00,$27.00,,,$15.20,$37.99,,,,,,3,,,,,2021-06-01
4525251,Basketball Cards 2021 Panini Select Rookie Signatures,Bones Hyland [Tie Dye Prizm] #RS-BHY,$147.78,,,$150.00,$165.00,,,,,,,$81.50,$163.00,,,,,,2,,,,,2021-06-01
4525135,Basketball Cards 2021 Panini Select Rookie Signatures,Cade Cunningham #RS-CCM,$291.66,$129.00,$160.89,$356.65,$392.00,$696.81,$906.00,$418.00,$418.00,,,$160.50,$321.00,$71.00,$142.00,$88.50,$177.00,,46,,,,,2021-06-01
4525214,Basketball Cards 2021 Panini Select Rookie Signatures,Cade Cunningham [Gold Prizm] #RS-CCM,$1146.43,,,$1075.00,$1550.00,$5451.69,$7087.00,$3271.00,$3271.00,,,$756.60,$1261.00,,,,,,5,,,,,2021-06-01
4525174,Basketball Cards 2021 Panini Select Rookie Signatures,Cade Cunningham [Green Prizm] #RS-CCM,$326.80,,$132.87,$439.15,$617.28,$760.68,$989.00,$456.00,$456.00,,,$179.50,$359.00,,,$73.00,$146.00,,13,,,,,2021-06-01
4525292,Basketball Cards 2021 Panini Select Rookie Signatures,Cade Cunningham [Orange Pulsar] #RS-CCM,,,$333.00,,$489.00,$499.00,$649.00,$299.00,$299.00,,,,,,,$183.00,$366.00,,3,,,,,2021-06-01
4525332,Basketball Cards 2021 Panini Select Rookie Signatures,Cade Cunningham [Purple Pulsar] #RS-CCM,$672.78,,,,,,,,,,,$444.00,$740.00,,,,,,1,,,,,2021-06-01
4525252,Basketball Cards 2021 Panini Select Rookie Signatures,Cade Cunningham [Tie Dye Prizm] #RS-CCM,$430.15,,$360.00,$1400.43,$1776.00,$1812.50,$2356.00,$1088.00,$1088.00,,,$236.50,$473.00,,,$198.00,$396.00,,8,,,,,2021-06-01
4525138,Basketball Cards 2021 Panini Select Rookie Signatures,Cameron Thomas #RS-CTH,$30.00,,$31.00,$66.82,$78.00,$80.00,$104.00,$48.00,$48.00,,,$9.90,$32.99,,,$10.20,$33.99,,17,,,,,2021-06-01
4525217,Basketball Cards 2021 Panini Select Rookie Signatures,Cameron Thomas [Gold Prizm] #RS-CTH,$282.68,,,$278.38,$306.00,$1800.00,$2340.00,$1080.00,$1080.00,,,$155.50,$311.00,,,,,,3,,,,,2021-06-01
4525177,Basketball Cards 2021 Panini Select Rookie Signatures,Cameron Thomas [Green Prizm] #RS-CTH,$145.00,,,,,$152.50,$198.00,$92.00,$92.00,,,$80.00,$160.00,,,,,,4,,,,,2021-06-01
4525295,Basketball Cards 2021 Panini Select Rookie Signatures,Cameron Thomas [Orange Pulsar] #RS-CTH,$75.50,,$54.90,,,$185.42,$241.00,$111.00,$111.00,,,$33.20,$82.99,,,$24.00,$59.99,,3,,,,,2021-06-01
4525335,Basketball Cards 2021 Panini Select Rookie Signatures,Cameron Thomas [Purple Pulsar] #RS-CTH,$185.00,,,$58.02,$225.00,,,,,,,$102.00,$204.00,,,,,,4,,,,,2021-06-01
4525255,Basketball Cards 2021 Panini Select Rookie Signatures,Cameron Thomas [Tie Dye Prizm] #RS-CTH,$175.00,,,,$140.21,$305.16,$397.00,$183.00,$183.00,,,$96.50,$193.00,,,,,,6,,,,,2021-06-01
4525136,Basketball Cards 2021 Panini Select Rookie Signatures,Chris Duarte #RS-CDT,$4.56,,$8.55,$18.51,$28.31,$37.63,$49.00,$23.00,$23.00,,,$1.00,$4.99,,,$1.90,$9.39,,11,,,,,2021-06-01
