id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
4234709,Basketball Cards 2021 Panini Select,Aaron Gordon #208,$1.17,,,,,,,,,,,,$1.29,,,,,,2,,,,,2021-06-01
4242398,Basketball Cards 2021 Panini Select,Aaron Gordon [Blue Disco Prizm] #208,$3.48,,,$16.00,$18.00,$32.00,$42.00,$19.00,$19.00,,,$0.80,$3.79,,,,,,3,,,,,2021-06-01
4242298,Basketball Cards 2021 Panini Select,Aaron Gordon [Blue Ice Prizm] #208,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2021-06-01
4242498,Basketball Cards 2021 Panini Select,Aaron Gordon [Blue Prizm] #208,$3.42,,,,,,,,,,,$0.80,$3.79,,,,,,1,,,,,2021-06-01
7671147,Basketball Cards 2021 Panini Select,Aaron Gordon [Blue Retail] #208,,,,,,,,,,,,,,,,,,,0,,,,,2021-06-01
4242598,Basketball Cards 2021 Panini Select,Aaron Gordon [Blue Shimmer] #208,$2.34,,,,,,,,,,,,$2.59,,,,,,2,,,,,2021-06-01
4242698,Basketball Cards 2021 Panini Select,Aaron Gordon [Cosmic Prizm] #208,$19.99,,,,,,,,,,,$6.60,$21.99,,,,,,2,,,,,2021-06-01
4242798,Basketball Cards 2021 Panini Select,Aaron Gordon [Disco Prizm] #208,$3.98,,,,,,,,,,,$0.90,$4.39,,,,,,1,,,,,2021-06-01
4242898,Basketball Cards 2021 Panini Select,Aaron Gordon [Elephant Prizm] #208,$56.99,,,,,,,,,,,$25.20,$62.99,,,,,,1,,,,,2021-06-01
4243098,Basketball Cards 2021 Panini Select,Aaron Gordon [Gold Disco Prizm] #208,,,,,,,,,,,,,,,,,,,0,,,,,2021-06-01
4243196,Basketball Cards 2021 Panini Select,Aaron Gordon [Gold Flash Prizm] #208,,,,,,,,,,,,,,,,,,,0,,,,,2021-06-01
4242998,Basketball Cards 2021 Panini Select,Aaron Gordon [Gold Ice Prizm] #208,,,,,,,,,,,,,,,,,,,0,,,,,2021-06-01
4243296,Basketball Cards 2021 Panini Select,Aaron Gordon [Gold Prizm] #208,$100.00,,,,,,,,,,,$55.00,$110.00,,,,,,1,,,,,2021-06-01
4243396,Basketball Cards 2021 Panini Select,Aaron Gordon [Gold Shimmer] #208,$1.25,,,,,,,,,,,,$1.39,,,,,,1,,,,,2021-06-01
4243496,Basketball Cards 2021 Panini Select,Aaron Gordon [Gold Wave Prizm] #208,$12.12,,,,,,,,,,,$3.30,$12.99,,,,,,1,,,,,2021-06-01
4243595,Basketball Cards 2021 Panini Select,Aaron Gordon [Green Disco Prizm] #208,$6.26,,,,,,,,,,,$1.40,$6.89,,,,,,1,,,,,2021-06-01
4243695,Basketball Cards 2021 Panini Select,Aaron Gordon [Green Ice Prizm] #208,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2021-06-01
