id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
8779103,Basketball Cards 2024 Panini Donruss,AJ Johnson #222,$0.80,,,,,,,,,,,,$0.99,,,,,,3,,,,,2025-03-14
8779294,Basketball Cards 2024 Panini Donruss,AJ Johnson [Black Wedges] #222,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-14
8784810,Basketball Cards 2024 Panini Donruss,AJ Johnson [Blue Cracked Ice Optic Holo] #222,$3.50,,,,,,,,,,,$0.80,$3.89,,,,,,3,,,,,2025-03-14
8779229,Basketball Cards 2024 Panini Donruss,AJ Johnson [Blue Disco] #222,$1.25,,,,,,,,,,,,$1.39,,,,,,1,,,,,2025-03-14
8779253,Basketball Cards 2024 Panini Donruss,AJ Johnson [Blue Explosion] #222,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2025-03-14
8784882,Basketball Cards 2024 Panini Donruss,AJ Johnson [Blue Optic Rated Rookie Preview Holo] #222,$1.75,,$6.52,$12.54,$24.72,$36.63,$48.00,$22.00,$22.00,,,,$1.89,,,$1.40,$7.19,,12,,,,,2025-03-14
8779232,Basketball Cards 2024 Panini Donruss,AJ Johnson [Blue Wedges] #222,$9.95,,,,,,,,,,,$2.80,$10.99,,,,,,2,,,,,2025-03-14
8779245,Basketball Cards 2024 Panini Donruss,AJ Johnson [Checkerboard] #222,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-14
8780895,Basketball Cards 2024 Panini Donruss,AJ Johnson [Choice Black Gold Signature] #265,$290.00,,,,,,,,,,,$159.50,$319.00,,,,,,2,,,,,2025-03-14
8779287,Basketball Cards 2024 Panini Donruss,AJ Johnson [Choice Black Gold] #222,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-14
8780899,Basketball Cards 2024 Panini Donruss,AJ Johnson [Choice Black Signature] #265,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-14
