id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
10672245,Basketball Cards 2024 Panini Flawless,AJ Johnson #80,$34.00,,,,,,,,,,,$14.80,$36.99,,,,,,1,,,,,2025-09-26
10672247,Basketball Cards 2024 Panini Flawless,AJ Johnson [Emerald] #80,$285.00,,,,,,,,,,,$157.00,$314.00,,,,,,1,,,,,2025-09-26
10672248,Basketball Cards 2024 Panini Flawless,AJ Johnson [Fuchsia] #80,$205.00,,,,,,,,,,,$113.00,$226.00,,,,,,1,,,,,2025-09-26
10672246,Basketball Cards 2024 Panini Flawless,AJ Johnson [Gold] #80,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-26
10672249,Basketball Cards 2024 Panini Flawless,AJ Johnson [Platinum] #80,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-26
10672185,Basketball Cards 2024 Panini Flawless,Ajay Mitchell #68,$163.73,,$150.46,$259.12,$488.47,$720.94,$937.00,$433.00,$433.00,,,$90.00,$180.00,,,$83.00,$166.00,,5,,,,,2025-09-26
10672187,Basketball Cards 2024 Panini Flawless,Ajay Mitchell [Emerald] #68,$303.74,,,,,,,,,,,$167.00,$334.00,,,,,,3,,,,,2025-09-26
10672188,Basketball Cards 2024 Panini Flawless,Ajay Mitchell [Fuchsia] #68,$450.00,,,,,,,,,,,$247.50,$495.00,,,,,,1,,,,,2025-09-26
10672186,Basketball Cards 2024 Panini Flawless,Ajay Mitchell [Gold] #68,$312.50,,,,,,,,,,,$172.00,$344.00,,,,,,1,,,,,2025-09-26
10672189,Basketball Cards 2024 Panini Flawless,Ajay Mitchell [Platinum] #68,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-26
10672215,Basketball Cards 2024 Panini Flawless,Alexandre Sarr #74,$200.50,,,,,,,,,,,$110.50,$221.00,,,,,,5,,,,,2025-09-26
10672216,Basketball Cards 2024 Panini Flawless,Alexandre Sarr [Emerald] #74,$428.95,,,,,,,,,,,$236.00,$472.00,,,,,,3,,,,,2025-09-26
10672217,Basketball Cards 2024 Panini Flawless,Alexandre Sarr [Fuchsia] #74,$705.50,,,,,,,,,,,$465.60,$776.00,,,,,,5,,,,,2025-09-26
10672218,Basketball Cards 2024 Panini Flawless,Alexandre Sarr [Gold] #74,$515.00,,,,,,,,,,,$340.20,$567.00,,,,,,4,,,,,2025-09-26
10672219,Basketball Cards 2024 Panini Flawless,Alexandre Sarr [Platinum] #74,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-26
10672365,Basketball Cards 2024 Panini Flawless,Allen Iverson #105,$345.26,,,,,,,,,,,$190.00,$380.00,,,,,,1,,,,,2025-09-26
10672367,Basketball Cards 2024 Panini Flawless,Allen Iverson [Fuchsia] #105,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-26
10672366,Basketball Cards 2024 Panini Flawless,Allen Iverson [Gold] #105,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-26
10672368,Basketball Cards 2024 Panini Flawless,Allen Iverson [Platinum] #105,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-26
10672099,Basketball Cards 2024 Panini Flawless,Alperen Sengun #52,$150.00,,,,,,,,,,,$82.50,$165.00,,,,,,1,,,,,2025-09-26
10672100,Basketball Cards 2024 Panini Flawless,Alperen Sengun [Emerald] #52,$102.50,,,,,,,,,,,$56.50,$113.00,,,,,,1,,,,,2025-09-26
10672103,Basketball Cards 2024 Panini Flawless,Alperen Sengun [Fuchsia] #52,$115.50,,,,,,,,,,,$63.50,$127.00,,,,,,1,,,,,2025-09-26
10672102,Basketball Cards 2024 Panini Flawless,Alperen Sengun [Gold] #52,$112.50,,,,,,,,,,,$62.00,$124.00,,,,,,1,,,,,2025-09-26
10672105,Basketball Cards 2024 Panini Flawless,Alperen Sengun [Platinum] #52,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-26
10672091,Basketball Cards 2024 Panini Flawless,Amen Thompson #51,$79.39,,,,,,,,,,,$34.80,$86.99,,,,,,3,,,,,2025-09-26
10672093,Basketball Cards 2024 Panini Flawless,Amen Thompson [Emerald] #51,$196.89,,,,,,,,,,,$108.50,$217.00,,,,,,5,,,,,2025-09-26
10672095,Basketball Cards 2024 Panini Flawless,Amen Thompson [Fuchsia] #51,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-26
10672090,Basketball Cards 2024 Panini Flawless,Amen Thompson [Gold] #51,$218.30,,,,,,,,,,,$120.00,$240.00,,,,,,4,,,,,2025-09-26
10672096,Basketball Cards 2024 Panini Flawless,Amen Thompson [Platinum] #51,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-26
10671978,Basketball Cards 2024 Panini Flawless,Anfernee Simons #35,$10.48,,,,,,,,,,,$3.00,$11.99,,,,,,1,,,,,2025-09-26
10671981,Basketball Cards 2024 Panini Flawless,Anfernee Simons [Emerald] #35,$42.51,,$42.74,$74.58,$141.40,$208.78,$271.00,$125.00,$125.00,,,$18.80,$46.99,,,$18.80,$46.99,,12,,,,,2025-09-26
