id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
10170994,Basketball Cards 2024 Panini National Treasures,AJ Johnson #63,$4.29,,$8.77,$16.42,$32.02,$41.00,$53.00,$25.00,$25.00,,,$0.90,$4.69,,,$1.90,$9.69,,7,,,,,2025-08-07
10171001,Basketball Cards 2024 Panini National Treasures,AJ Johnson [Amethyst] #63,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171363,Basketball Cards 2024 Panini National Treasures,AJ Johnson [Black Rookie Patch Autograph] #101,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171365,Basketball Cards 2024 Panini National Treasures,AJ Johnson [Blue Rookie Patch Autograph] #101,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171353,Basketball Cards 2024 Panini National Treasures,AJ Johnson [Bronze Rookie Patch Autograph] #101,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171360,Basketball Cards 2024 Panini National Treasures,AJ Johnson [Emerald Rookie Patch Autograph] #101,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171000,Basketball Cards 2024 Panini National Treasures,AJ Johnson [Emerald] #63,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171357,Basketball Cards 2024 Panini National Treasures,AJ Johnson [Gold FOTL Rookie Patch Autograph] #101,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171356,Basketball Cards 2024 Panini National Treasures,AJ Johnson [Gold Rookie Patch Autograph] #101,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10170998,Basketball Cards 2024 Panini National Treasures,AJ Johnson [Gold] #63,$36.00,,,,,$308.00,$400.00,$185.00,$185.00,,,$16.00,$39.99,,,,,,2,,,,,2025-08-07
10171358,Basketball Cards 2024 Panini National Treasures,AJ Johnson [International Red Rookie Patch Autograph] #101,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10170999,Basketball Cards 2024 Panini National Treasures,AJ Johnson [International Red] #63,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171355,Basketball Cards 2024 Panini National Treasures,AJ Johnson [International Rookie Patch Autograph] #101,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10170996,Basketball Cards 2024 Panini National Treasures,AJ Johnson [International] #63,$12.73,,,,,,,,,,,$3.50,$13.99,,,,,,3,,,,,2025-08-07
10171367,Basketball Cards 2024 Panini National Treasures,AJ Johnson [Logoman Rookie Patch Autograph] #101,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171350,Basketball Cards 2024 Panini National Treasures,AJ Johnson [Orange Rookie Patch Autograph] #101,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171354,Basketball Cards 2024 Panini National Treasures,AJ Johnson [Pink Rookie Patch Autograph] #101,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10170997,Basketball Cards 2024 Panini National Treasures,AJ Johnson [Pink] #63,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171002,Basketball Cards 2024 Panini National Treasures,AJ Johnson [Platinum] #63,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171362,Basketball Cards 2024 Panini National Treasures,AJ Johnson [Purple Rookie Patch Autograph] #101,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171352,Basketball Cards 2024 Panini National Treasures,AJ Johnson [Rookie Patch Autograph] #101,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10170995,Basketball Cards 2024 Panini National Treasures,AJ Johnson [Royal] #63,$5.51,,,,,,,,,,,$1.20,$6.09,,,,,,1,,,,,2025-08-07
10171361,Basketball Cards 2024 Panini National Treasures,Adem Bona [Black Rookie Patch Autograph] #108,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171364,Basketball Cards 2024 Panini National Treasures,Adem Bona [Blue Rookie Patch Autograph] #108,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171736,Basketball Cards 2024 Panini National Treasures,Adem Bona [Bronze Rookie Patch Autograph] #108,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171786,Basketball Cards 2024 Panini National Treasures,Adem Bona [Emerald Rookie Patch Autograph] #108,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171772,Basketball Cards 2024 Panini National Treasures,Adem Bona [Gold FOTL Rookie Patch Autograph] #108,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171775,Basketball Cards 2024 Panini National Treasures,Adem Bona [Gold Rookie Patch Autograph] #108,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171781,Basketball Cards 2024 Panini National Treasures,Adem Bona [International Red Rookie Patch Autograph] #108,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171753,Basketball Cards 2024 Panini National Treasures,Adem Bona [International Rookie Patch Autograph] #108,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171366,Basketball Cards 2024 Panini National Treasures,Adem Bona [Logoman Rookie Patch Autograph] #108,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171727,Basketball Cards 2024 Panini National Treasures,Adem Bona [Orange Rookie Patch Autograph] #108,$35.00,,,,,,,,,,,$15.60,$38.99,,,,,,1,,,,,2025-08-07
10171749,Basketball Cards 2024 Panini National Treasures,Adem Bona [Pink Rookie Patch Autograph] #108,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171359,Basketball Cards 2024 Panini National Treasures,Adem Bona [Purple Rookie Patch Autograph] #108,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171721,Basketball Cards 2024 Panini National Treasures,Adem Bona [Rookie Patch Autograph] #108,$55.04,,,,,,,,,,,$24.40,$60.99,,,,,,3,,,,,2025-08-07
10170752,Basketball Cards 2024 Panini National Treasures,Ajay Mitchell #35,$15.67,,,$9.50,$10.00,,,,,,,$4.30,$16.99,,,,,,2,,,,,2025-08-07
10170759,Basketball Cards 2024 Panini National Treasures,Ajay Mitchell [Amethyst] #35,$59.63,,,,,,,,,,,$26.40,$65.99,,,,,,5,,,,,2025-08-07
10171914,Basketball Cards 2024 Panini National Treasures,Ajay Mitchell [Black Rookie Patch Autograph] #148,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171923,Basketball Cards 2024 Panini National Treasures,Ajay Mitchell [Blue Rookie Patch Autograph] #148,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171890,Basketball Cards 2024 Panini National Treasures,Ajay Mitchell [Bronze Rookie Patch Autograph] #148,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10171909,Basketball Cards 2024 Panini National Treasures,Ajay Mitchell [Emerald Rookie Patch Autograph] #148,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-07
10170758,Basketball Cards 2024 Panini National Treasures,Ajay Mitchell [Emerald] #35,$120.00,,,,,,,,,,,$66.00,$132.00,,,,,,1,,,,,2025-08-07
