id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
8402249,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson #253,$0.53,,$5.86,$11.44,$22.66,$33.69,$44.00,$20.00,$20.00,,,,$0.99,,,$1.30,$6.49,,18,,,,,2025-01-31
8402282,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Artist Proof] #253,$15.62,,,,,,,,,,,$4.30,$16.99,,,,,,2,,,,,2025-01-31
8402293,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Black Artist Proof] #253,,,,,,,,,,,,,,,,,,,0,,,,,2025-01-31
8402277,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Blue Explosion] #253,,,,,,,,,,,,,,,,,,,0,,,,,2025-01-31
8402278,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Blue Prizm Premium] #253,$9.99,,,,,,,,,,,$2.80,$10.99,,,,,,1,,,,,2025-01-31
8402438,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Blue Scope] #253,$3.48,,,,,,,,,,,$0.80,$3.79,,,,,,2,,,,,2025-01-31
8403113,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Blue Winter] #253,$10.06,,,,,,,,,,,$2.80,$10.99,,,,,,2,,,,,2025-01-31
8402250,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Blue] #253,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2025-01-31
8402251,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Checkerboard Prizm Premium] #253,,,,,,,,,,,,,,,,,,,0,,,,,2025-01-31
8402275,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Dragon Year] #253,$14.84,,,,,,,,,,,$4.00,$15.99,,,,,,2,,,,,2025-01-31
8402291,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Gold Artist Proof] #253,$69.40,,,,,,,,,,,$30.40,$75.99,,,,,,1,,,,,2025-01-31
8402294,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Gold Vinyl Prizm Premium] #253,,,,,,,,,,,,,,,,,,,0,,,,,2025-01-31
8402273,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Green Explosion] #253,$12.49,,,,,,,,,,,$3.50,$13.99,,,,,,2,,,,,2025-01-31
8402252,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Green Prizm Premium] #253,$1.52,,,,,,,,,,,,$1.69,,,,,,3,,,,,2025-01-31
8402290,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Green Scope] #253,$35.68,,,,,,,,,,,$15.60,$38.99,,,,,,3,,,,,2025-01-31
8402272,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Green] #253,$5.99,,,,,,,,,,,$1.30,$6.59,,,,,,3,,,,,2025-01-31
8402253,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Impulse] #253,$5.94,,,,,,,,,,,$1.30,$6.49,,,,,,3,,,,,2025-01-31
8402279,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Lazer Blue Prizm Premium] #253,$14.95,,,,,,,,,,,$4.00,$15.99,,,,,,1,,,,,2025-01-31
8403306,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Lazer Green Prizm Premium] #253,,,,,,,,,,,,,,,,,,,0,,,,,2025-01-31
8402268,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Lazer Red Prizm Premium] #253,$7.50,,,,,,,,,,,$1.70,$8.29,,,,,,1,,,,,2025-01-31
8402894,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Lime Green Prizm Premium] #253,$9.84,,,,,,,,,,,$2.80,$10.99,,,,,,4,,,,,2025-01-31
8402284,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Mojo Prizm Premium] #253,$2.49,,,,,,,,,,,,$2.69,,,,,,1,,,,,2025-01-31
8402295,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Nebula Prizm Premium] #253,,,,,,,,,,,,,,,,,,,0,,,,,2025-01-31
9772863,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Neon Green] #253,,,,,,,,,,,,,,,,,,,0,,,,,2025-01-31
8402283,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Orange Explosion] #253,$1.99,,,,,,,,,,,,$2.19,,,,,,1,,,,,2025-01-31
8402263,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Orange Prizm Premium] #253,$2.46,,,,,,,,,,,,$2.69,,,,,,2,,,,,2025-01-31
8402681,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Orange] #253,$4.24,,,,,,,,,,,$0.90,$4.69,,,,,,5,,,,,2025-01-31
8402264,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Premium Box Set] #253,$2.27,,$6.96,$13.26,$26.04,$38.38,$50.00,$23.00,$23.00,,,,$2.49,,,$1.50,$7.69,,6,,,,,2025-01-31
8402289,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Premium Gold Prizm] #253,,,,,,,,,,,,,,,,,,,0,,,,,2025-01-31
8407514,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Premium] #253,$2.50,,,,,,,,,,,,$2.79,,,,,,2,,,,,2025-01-31
8402269,Basketball Cards 2024 Panini NBA Hoops,AJ Johnson [Pulsar Blue Prizm Premium] #253,,,,,,,,,,,,,,,,,,,0,,,,,2025-01-31
