id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
8835281,Basketball Cards 2024 Panini Origins,1st Off the Line Box,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-21
8836999,Basketball Cards 2024 Panini Origins,AJ Johnson #84,$1.17,,$6.02,$11.70,$23.17,$34.45,$45.00,$21.00,$21.00,,,,$1.29,,,$1.30,$6.59,,14,,,,,2025-03-21
8837028,Basketball Cards 2024 Panini Origins,AJ Johnson [Amethyst] #84,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-21
8837000,Basketball Cards 2024 Panini Origins,AJ Johnson [Basketballs] #84,$4.69,,,,,,,,,,,$1.00,$5.19,,,,,,3,,,,,2025-03-21
8837019,Basketball Cards 2024 Panini Origins,AJ Johnson [Black White Stripes] #84,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-21
8837034,Basketball Cards 2024 Panini Origins,AJ Johnson [Black] #84,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-21
8837005,Basketball Cards 2024 Panini Origins,AJ Johnson [Blue] #84,$5.50,,,,,,,,,,,$1.20,$6.09,,,,,,4,,,,,2025-03-21
8837001,Basketball Cards 2024 Panini Origins,AJ Johnson [Cosmos] #84,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-21
8837027,Basketball Cards 2024 Panini Origins,AJ Johnson [Gold] #84,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-21
8837030,Basketball Cards 2024 Panini Origins,AJ Johnson [Green] #84,$50.00,,,,,,,,,,,$22.00,$54.99,,,,,,1,,,,,2025-03-21
8837004,Basketball Cards 2024 Panini Origins,AJ Johnson [Maroon] #84,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-21
8837013,Basketball Cards 2024 Panini Origins,AJ Johnson [Neon Green] #84,$10.00,,,,,,,,,,,$2.80,$10.99,,,,,,1,,,,,2025-03-21
8837011,Basketball Cards 2024 Panini Origins,AJ Johnson [Neon Stripes] #84,$4.17,,,,,,,,,,,$0.90,$4.59,,,,,,3,,,,,2025-03-21
8837024,Basketball Cards 2024 Panini Origins,AJ Johnson [Opal] #84,$15.75,,,,,,,,,,,$4.30,$16.99,,,,,,2,,,,,2025-03-21
8837006,Basketball Cards 2024 Panini Origins,AJ Johnson [Orange] #84,$6.21,,,,,,,,,,,$1.40,$6.79,,,,,,3,,,,,2025-03-21
8837007,Basketball Cards 2024 Panini Origins,AJ Johnson [Pink] #84,$6.02,,,,,,,,,,,$1.30,$6.59,,,,,,3,,,,,2025-03-21
8837017,Basketball Cards 2024 Panini Origins,AJ Johnson [Purple FOTL] #84,$12.18,,$7.50,,,,,,,,,$3.30,$12.99,,,$1.70,$8.29,,3,,,,,2025-03-21
8837003,Basketball Cards 2024 Panini Origins,AJ Johnson [Red] #84,$3.51,,$8.00,$15.01,$29.31,$43.07,$56.00,$26.00,$26.00,,,$0.80,$3.89,,,$1.80,$8.79,,7,,,,,2025-03-21
8837032,Basketball Cards 2024 Panini Origins,AJ Johnson [Swirl FOTL] #84,$325.00,,,,,,,,,,,$179.00,$358.00,,,,,,1,,,,,2025-03-21
8837002,Basketball Cards 2024 Panini Origins,AJ Johnson [Tessellated] #84,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-21
8837015,Basketball Cards 2024 Panini Origins,AJ Johnson [Turquoise] #84,$7.50,,,,,,,,,,,$1.70,$8.29,,,,,,3,,,,,2025-03-21
8837008,Basketball Cards 2024 Panini Origins,AJ Johnson [White] #84,$1.99,,$6.73,$12.89,$25.37,$37.53,$49.00,$23.00,$23.00,,,,$2.19,,,$1.50,$7.39,,6,,,,,2025-03-21
8836770,Basketball Cards 2024 Panini Origins,Alexandre Sarr #73,$2.01,,$6.75,$14.37,$31.07,$39.00,$51.00,$23.00,$23.00,,,,$2.19,,,$1.50,$7.39,,44,,,,,2025-03-21
8836786,Basketball Cards 2024 Panini Origins,Alexandre Sarr [Amethyst] #73,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-21
8836771,Basketball Cards 2024 Panini Origins,Alexandre Sarr [Basketballs] #73,$5.99,,,,,,,,,,,$1.30,$6.59,,,,,,4,,,,,2025-03-21
8836784,Basketball Cards 2024 Panini Origins,Alexandre Sarr [Black White Stripes] #73,,,,$100.00,$110.00,,,,,,,,,,,,,,1,,,,,2025-03-21
8836790,Basketball Cards 2024 Panini Origins,Alexandre Sarr [Black] #73,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-21
8836776,Basketball Cards 2024 Panini Origins,Alexandre Sarr [Blue] #73,$7.00,,$11.08,$20.18,$38.91,$56.56,$74.00,$34.00,$34.00,,,$1.50,$7.69,,,$3.00,$11.99,,8,,,,,2025-03-21
8836772,Basketball Cards 2024 Panini Origins,Alexandre Sarr [Cosmos] #73,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-21
8836787,Basketball Cards 2024 Panini Origins,Alexandre Sarr [Gold] #73,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-21
8836788,Basketball Cards 2024 Panini Origins,Alexandre Sarr [Green] #73,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-21
8836775,Basketball Cards 2024 Panini Origins,Alexandre Sarr [Maroon] #73,$9.99,,$13.68,$24.53,$47.00,$67.94,$88.00,$41.00,$41.00,,,$2.80,$10.99,,,$3.80,$14.99,,7,,,,,2025-03-21
8836781,Basketball Cards 2024 Panini Origins,Alexandre Sarr [Neon Green] #73,$13.73,,$20.00,,,,,,,,,$3.80,$14.99,,,$6.60,$21.99,,2,,,,,2025-03-21
8836780,Basketball Cards 2024 Panini Origins,Alexandre Sarr [Neon Stripes] #73,$14.99,,,,,,,,,,,$4.00,$15.99,,,,,,3,,,,,2025-03-21
8836785,Basketball Cards 2024 Panini Origins,Alexandre Sarr [Opal] #73,$43.79,,,,,,,,,,,$19.20,$47.99,,,,,,3,,,,,2025-03-21
8836777,Basketball Cards 2024 Panini Origins,Alexandre Sarr [Orange] #73,$3.75,,,$10.50,$12.00,,,,,,,$0.80,$4.09,,,,,,7,,,,,2025-03-21
8836778,Basketball Cards 2024 Panini Origins,Alexandre Sarr [Pink] #73,$4.49,,,,,,,,,,,$1.00,$4.89,,,,,,2,,,,,2025-03-21
8836783,Basketball Cards 2024 Panini Origins,Alexandre Sarr [Purple FOTL] #73,$31.00,,,,,,,,,,,$10.20,$33.99,,,,,,1,,,,,2025-03-21
8836774,Basketball Cards 2024 Panini Origins,Alexandre Sarr [Red] #73,$3.00,,$7.85,$14.77,$28.87,$42.47,$55.00,$25.00,$25.00,,,,$3.29,,,$1.70,$8.59,,13,,,,,2025-03-21
8836789,Basketball Cards 2024 Panini Origins,Alexandre Sarr [Swirl FOTL] #73,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-21
8836773,Basketball Cards 2024 Panini Origins,Alexandre Sarr [Tessellated] #73,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-21
8836782,Basketball Cards 2024 Panini Origins,Alexandre Sarr [Turquoise] #73,$29.00,,,,,,,,,,,$9.60,$31.99,,,,,,3,,,,,2025-03-21
8837390,Basketball Cards 2024 Panini Origins,Alexandre Sarr [Variation] #73,$1.92,,$25.00,$28.00,$31.00,,,,,,,,$2.09,,,$8.40,$27.99,,6,,,,,2025-03-21
8836779,Basketball Cards 2024 Panini Origins,Alexandre Sarr [White] #73,$8.50,,,,,$40.94,$53.00,$25.00,$25.00,,,$1.90,$9.39,,,,,,4,,,,,2025-03-21
8835658,Basketball Cards 2024 Panini Origins,Alperen Sengun #19,$1.62,,$6.41,$12.35,$24.37,$36.13,$47.00,$22.00,$22.00,,,,$1.79,,,$1.40,$7.09,,8,,,,,2025-03-21
8835675,Basketball Cards 2024 Panini Origins,Alperen Sengun [Amethyst] #19,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-21
8835659,Basketball Cards 2024 Panini Origins,Alperen Sengun [Basketballs] #19,$5.00,,,,,,,,,,,$1.10,$5.49,,,,,,1,,,,,2025-03-21
8835672,Basketball Cards 2024 Panini Origins,Alperen Sengun [Black White Stripes] #19,$25.75,,$8.50,,,,,,,,,$8.40,$27.99,,,$1.90,$9.39,,3,,,,,2025-03-21
8835678,Basketball Cards 2024 Panini Origins,Alperen Sengun [Black] #19,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-21
8835664,Basketball Cards 2024 Panini Origins,Alperen Sengun [Blue] #19,$6.98,,$8.50,$17.21,$33.40,$48.82,$63.00,$29.00,$29.00,,,$1.50,$7.69,,,$1.90,$9.39,,8,,,,,2025-03-21
8835660,Basketball Cards 2024 Panini Origins,Alperen Sengun [Cosmos] #19,$4.28,,,,,,,,,,,$0.90,$4.69,,,,,,0,,,,,2025-03-21
8835674,Basketball Cards 2024 Panini Origins,Alperen Sengun [Gold] #19,$16.00,,,,,$72.00,$94.00,$43.00,$43.00,,,$4.50,$17.99,,,,,,2,,,,,2025-03-21
8835676,Basketball Cards 2024 Panini Origins,Alperen Sengun [Green] #19,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-21
