id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
8475647,Basketball Cards 2024 Panini Prizm WNBA,1st Off the Line Box,$3396.81,,,,,,,,,,,$2241.60,$3736.00,,,,,,2,,,,,2025-02-12
13170764,Basketball Cards 2024 Panini Prizm WNBA,A'Ja Wilson [Lazer] #86,$49.99,,,,,,,,,,,$22.00,$54.99,,,,,,1,,,,,
8478433,Basketball Cards 2024 Panini Prizm WNBA,A'ja Wilson #86,$1.17,,$6.01,$11.68,$23.11,$34.32,$45.00,$21.00,$21.00,,,,$1.29,,,$1.30,$6.59,,39,,,,,2025-02-12
8478464,Basketball Cards 2024 Panini Prizm WNBA,A'ja Wilson [Black Finite] #86,,,,$7499.00,$8249.00,,,,,,,,,,,,,,1,,,,,2025-02-12
8478461,Basketball Cards 2024 Panini Prizm WNBA,A'ja Wilson [Black Gold] #86,,,,,,,,,,,,,,,,,,,0,,,,,2025-02-12
8478457,Basketball Cards 2024 Panini Prizm WNBA,A'ja Wilson [Black Velocity] #86,$64.99,,$49.99,,,$208.23,$271.00,$125.00,$125.00,,,$28.40,$70.99,,,$22.00,$54.99,,9,,,,,2025-02-12
8478448,Basketball Cards 2024 Panini Prizm WNBA,A'ja Wilson [Blue Pulsar] #86,$5.50,,$9.75,$13.50,$34.64,$45.00,$59.00,$27.00,$27.00,,,$1.20,$6.09,,,$2.80,$10.99,,12,,,,,2025-02-12
8478434,Basketball Cards 2024 Panini Prizm WNBA,A'ja Wilson [Blue Velocity] #86,$1.64,,$22.06,$24.00,$25.10,$37.06,$48.00,$22.00,$22.00,,,,$1.79,,,$7.20,$23.99,,50,,,,,2025-02-12
8478447,Basketball Cards 2024 Panini Prizm WNBA,A'ja Wilson [Blue] #86,$5.57,,$9.77,$12.50,$34.68,$50.34,$65.00,$30.00,$30.00,,,$1.20,$6.09,,,$2.80,$10.99,,23,,,,,2025-02-12
8478435,Basketball Cards 2024 Panini Prizm WNBA,A'ja Wilson [Checkerboard] #86,$10.73,,$7.38,$25.42,$48.57,$75.00,$98.00,$45.00,$45.00,,,$3.00,$11.99,,,$1.60,$8.09,,23,,,,,2025-02-12
8478458,Basketball Cards 2024 Panini Prizm WNBA,A'ja Wilson [Cherry Blossoms FOTL] #86,$146.26,,$88.80,,,,,,,,,$80.50,$161.00,,,$39.20,$97.99,,5,,,,,2025-02-12
8478460,Basketball Cards 2024 Panini Prizm WNBA,A'ja Wilson [Gold Ice] #86,$161.25,,,$200.00,$220.00,,,,,,,$88.50,$177.00,,,,,,3,,,,,2025-02-12
8478465,Basketball Cards 2024 Panini Prizm WNBA,A'ja Wilson [Gold Vinyl] #86,,,,,,,,,,,,,,,,,,,0,,,,,2025-02-12
