id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
9264446,Basketball Cards 2024 Panini Revolution,AJ Johnson #140,$0.90,,$5.78,$11.31,$22.44,$33.46,$44.00,$20.00,$20.00,,,,$0.99,,,$1.30,$6.39,,6,,,,,2025-05-02
9264451,Basketball Cards 2024 Panini Revolution,AJ Johnson [Astro] #140,$0.99,,,,,,,,,,,,$1.09,,,,,,4,,,,,2025-05-02
9263736,Basketball Cards 2024 Panini Revolution,AJ Johnson [Blue Astro] #140,,,,,,,,,,,,,,,,,,,0,,,,,2025-05-02
9265364,Basketball Cards 2024 Panini Revolution,AJ Johnson [Blue Cosmo] #140,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2025-05-02
9264454,Basketball Cards 2024 Panini Revolution,AJ Johnson [Blue Storm] #140,$1.37,,$6.20,$12.01,$23.75,$35.32,$46.00,$21.00,$21.00,,,,$1.49,,,$1.40,$6.79,,7,,,,,2025-05-02
9263887,Basketball Cards 2024 Panini Revolution,AJ Johnson [Chinese New Year] #140,$2.45,,,,,,,,,,,,$2.69,,,,,,5,,,,,2025-05-02
9265351,Basketball Cards 2024 Panini Revolution,AJ Johnson [Cosmic] #140,$1.62,,,,,,,,,,,,$1.79,,,,,,2,,,,,2025-05-02
9263774,Basketball Cards 2024 Panini Revolution,AJ Johnson [Cubic] #140,$2.95,,,$5.00,$6.00,,,,,,,,$3.29,,,,,,3,,,,,2025-05-02
9263891,Basketball Cards 2024 Panini Revolution,AJ Johnson [Emerald Chinese New Year] #140,$4.20,,,,,,,,,,,$0.90,$4.59,,,,,,4,,,,,2025-05-02
9264509,Basketball Cards 2024 Panini Revolution,AJ Johnson [Fireworks] #140,$2.03,,,,,,,,,,,,$2.19,,,,,,5,,,,,2025-05-02
9264461,Basketball Cards 2024 Panini Revolution,AJ Johnson [Fractal] #140,$2.25,,,,,,,,,,,,$2.49,,,,,,1,,,,,2025-05-02
9263766,Basketball Cards 2024 Panini Revolution,AJ Johnson [Future Frame] #140,$5.50,,,,,,,,,,,$1.20,$6.09,,,,,,1,,,,,2025-05-02
9264467,Basketball Cards 2024 Panini Revolution,AJ Johnson [Galactic] #140,$23.97,,,,,,,,,,,$7.80,$25.99,,,,,,2,,,,,2025-05-02
9263723,Basketball Cards 2024 Panini Revolution,AJ Johnson [Green Astro] #140,$0.01,,,,,,,,,,,,$0.99,,,,,,1,,,,,2025-05-02
9263749,Basketball Cards 2024 Panini Revolution,AJ Johnson [Green Cosmo] #140,$2.25,,,,,,,,,,,,$2.49,,,,,,1,,,,,2025-05-02
9264514,Basketball Cards 2024 Panini Revolution,AJ Johnson [Green Storm] #140,$1.43,,,,,,,,,,,,$1.59,,,,,,4,,,,,2025-05-02
9264476,Basketball Cards 2024 Panini Revolution,AJ Johnson [Groove] #140,$1.50,,,,,,,,,,,,$1.69,,,,,,3,,,,,2025-05-02
9263902,Basketball Cards 2024 Panini Revolution,AJ Johnson [Holo Gold Chinese New Year] #140,,,,,,,,,,,,,,,,,,,0,,,,,2025-05-02
9263797,Basketball Cards 2024 Panini Revolution,AJ Johnson [Infinite] #140,$25.00,,,,,,,,,,,$8.40,$27.99,,,,,,1,,,,,2025-05-02
9263881,Basketball Cards 2024 Panini Revolution,AJ Johnson [Kaleidoscope] #140,,,,,,,,,,,,,,,,,,,0,,,,,2025-05-02
9263864,Basketball Cards 2024 Panini Revolution,AJ Johnson [Lava] #140,$15.50,,,,,,,,,,,$4.30,$16.99,,,,,,1,,,,,2025-05-02
9263815,Basketball Cards 2024 Panini Revolution,AJ Johnson [Levels] #140,,,,,,,,,,,,,,,,,,,0,,,,,2025-05-02
9264508,Basketball Cards 2024 Panini Revolution,AJ Johnson [Lighting] #140,$1.55,,,,,,,,,,,,$1.69,,,,,,5,,,,,2025-05-02
9265349,Basketball Cards 2024 Panini Revolution,AJ Johnson [Neutron] #140,$3.76,,,,,,,,,,,$0.80,$4.09,,,,,,1,,,,,2025-05-02
9263827,Basketball Cards 2024 Panini Revolution,AJ Johnson [Pink Astro] #140,$6.50,,,,,,,,,,,$1.40,$7.19,,,,,,1,,,,,2025-05-02
9263820,Basketball Cards 2024 Panini Revolution,AJ Johnson [Pink Storm] #140,,,,,,,,,,,,,,,,,,,0,,,,,2025-05-02
9263873,Basketball Cards 2024 Panini Revolution,AJ Johnson [Purple] #140,,,,,,,,,,,,,,,,,,,0,,,,,2025-05-02
9264485,Basketball Cards 2024 Panini Revolution,AJ Johnson [Red Astro] #140,$2.50,,,,,,,,,,,,$2.79,,,,,,1,,,,,2025-05-02
9264519,Basketball Cards 2024 Panini Revolution,AJ Johnson [Red Scope] #140,,,,,,,,,,,,,,,,,,,0,,,,,2025-05-02
9264480,Basketball Cards 2024 Panini Revolution,AJ Johnson [Red Swirl] #140,$1.65,,,,,,,,,,,,$1.79,,,,,,1,,,,,2025-05-02
9263757,Basketball Cards 2024 Panini Revolution,AJ Johnson [Sunburst] #140,$1.00,,,,,,,,,,,,$1.09,,,,,,2,,,,,2025-05-02
9263787,Basketball Cards 2024 Panini Revolution,AJ Johnson [Teal Scope] #140,$4.99,,$9.36,$17.32,$33.64,$49.36,$64.00,$30.00,$30.00,,,$1.10,$5.49,,,$2.00,$9.99,,5,,,,,2025-05-02
9263781,Basketball Cards 2024 Panini Revolution,AJ Johnson [Teal Swirl] #140,$2.24,,,,,,,,,,,,$2.49,,,,,,4,,,,,2025-05-02
9264335,Basketball Cards 2024 Panini Revolution,Adem Bona #131,$0.62,,$5.57,$10.95,$21.78,$32.53,$42.00,$20.00,$20.00,,,,$0.99,,,$1.20,$6.09,,13,,,,,2025-05-02
9264341,Basketball Cards 2024 Panini Revolution,Adem Bona [Astro] #131,$1.79,,$6.56,$12.63,$24.90,$36.96,$48.00,$22.00,$22.00,,,,$1.99,,,$1.40,$7.19,,6,,,,,2025-05-02
9263474,Basketball Cards 2024 Panini Revolution,Adem Bona [Blue Astro] #131,$0.25,,,,,,,,,,,,$0.99,,,,,,0,,,,,2025-05-02
9264396,Basketball Cards 2024 Panini Revolution,Adem Bona [Blue Cosmo] #131,$1.99,,,,,,,,,,,,$2.19,,,,,,1,,,,,2025-05-02
9264347,Basketball Cards 2024 Panini Revolution,Adem Bona [Blue Storm] #131,$1.76,,,,,,,,,,,,$1.89,,,,,,5,,,,,2025-05-02
9263572,Basketball Cards 2024 Panini Revolution,Adem Bona [Chinese New Year] #131,$1.52,,,,,,,,,,,,$1.69,,,,,,2,,,,,2025-05-02
9263481,Basketball Cards 2024 Panini Revolution,Adem Bona [Cosmic] #131,$1.99,,,,,,,,,,,,$2.19,,,,,,3,,,,,2025-05-02
9263510,Basketball Cards 2024 Panini Revolution,Adem Bona [Cubic] #131,$9.99,,,,,,,,,,,$2.80,$10.99,,,,,,3,,,,,2025-05-02
9263578,Basketball Cards 2024 Panini Revolution,Adem Bona [Emerald Chinese New Year] #131,$4.04,,,,,,,,,,,$0.90,$4.39,,,,,,3,,,,,2025-05-02
9263440,Basketball Cards 2024 Panini Revolution,Adem Bona [Fireworks] #131,$1.13,,,,,,,,,,,,$1.19,,,,,,3,,,,,2025-05-02
9264358,Basketball Cards 2024 Panini Revolution,Adem Bona [Fractal] #131,$0.25,,,,,,,,,,,,$0.99,,,,,,0,,,,,2025-05-02
9263508,Basketball Cards 2024 Panini Revolution,Adem Bona [Future Frame] #131,$1.76,,,,,,,,,,,,$1.89,,,,,,4,,,,,2025-05-02
9264363,Basketball Cards 2024 Panini Revolution,Adem Bona [Galactic] #131,$35.00,,,,,,,,,,,$15.60,$38.99,,,,,,1,,,,,2025-05-02
9263459,Basketball Cards 2024 Panini Revolution,Adem Bona [Green Astro] #131,$2.25,,,,,,,,,,,,$2.49,,,,,,1,,,,,2025-05-02
9263490,Basketball Cards 2024 Panini Revolution,Adem Bona [Green Cosmo] #131,$4.99,,,,,,,,,,,$1.10,$5.49,,,,,,1,,,,,2025-05-02
9263446,Basketball Cards 2024 Panini Revolution,Adem Bona [Green Storm] #131,$1.50,,,,,,,,,,,,$1.69,,,,,,2,,,,,2025-05-02
9264375,Basketball Cards 2024 Panini Revolution,Adem Bona [Groove] #131,$1.77,,,,,,,,,,,,$1.99,,,,,,3,,,,,2025-05-02
9263583,Basketball Cards 2024 Panini Revolution,Adem Bona [Holo Gold Chinese New Year] #131,,,,,,,,,,,,,,,,,,,0,,,,,2025-05-02
